backend,production_class,frozen_rates,no_event_update_fired,emission_only_state_changed,cleavage_crossing_fired,post_event_renewal_pass,rollback_pass,snapshot_restore_pass,subdivision_status,rng_threshold_status,frozen_rates_available,no_event_update_available,cleavage_crossing_status
PF,UnifiedMPZFrontEngine/UnifiedMPZState,"{'cleavage': 1.648498058177364e-85, 'emission': 71891573.16830096}",False,True,True,True,True,True,SOURCE_EXERCISED_NOT_CLAIMED_EXACT,B_IS_SERIALIZABLE_BASE_ENGINE_HAS_NO_STOCHASTIC_THRESHOLD_STREAM,,,
FEMCZM,MovingProcessZoneState v9.11,,,True,,True,True,True,SOURCE_EXERCISED_NOT_CLAIMED_EXACT,DRIVER_OWNED_NOT_MPZ_STATE,True,True,DRIVER_OWNED_NOT_MPZ_STATE
