representation,extension_um,failed_interfaces,abs_Ftop_N_per_m,compliance_m2_per_N,stiffness_N_per_m2,bulk_elastic_energy_J_per_m,node_count,element_count,normalized_compliance
adaptive_czm_failed,0.0,0,199386.1209774646,5.01539422652705e-12,199386120977.4646,0.09965868948434056,20321,40502,1.0
adaptive_split_no_network,0.0,0,199386.12097747222,5.015394226526859e-12,199386120977.47223,0.09965868948434056,20321,40502,1.0
sharp_wake,0.0,0,199386.12097747222,5.015394226526859e-12,199386120977.47223,0.09965868948434056,20321,40502,1.0
