material_class,candidate_role,candidate_id,temperature_K,hazard_seed,seed_comparison_status,new_PF_run,event_transaction_index,physical_avalanche_index,pre_event_step,pre_event_time_s,pre_event_opening_m,pre_event_reaction_N_per_m,pre_event_native_J_J_per_m2,pre_event_native_KJ_MPa_sqrt_m,pre_event_projected_extension_um,post_event_projected_extension_um,event_extension_um,event_driver_da_block_um,pre_event_tip_radius_um,pre_event_front_width_um,pre_event_backstress_GPa,pre_event_mobile_count,pre_event_retained_count,pre_event_source_multiplicity,pre_event_signed_shielding_MPa_sqrt_m,reload_time_to_next_event_s,reload_opening_to_next_event_m,certified_reload_before_next_event,right_censored_at_target,in_avalanche_drive_interpretation,source_steps_file,source_steps_sha256,source_tensor_audit_file,source_tensor_audit_sha256,source_process_zone_state_availability,onset_role,resistance_candidate_policy
Peak,R_FINALIST,oneD_v2_peak_R_41f8789bcbc1f097,600.0,8666,CANONICAL_FINALIST_SEED,True,0,0,183,1537.2000000000037,3.660000000000004e-05,7972938.836516077,8685.422812066017,62.16074027258657,0.0,2.2973400956249024,2.2973400956249024,2.2973400956249024,3.6939568082903778,0.33370471577929145,3.5993183331420284,3617.828700731787,604.696033971087,17567.168191997887,-0.0665177996355161,3.360000846441835e-07,8.000002570118792e-15,False,False,PF_MODEL_NATIVE_DRIVING_TRAJECTORY_NOT_RESISTANCE,/private/tmp/oneD-v2-peak-dbtt-R-pf-runs/Peak_R/T600K_seed8666/steps_0600K.csv,cc73680beed42103a8ef1df7d0bd7ae224a1f7c09363fc1ccd3505dbedd9451d,/private/tmp/oneD-v2-peak-dbtt-R-pf-runs/Peak_R/T600K_seed8666/anisotropic_emission_audit_v10174.json,d8e459ec1f825fb607046df1ebbe8962e9821913f56a88198fc4ae218b2c5167,FULL_PERSISTENT_SITE_OBSERVER,INITIAL_ONSET_PRE_EVENT,RELOAD_SEPARATED_PRE_EVENT_ONLY
Peak,CONTROL,v913_zeroD_sobol_0242980,600.0,4630,AUTHORITATIVE_TEMPERATURE_SWEEP_SEED_NOT_PAIRED,False,0,0,79,557.4783793946121,1.3273294747490768e-05,2891452.6552129467,1142.3160298345636,22.54311003716557,0.0,3.717307718533033,3.717307718533033,3.717307718533033,,,0.1749540330923531,9.276475430718207,8.905466546822804e-07,,-9.7922141599961e-11,0.16108030671250617,3.835245397912067e-09,False,False,PF_MODEL_NATIVE_DRIVING_TRAJECTORY_NOT_RESISTANCE,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/1_final_v10_2_30_theta0_rate_extremes_four_class_1000um_base3621_v1/rate1x/v913_paper_peak01_0242980_persistent_sites/T600K_th0_seed4630/steps_0600K.csv,6c78ce302d54db196702d0c1c2fe724f9db34635ea51a26629b2746ea95f31d9,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/1_final_v10_2_30_theta0_rate_extremes_four_class_1000um_base3621_v1/rate1x/v913_paper_peak01_0242980_persistent_sites/T600K_th0_seed4630/anisotropic_emission_audit_v10174.json,ea0cda6106f6c2e65e580a3209fefe6bdba1a082fc244b17ba658ac2bf256396,ARCHIVED_SCALAR_STATE_ONLY,INITIAL_ONSET_PRE_EVENT,RELOAD_SEPARATED_PRE_EVENT_ONLY
Peak,R_FINALIST,oneD_v2_peak_R_41f8789bcbc1f097,900.0,8666,CANONICAL_FINALIST_SEED,True,0,0,246,2009.7141805034223,4.78503376310336e-05,10423710.79887634,14845.635978025757,81.26809861853147,0.0,2.2973400956249024,2.2973400956249024,2.2973400956249024,15.372344298438813,0.14518176723576462,8.276883502064923,15879.829476466355,11351.504646163736,31805.321045347733,-1.2746077894275314,2.4787192283224613,5.9017124483858735e-08,False,False,PF_MODEL_NATIVE_DRIVING_TRAJECTORY_NOT_RESISTANCE,/private/tmp/oneD-v2-peak-dbtt-R-pf-runs/Peak_R/T900K_seed8666/steps_0900K.csv,095a14cb0f5897969dcc915d0d6696c652dd9ba577d1fc5481eafda9b5920b28,/private/tmp/oneD-v2-peak-dbtt-R-pf-runs/Peak_R/T900K_seed8666/anisotropic_emission_audit_v10174.json,b09bb5d83d49287c78a10fadf25aeb40523c7ee0af1cf55db21578c22999793d,FULL_PERSISTENT_SITE_OBSERVER,INITIAL_ONSET_PRE_EVENT,RELOAD_SEPARATED_PRE_EVENT_ONLY
Peak,CONTROL,v913_zeroD_sobol_0242980,900.0,6648,AUTHORITATIVE_TEMPERATURE_SWEEP_SEED_NOT_PAIRED,False,0,0,167,1402.8000000000022,3.340000000000007e-05,7275851.287968224,7233.054340401603,56.72592145093967,0.0,10.756024230600492,10.756024230600492,10.756024230600492,,,0.05176653801562776,0.26815083609747203,0.8097713575987407,,-0.00010431354025824846,4.200001058052294e-07,1.000000321264849e-14,False,False,PF_MODEL_NATIVE_DRIVING_TRAJECTORY_NOT_RESISTANCE,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/1_final_v10_2_30_theta0_rate_extremes_four_class_1000um_base3621_v1/rate1x/v913_paper_peak01_0242980_persistent_sites/T900K_th0_seed6648/steps_0900K.csv,f1211300ce9dd73eae9356b28bef6951920eb56477499a905f4133014513cc9d,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/1_final_v10_2_30_theta0_rate_extremes_four_class_1000um_base3621_v1/rate1x/v913_paper_peak01_0242980_persistent_sites/T900K_th0_seed6648/anisotropic_emission_audit_v10174.json,d50f34bbb76546af5ee20d17836dfd4776f939c1ca5ac6c42c71a2ce697eb6f7,ARCHIVED_SCALAR_STATE_ONLY,INITIAL_ONSET_PRE_EVENT,RELOAD_SEPARATED_PRE_EVENT_ONLY
Peak,R_FINALIST,oneD_v2_peak_R_41f8789bcbc1f097,1200.0,8666,CANONICAL_FINALIST_SEED,True,0,0,194,1572.4901015349749,3.744024051273743e-05,8155976.711270666,9088.78968898347,63.58778869550389,0.0,2.2973400956249024,2.2973400956249024,2.2973400956249024,12.110480096631559,0.16365686483959227,7.34230296667193,8125.446851492149,14013.846390355622,28245.104748243273,-1.7859973542378984,0.5258609472875833,1.2520498744954375e-08,False,False,PF_MODEL_NATIVE_DRIVING_TRAJECTORY_NOT_RESISTANCE,/private/tmp/oneD-v2-peak-dbtt-R-pf-runs/Peak_R/T1200K_seed8666/steps_1200K.csv,1005a5334a85ede5bf9fd461e9b4cb14b35d2ccbd60d712699e9b625306942db,/private/tmp/oneD-v2-peak-dbtt-R-pf-runs/Peak_R/T1200K_seed8666/anisotropic_emission_audit_v10174.json,758e63cdf6b1064f16fdce54e101940d117570795500b35cdf648fa86a954f0e,FULL_PERSISTENT_SITE_OBSERVER,INITIAL_ONSET_PRE_EVENT,RELOAD_SEPARATED_PRE_EVENT_ONLY
Peak,CONTROL,v913_zeroD_sobol_0242980,1200.0,12702,AUTHORITATIVE_TEMPERATURE_SWEEP_SEED_NOT_PAIRED,False,0,0,154,1213.9392501236246,2.890331547913399e-05,6296294.166329602,5416.567015050963,49.08883842937369,0.0,2.2973400956249024,2.2973400956249024,2.2973400956249024,,,7.689649510291955,13677.021217722468,9718.325503589005,,-1.0982129047796065,6.417132215525953,1.5278886227442436e-07,False,False,PF_MODEL_NATIVE_DRIVING_TRAJECTORY_NOT_RESISTANCE,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/1_final_v10_2_30_theta0_rate_extremes_four_class_1000um_base3621_v1/rate1x/v913_paper_peak01_0242980_persistent_sites/T1200K_th0_seed12702/steps_1200K.csv,95ba19655a31bcbd559b331a349ebd44e6ed495345b8d7f10d2379b39961b6ce,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/1_final_v10_2_30_theta0_rate_extremes_four_class_1000um_base3621_v1/rate1x/v913_paper_peak01_0242980_persistent_sites/T1200K_th0_seed12702/anisotropic_emission_audit_v10174.json,ffb8f3e5cf4ebbded383fce52ef696dd755d19d87eacf8e85b9a200311fbc5a9,ARCHIVED_SCALAR_STATE_ONLY,INITIAL_ONSET_PRE_EVENT,RELOAD_SEPARATED_PRE_EVENT_ONLY
DBTT,R_FINALIST,oneD_v2_dbtt_R_9f5160f509e713e2,600.0,1008666,CANONICAL_FINALIST_SEED,True,0,0,99,714.8934287437253,1.7021272112945856e-05,3707911.5157435494,1878.5070253639303,28.908603139941167,0.0,2.931106565679095,2.931106565679095,2.931106565679095,1.0000000039057615,9.999983199924262,0.000220284510515656,1.6680701220931777e-05,1.649896191290467e-05,18807.39812813538,-2.2941188369861167e-09,1.4281331325580595,3.4003169822812855e-08,False,False,PF_MODEL_NATIVE_DRIVING_TRAJECTORY_NOT_RESISTANCE,/private/tmp/oneD-v2-peak-dbtt-R-pf-runs/DBTT_R/T600K_seed1008666/steps_0600K.csv,60b1a867c51cbd45a21031323f3a8ac1ff71980fa928f5abfc98bd14de03adf6,/private/tmp/oneD-v2-peak-dbtt-R-pf-runs/DBTT_R/T600K_seed1008666/anisotropic_emission_audit_v10174.json,e7d02b59a751dcc62a0b023f568ef7287c7898d173c521e8add9984572877cb7,FULL_PERSISTENT_SITE_OBSERVER,INITIAL_ONSET_PRE_EVENT,RELOAD_SEPARATED_PRE_EVENT_ONLY
DBTT,R_FINALIST,oneD_v2_dbtt_R_9f5160f509e713e2,600.0,1008666,CANONICAL_FINALIST_SEED,True,11,1,219,897.892124222329,2.1378383910055507e-05,4670541.0844941065,1821.2698801258432,28.464781077231823,50.12934688319599,52.42668697882088,2.2973400956248953,2.2973400956249024,1.0000000002812284,9.999998838969818,5.777853872295967e-05,8.738137657033031e-07,1.1442723413268822e-06,18807.427472992258,-1.3683914607415592e-10,10.2995212388455,2.4522669616298614e-07,False,False,PF_MODEL_NATIVE_DRIVING_TRAJECTORY_NOT_RESISTANCE,/private/tmp/oneD-v2-peak-dbtt-R-pf-runs/DBTT_R/T600K_seed1008666/steps_0600K.csv,60b1a867c51cbd45a21031323f3a8ac1ff71980fa928f5abfc98bd14de03adf6,/private/tmp/oneD-v2-peak-dbtt-R-pf-runs/DBTT_R/T600K_seed1008666/anisotropic_emission_audit_v10174.json,e7d02b59a751dcc62a0b023f568ef7287c7898d173c521e8add9984572877cb7,FULL_PERSISTENT_SITE_OBSERVER,REINITIATION_ONSET_PRE_EVENT,RELOAD_SEPARATED_PRE_EVENT_ONLY
DBTT,CONTROL,v913_zeroD_sobol_0202500,600.0,1004630,AUTHORITATIVE_TEMPERATURE_SWEEP_SEED_NOT_PAIRED,False,0,0,84,575.9254184959932,1.3712509964190322e-05,2987131.236054823,1219.1656181547664,23.289064764188222,0.0,2.6931927694278173,2.6931927694278173,2.6931927694278173,,,5.2024403323950025e-06,0.0,8.759055328509477e-09,,-1.1866184763769883e-12,0.10105023592518592,2.4059579982144364e-09,False,False,PF_MODEL_NATIVE_DRIVING_TRAJECTORY_NOT_RESISTANCE,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/1_final_v10_2_30_theta0_rate_extremes_four_class_1000um_base3621_v1/rate1x/v913_paper_dbtt01_0202500_persistent_sites/T600K_th0_seed1004630/steps_0600K.csv,955d63e5cd8019c49b933c89a0a6e594fc49ceea62bb8584d15785dc21a4cceb,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/1_final_v10_2_30_theta0_rate_extremes_four_class_1000um_base3621_v1/rate1x/v913_paper_dbtt01_0202500_persistent_sites/T600K_th0_seed1004630/anisotropic_emission_audit_v10174.json,c49f48fa8a65b4339e7fd85c4eb0e11af455618ed7c1bd46833a59d3012022e5,ARCHIVED_SCALAR_STATE_ONLY,INITIAL_ONSET_PRE_EVENT,RELOAD_SEPARATED_PRE_EVENT_ONLY
DBTT,CONTROL,v913_zeroD_sobol_0202500,600.0,1004630,AUTHORITATIVE_TEMPERATURE_SWEEP_SEED_NOT_PAIRED,False,13,1,228,740.6396440869931,1.7634277240166518e-05,3853637.827599211,1223.0186975386332,23.325837383901117,53.25303077209447,57.61562265391954,4.362591881825069,4.362591881825069,,,8.367494280545253e-07,0.0,2.2553798527355307e-10,,-2.52616768932337e-14,0.11928415750469412,2.840098988209387e-09,False,False,PF_MODEL_NATIVE_DRIVING_TRAJECTORY_NOT_RESISTANCE,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/1_final_v10_2_30_theta0_rate_extremes_four_class_1000um_base3621_v1/rate1x/v913_paper_dbtt01_0202500_persistent_sites/T600K_th0_seed1004630/steps_0600K.csv,955d63e5cd8019c49b933c89a0a6e594fc49ceea62bb8584d15785dc21a4cceb,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/1_final_v10_2_30_theta0_rate_extremes_four_class_1000um_base3621_v1/rate1x/v913_paper_dbtt01_0202500_persistent_sites/T600K_th0_seed1004630/anisotropic_emission_audit_v10174.json,c49f48fa8a65b4339e7fd85c4eb0e11af455618ed7c1bd46833a59d3012022e5,ARCHIVED_SCALAR_STATE_ONLY,REINITIATION_ONSET_PRE_EVENT,RELOAD_SEPARATED_PRE_EVENT_ONLY
