material_class,candidate_role,candidate_id,temperature_K,hazard_seed,seed_comparison_status,new_PF_run,target_um,terminal_semantics,event_transaction_count,physical_avalanche_count,N_reinit,initial_onset_native_KJ_MPa_sqrt_m,maximum_onset_native_KJ_MPa_sqrt_m,deltaK_reinit_MPa_sqrt_m,relative_deltaK_reinit,first_reinitiation_onset_native_KJ_MPa_sqrt_m,maximum_reinitiation_onset_native_KJ_MPa_sqrt_m,signed_max_reinitiation_minus_initial_K_MPa_sqrt_m,onset_sequence_monotonicity,largest_avalanche_fraction,maximum_tip_radius_um,maximum_backstress_GPa,maximum_mobile_count,maximum_retained_count,target_right_censored,source_steps_file,source_steps_sha256
Peak,R_FINALIST,oneD_v2_peak_R_41f8789bcbc1f097,600.0,8666,CANONICAL_FINALIST_SEED,True,100.0,TARGET_RIGHT_CENSORED,22,1,0,62.16074027258657,62.16074027258657,0.0,0.0,,,,NOT_APPLICABLE,1.0,3.6939568082903778,3.5993183331420284,3617.828700731787,964.9826946213909,True,/private/tmp/oneD-v2-peak-dbtt-R-pf-runs/Peak_R/T600K_seed8666/steps_0600K.csv,cc73680beed42103a8ef1df7d0bd7ae224a1f7c09363fc1ccd3505dbedd9451d
Peak,CONTROL,v913_zeroD_sobol_0242980,600.0,4630,AUTHORITATIVE_TEMPERATURE_SWEEP_SEED_NOT_PAIRED,False,100.0,TARGET_RIGHT_CENSORED,20,1,0,22.54311003716557,22.54311003716557,0.0,0.0,,,,NOT_APPLICABLE,1.0,,0.1749540330923531,9.276475430718207,8.905466546822804e-07,True,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/1_final_v10_2_30_theta0_rate_extremes_four_class_1000um_base3621_v1/rate1x/v913_paper_peak01_0242980_persistent_sites/T600K_th0_seed4630/steps_0600K.csv,6c78ce302d54db196702d0c1c2fe724f9db34635ea51a26629b2746ea95f31d9
Peak,R_FINALIST,oneD_v2_peak_R_41f8789bcbc1f097,900.0,8666,CANONICAL_FINALIST_SEED,True,100.0,TARGET_RIGHT_CENSORED,22,1,0,81.26809861853147,81.26809861853147,0.0,0.0,,,,NOT_APPLICABLE,1.0,16.391922890598874,8.445811600766753,16325.329214222895,11762.611097346751,True,/private/tmp/oneD-v2-peak-dbtt-R-pf-runs/Peak_R/T900K_seed8666/steps_0900K.csv,095a14cb0f5897969dcc915d0d6696c652dd9ba577d1fc5481eafda9b5920b28
Peak,CONTROL,v913_zeroD_sobol_0242980,900.0,6648,AUTHORITATIVE_TEMPERATURE_SWEEP_SEED_NOT_PAIRED,False,100.0,TARGET_RIGHT_CENSORED,18,1,0,56.72592145093967,56.72592145093967,0.0,0.0,,,,NOT_APPLICABLE,1.0,,0.06154304115871717,0.26815083609747203,1.3374355236642108,True,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/1_final_v10_2_30_theta0_rate_extremes_four_class_1000um_base3621_v1/rate1x/v913_paper_peak01_0242980_persistent_sites/T900K_th0_seed6648/steps_0900K.csv,f1211300ce9dd73eae9356b28bef6951920eb56477499a905f4133014513cc9d
Peak,R_FINALIST,oneD_v2_peak_R_41f8789bcbc1f097,1200.0,8666,CANONICAL_FINALIST_SEED,True,100.0,TARGET_RIGHT_CENSORED,22,1,0,63.58778869550389,63.58778869550389,0.0,0.0,,,,NOT_APPLICABLE,1.0,12.930721236706345,7.437059676554223,11700.582619720444,14013.846390355622,True,/private/tmp/oneD-v2-peak-dbtt-R-pf-runs/Peak_R/T1200K_seed8666/steps_1200K.csv,1005a5334a85ede5bf9fd461e9b4cb14b35d2ccbd60d712699e9b625306942db
Peak,CONTROL,v913_zeroD_sobol_0242980,1200.0,12702,AUTHORITATIVE_TEMPERATURE_SWEEP_SEED_NOT_PAIRED,False,100.0,TARGET_RIGHT_CENSORED,21,1,0,49.08883842937369,49.08883842937369,0.0,0.0,,,,NOT_APPLICABLE,1.0,,7.689649510291955,13677.021217722468,9860.44187825878,True,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/1_final_v10_2_30_theta0_rate_extremes_four_class_1000um_base3621_v1/rate1x/v913_paper_peak01_0242980_persistent_sites/T1200K_th0_seed12702/steps_1200K.csv,95ba19655a31bcbd559b331a349ebd44e6ed495345b8d7f10d2379b39961b6ce
DBTT,R_FINALIST,oneD_v2_dbtt_R_9f5160f509e713e2,600.0,1008666,CANONICAL_FINALIST_SEED,True,100.0,TARGET_RIGHT_CENSORED,20,2,1,28.908603139941167,28.908603139941167,0.0,0.0,28.464781077231823,28.464781077231823,-0.4438220627093443,NONINCREASING,0.5004879772399364,1.0000000039057615,0.000220284510515656,1.6680701220931777e-05,1.649896191290467e-05,True,/private/tmp/oneD-v2-peak-dbtt-R-pf-runs/DBTT_R/T600K_seed1008666/steps_0600K.csv,60b1a867c51cbd45a21031323f3a8ac1ff71980fa928f5abfc98bd14de03adf6
DBTT,CONTROL,v913_zeroD_sobol_0202500,600.0,1004630,AUTHORITATIVE_TEMPERATURE_SWEEP_SEED_NOT_PAIRED,False,100.0,TARGET_RIGHT_CENSORED,23,2,1,23.289064764188222,23.325837383901117,0.03677261971289525,0.001578965067306644,23.325837383901117,23.325837383901117,0.03677261971289525,NONDECREASING,0.5076676416967665,,5.2024403323950025e-06,7.816732427902254e-24,8.759055328509477e-09,True,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/1_final_v10_2_30_theta0_rate_extremes_four_class_1000um_base3621_v1/rate1x/v913_paper_dbtt01_0202500_persistent_sites/T600K_th0_seed1004630/steps_0600K.csv,955d63e5cd8019c49b933c89a0a6e594fc49ceea62bb8584d15785dc21a4cceb
DBTT,R_FINALIST,oneD_v2_dbtt_R_9f5160f509e713e2,1100.0,1008666,CANONICAL_FINALIST_SEED,True,100.0,TARGET_RIGHT_CENSORED,20,2,1,78.92505312457187,78.92505312457187,0.0,0.0,69.57592169878478,69.57592169878478,-9.349131425787093,NONINCREASING,0.5004879772399364,9.9013925265045,11.949865177547508,2.6302132029329755e-08,56180.27023898162,True,/private/tmp/oneD-v2-peak-dbtt-R-pf-runs/DBTT_R/T1100K_seed1008666/steps_1100K.csv,d073e7f498cdfedbcf2cb5fe0d34aa715423378ecd167cd67b84900d27a5776c
DBTT,CONTROL,v913_zeroD_sobol_0202500,1100.0,1010684,AUTHORITATIVE_TEMPERATURE_SWEEP_SEED_NOT_PAIRED,False,100.0,TARGET_RIGHT_CENSORED,22,1,0,55.59396428528807,55.59396428528807,0.0,0.0,,,,NOT_APPLICABLE,1.0,,8.55055553197495,1.0656776795923818e-08,29714.231101865233,True,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/1_final_v10_2_30_theta0_rate_extremes_four_class_1000um_base3621_v1/rate1x/v913_paper_dbtt01_0202500_persistent_sites/T1100K_th0_seed1010684/steps_1100K.csv,43afde171dcea029a044b27f88e594dfa346a67eebb473dde38a0a0dca7ca131
