provider,material_class,candidate_id,temperature_K,target_um,status,event_count,physical_avalanche_count,precursor_reinitiation_count,largest_avalanche_fraction,first_event_opening_um,first_event_native_KJ_MPa_sqrt_m,onset_envelope_min_MPa_sqrt_m,onset_envelope_max_MPa_sqrt_m,qualified_G_onset_min_J_m2,qualified_G_onset_max_J_m2,mean_event_size_um,median_event_size_um,terminal_extension_um,terminal_opening_um,max_tip_radius_um,max_backstress_GPa,minimum_front_width_um,max_source_multiplicity,model_contract,authoritative_2D_initial_onset,initial_onset_relative_error,authoritative_2D_physical_avalanche_count,topology_match
PF,Peak,v913_zeroD_sobol_0242980,1000.0,100.0,TARGET_RIGHT_CENSORED,19,1,0,1.0,28.17971620766123,56.02034318333335,56.02034318333335,56.02034318333335,,,5.263157894736841,4.143147460518555,99.99999999999999,28.1797167549688,7.38523748761677,8.17508307182081,0.14698932856397479,351816.6239725898,SOURCE_NORMALIZED_DRIVE+V913_ZEROD_IMPLICIT_BACKSTRESS_V1,53.878171773544715,0.03975954155965789,1.0,True
PF,DBTT,v913_zeroD_sobol_0202500,1000.0,100.0,RIGHT_CENSORED_DRIVE_MAP_BOUND,3,3,2,0.3333333333333333,31.707150434367566,63.0327656818609,63.0327656818609,98.3741774277335,,,2.6243604948100843,2.2973400956248735,7.873081484430252,49.85814819944695,106.69923885386703,31.85827149978493,0.03772242170561238,13095.647939493772,SOURCE_NORMALIZED_DRIVE+V913_ZEROD_IMPLICIT_BACKSTRESS_V1,56.188160316561955,0.12181579405228254,2.0,False
FEMCZM,Peak,v913_zeroD_sobol_0242980,1000.0,100.0,TARGET_RIGHT_CENSORED,19,1,0,1.0,7.821282507606066,35.755503522739055,35.755503522739055,35.755503522739055,2872.3877329751635,2872.3877329751635,5.263157894736841,4.143147460518555,99.99999999999999,7.821283054912864,2.9363149519057297,4.5018429356829,0.26685697834635275,352484.9300104052,SOURCE_NORMALIZED_DRIVE+V913_ZEROD_IMPLICIT_BACKSTRESS_V1,7454.99,-0.6147026712342789,1.0,True
FEMCZM,DBTT,v913_zeroD_sobol_0202500,1000.0,100.0,RIGHT_CENSORED_DRIVE_MAP_BOUND,16,12,11,0.125,8.576024464443961,39.20585564468743,39.20585564468743,199.72082458725063,3453.4974504206743,89620.08989093671,5.105713215762952,3.0527158742329785,81.69141145220722,41.819138777567865,117.16142434127212,33.397617497149646,0.03598361651835498,13078.959954302354,SOURCE_NORMALIZED_DRIVE+V913_ZEROD_IMPLICIT_BACKSTRESS_V1,8675.6,-0.6019298434205502,3.0,False
