candidate_id,search_source,search_anchor,status_objective,class_topology_objective,onset_envelope_objective,precursor_count_objective,avalanche_topology_objective,event_size_objective,provider_robustness_objective,state_realism_objective,PF_low_shelf_span,FEMCZM_low_shelf_span,PF_transition_gain,FEMCZM_transition_gain,PF_high_temperature_drop,FEMCZM_high_temperature_drop,all_cases_complete,full_dbtt_contract_pass,Tref_K,cleave_G00_eV,cleave_gT_eV_per_K,cleave_sigc0_GPa,cleave_sT_GPa_per_K,cleave_exp_a,cleave_exp_n,cleave_floor_frac,emit_G00_eV,emit_gT_eV_per_K,emit_sigc0_GPa,emit_sT_GPa_per_K,emit_exp_a,emit_exp_n,emit_floor_frac,peierls_H0_eV,peierls_activation_entropy_kB,peierls_exp_a,peierls_exp_n,peierls_nu0_s,taylor_H0_eV,taylor_activation_entropy_kB,taylor_exp_a,taylor_exp_n,taylor_nu0_s,rho_source0_m2,taylor_corr_rho_c_m2,taylor_corr_scale,c_blunt,pareto_nondominated_validation,selection_status
oneD_v2_dbtt_local_a0_007,SOBOL_LOCAL_REDUCED_SCREEN,v913_zeroD_sobol_0202500,24,0.3333333333333335,0.17035224914540095,0.3333333333333335,0.8077777777777779,0.6236735378046908,0.6672523497019498,6.083409595756157,1.0701187851634373,0.9326681254688651,104.70938748852899,123.98612961403484,12.614112468476876,-0.8517612457270047,False,False,481.33,1.9847390214264484,0.0056085130451247,6.607050436714938,-0.0012041387008503,0.5243489010792026,3.4886157478171693,0.026239358201278,3.6839287796047238,0.0061668124636635,1.8919312594693933,-0.0052233074344694,0.11352275603784617,0.5800746188403747,0.0103682254353579,3.525720003992319,-36.33932862430811,1.448395521938801,1.871259921230376,1000000000000.0,1.4998139148950578,31.365934647619724,0.7048910272121429,0.5389550719410181,100000000000.0,1675744398003323.0,24191831829093.445,1.165306116239883,7.595023391143435,True,REJECTED_FULL_DBTT_CONTRACT
oneD_v2_dbtt_local_a0_008,SOBOL_LOCAL_REDUCED_SCREEN,v913_zeroD_sobol_0202500,27,0.9999999999999998,16.40280962785317,1.0,1.552222222222222,0.6400932081591301,2.3752681966540683,17.323405422395794,174.0280962785317,1.8972496940244952,124.54887418129208,152.37869769827486,16.207502487155637,15.363539566655447,False,False,481.33,2.1486476209210483,0.0056085130451247,8.92031950184138,-0.0012041387008503,0.4406677734194322,2.959043000627151,0.026239358201278,2.545786590204014,0.0061668124636635,1.6312589768356611,-0.0052233074344694,0.22331231156267956,0.6953789381318237,0.0103682254353579,3.525720003992319,-36.33932862430811,1.448395521938801,1.871259921230376,1000000000000.0,1.4998139148950578,31.365934647619724,0.7048910272121429,0.5389550719410181,100000000000.0,939191497611898.1,10505674141976.422,1.127332341992865,5.1905419701975175,False,REJECTED_FULL_DBTT_CONTRACT
oneD_v2_dbtt_local_a0_004,SOBOL_LOCAL_REDUCED_SCREEN,v913_zeroD_sobol_0202500,24,1.6666666666666665,0.0,1.6666666666666667,2.552222222222222,0.7660402163190698,1.6434024592307832,12.98033493110838,6.359388218173983,6.536152699012078,244.61406110489818,227.15292267976156,76.22179434532649,9.444102412742353,False,False,481.33,1.8933216457202746,0.0056085130451247,10.145561224819366,-0.0012041387008503,0.3605208356098589,2.324068884077743,0.026239358201278,4.398323908921166,0.0061668124636635,2.396042048721902,-0.0052233074344694,0.2356646563753631,0.7576697468749936,0.0103682254353579,3.525720003992319,-36.33932862430811,1.448395521938801,1.871259921230376,1000000000000.0,1.4998139148950578,31.365934647619724,0.7048910272121429,0.5389550719410181,100000000000.0,879471738093150.1,53685675420607.63,0.6905970761080563,3.2905694429564636,True,REJECTED_FULL_DBTT_CONTRACT
oneD_v2_dbtt_morph_014,LOG_PARAMETER_MORPH,v913_zeroD_sobol_0202500|v913_zeroD_sobol_0116955,0,2.0,2.3833482918827946,2.0,2.3798891730605285,0.030690537084398884,0.004994824018791188,0.0,0.2961026625692824,0.34951403322406804,-1.5349546385127368,-1.5318316965496201,1.832248783688005,1.6404231479184546,True,False,481.33000000000015,2.706750135245259,0.00645817711756097,6.125809341576597,-0.00134277919055893,0.4748483287212827,1.8957616099149268,0.025969361955788722,3.553937413912894,0.0031634369364474156,4.0914949120773585,-0.0026470939693972297,0.14962427953957447,0.773018630789703,0.019661220009430342,3.5612822523545615,-25.031792650930583,1.276883363679439,2.0365937474727738,999999999999.999,1.6245658973859678,24.434612032026052,0.6366028900899705,0.757120824077483,100000000000.00015,2964870099226873.0,881345970760083.9,0.9137143249326317,1.6752167299204712,True,REJECTED_FULL_DBTT_CONTRACT
oneD_v2_dbtt_morph_013,LOG_PARAMETER_MORPH,v913_zeroD_sobol_0202500|v913_zeroD_sobol_0116955,0,2.333333333333333,2.355722683997585,2.3333333333333335,2.7856862745098034,0.030690537084398884,0.00928686477993536,0.0,0.28635943742560244,0.25544721917540514,-1.494005056032865,-1.351776415947814,1.7837019213951208,1.6667960964852782,True,False,481.33000000000015,2.680190191441071,0.006397486826672665,6.1684229452633,-0.0013328762984368852,0.47638612867287117,1.940021445298514,0.02598855492758049,3.5385820719858594,0.0033779637598199924,3.973304370888793,-0.002831109216902385,0.15015676301761585,0.7509799075188125,0.018782786939479563,3.5587302387447814,-25.83947379188612,1.2884303279514275,2.0243143642485792,999999999999.999,1.615320721299635,24.929706504568458,0.6412532236690969,0.7389608534047287,100000000000.0005,2619631395144187.5,677214110921245.6,0.9354064727006852,1.7434310146403829,True,REJECTED_FULL_DBTT_CONTRACT
oneD_v2_dbtt_local_a1_033,SOBOL_LOCAL_REDUCED_SCREEN,v913_zeroD_sobol_0116955,0,2.333333333333333,2.468873940155732,2.3333333333333335,2.7219607843137252,0.030690537084398884,0.11531735019151287,0.0,3.6399297068895216,3.687844769374017,-0.3573044450613345,-3.39368707618452,2.7497030798350295,3.1513249124761575,True,False,481.33,4.767789057021679,0.0080361246806569,3.5801486701700225,-0.0016002543857321,0.6582194575278231,1.4858737031691853,0.0254752893929062,2.7016211321082544,-0.0024142604712396,5.977994489395818,0.0021373024657368,0.22443595565604796,1.2442172374395737,0.0645240567354888,3.6282808207906783,-4.032082986086607,1.010412615071982,2.38337339903228,1000000000000.0,1.8844304084777832,11.56215574592352,0.526846093358472,1.4233212359249592,100000000000.0,6.132726020047969e+16,2.3484915166263066e+18,0.25984967074588045,0.7010654302310521,False,REJECTED_FULL_DBTT_CONTRACT
oneD_v2_dbtt_local_a1_040,SOBOL_LOCAL_REDUCED_SCREEN,v913_zeroD_sobol_0116955,0,2.333333333333333,20.959619600787057,2.3333333333333335,2.8496248934356347,0.030690537084398884,1.50879122945597,0.03547322238353061,4.367866797214496,4.452535177322709,29.452860985903726,10.429716989383884,-104.79809800393528,4.59916353106,True,False,481.33,3.0926884727365267,0.0080361246806569,5.162147386499416,-0.0016002543857321,0.5089749288704118,0.8566973901078156,0.0254752893929062,2.6272017472374767,-0.0024142604712396,10.521485068193394,0.0021373024657368,0.09455271777049504,1.1714053952221184,0.0645240567354888,3.6282808207906783,-4.032082986086607,1.010412615071982,2.38337339903228,1000000000000.0,1.8844304084777832,11.56215574592352,0.526846093358472,1.4233212359249592,100000000000.0,2.596813212396432e+16,3.690439869329109e+17,0.34825645419101053,0.23067935588017277,False,REJECTED_FULL_DBTT_CONTRACT
oneD_v2_dbtt_local_a1_005,SOBOL_LOCAL_REDUCED_SCREEN,v913_zeroD_sobol_0116955,0,2.3333333333333335,2.7307533004897486,2.333333333333333,2.492847399829497,0.030690537084398884,0.0493092851995027,0.0,3.575895399125873,3.2569491339823067,-2.14753721204308,-3.698489191874909,3.5443613011682658,3.1657417934781655,True,False,481.33,4.103641726155314,0.0080361246806569,3.8820554636771907,-0.0016002543857321,0.652941055012232,1.227816789654726,0.0254752893929062,3.2243310005468477,-0.0024142604712396,11.853468301737447,0.0021373024657368,0.11528307487834932,0.9438922831959676,0.0645240567354888,3.6282808207906783,-4.032082986086607,1.010412615071982,2.38337339903228,1000000000000.0,1.8844304084777832,11.56215574592352,0.526846093358472,1.4233212359249592,100000000000.0,6.899700270485272e+16,4.352814319854778e+17,0.8987138854414345,0.23607983984613204,False,REJECTED_FULL_DBTT_CONTRACT
oneD_v2_dbtt_morph_010,LOG_PARAMETER_MORPH,v913_zeroD_sobol_0202500|v913_zeroD_sobol_0116955,0,2.666666666666667,2.3702281944510237,2.666666666666667,3.158235294117647,0.030690537084398884,0.01000189285368922,0.0,0.2644499230101225,0.317085066176098,-1.5888448529080108,-1.372980702700179,1.5292893775165908,1.4406494874728466,True,False,481.33000000000015,2.6020638700658267,0.00621541595400775,6.298050643843016,-0.00130316762207075,0.4810294741548023,2.07909794817491,0.0260462189936883,3.4929129717499863,0.004021544229937724,3.638826038006168,-0.003383154959417849,0.15176561047738701,0.6885625321160382,0.01637603431484221,3.551085165306722,-28.262517214752734,1.3237015274766535,1.9879186535665632,999999999999.999,1.5878996750745524,26.414989922195673,0.6554090407270278,0.6870528646529704,99999999999.9998,1806940015983366.2,307230781124034.1,1.0036220212074425,1.9651968786783593,False,REJECTED_FULL_DBTT_CONTRACT
oneD_v2_dbtt_morph_012,LOG_PARAMETER_MORPH,v913_zeroD_sobol_0202500|v913_zeroD_sobol_0116955,0,2.666666666666667,2.386292626428665,2.666666666666667,3.158235294117647,0.030690537084398884,0.009890210424086405,0.0,0.2778833436629924,0.20511881205980131,-1.6709277273329732,-1.419413284096347,1.6375315604070408,1.4900550383426996,True,False,481.33000000000015,2.6538908666743395,0.006336796535784359,6.211332986386743,-0.0013229734063148401,0.4779289088013879,1.985314603130418,0.026007762084170768,3.5232930752130103,0.0035924905831925696,3.858527986219207,-0.0030151244644075394,0.15069114149996582,0.7295695071680497,0.017943600908014366,3.5561800539070565,-26.64715493284166,1.3000817123981094,2.0121090180052765,999999999999.999,1.606128158210414,25.424800977110863,0.6459375275658793,0.7212364598873606,100000000000.00015,2314593360503233.0,520361999993409.1,0.9576136055816467,1.8144229630241893,False,REJECTED_FULL_DBTT_CONTRACT
