material_class,candidate_id,source_option_key,parameter_decision,current_parameter_classification,final_selection_status,reduced_provider_robust,direct_2D_PF_evidence,direct_2D_FEMCZM_status,Tref_K,cleave_G00_eV,cleave_gT_eV_per_K,cleave_sigc0_GPa,cleave_sT_GPa_per_K,cleave_exp_a,cleave_exp_n,cleave_floor_frac,emit_G00_eV,emit_gT_eV_per_K,emit_sigc0_GPa,emit_sT_GPa_per_K,emit_exp_a,emit_exp_n,emit_floor_frac,peierls_H0_eV,peierls_activation_entropy_kB,peierls_exp_a,peierls_exp_n,peierls_nu0_s,taylor_H0_eV,taylor_activation_entropy_kB,taylor_exp_a,taylor_exp_n,taylor_nu0_s,rho_source0_m2,taylor_corr_rho_c_m2,taylor_corr_scale,c_blunt
Peak,v913_zeroD_sobol_0242980,v913_paper_peak01_0242980_persistent_sites,CURRENT_ROW_RETAINED_NO_ADMISSIBLE_REPLACEMENT,QUALITATIVELY_VALID_BUT_PROVIDER_SENSITIVE,RETAINED_DIRECT_PF_VALIDATED_REDUCED_PROVIDER_SENSITIVE,False,AVAILABLE_EXISTING_RATE1X_THETA0,EXISTING_1000K_BASELINE_ONLY,481.33,4.011803912930191,0.0081468212408944,7.349638969637454,-0.0012099820682778,1.3227705595549195,1.2558047282509506,0.0184513317135146,2.0446315124630927,0.000941995373927,7.205215461552143,0.0013325903080403,0.0858719444833695,1.1423492641188204,0.0058420097608974,6.368386985268444,12.2265643812716,1.9097672308795155,1.1372957159765065,1000000000000.0,1.6986502355337143,38.45378890633583,0.4561179580539465,1.2506696581840515,100000000000.0,1.4102520844479966e+16,58780073970578.01,0.8638954413677038,2.687256144359708
DBTT,v913_zeroD_sobol_0202500,v913_paper_dbtt01_0202500_persistent_sites,CURRENT_ROW_RETAINED_NO_ADMISSIBLE_REPLACEMENT,PARAMETER_RESEARCH_REQUIRED,RETAINED_PRODUCTION_REFERENCE_REDUCED_NOT_QUALIFIED,False,AVAILABLE_EXISTING_RATE1X_THETA0,EXISTING_1000K_BASELINE_ONLY,481.33,2.357721022795886,0.0056085130451247,6.7501407796517015,-0.0012041387008503,0.4968366474844515,2.618804107885808,0.026239358201278,3.344896922819316,0.0061668124636635,2.7143102660775185,-0.0052233074344694,0.1572539726179093,0.5156166724395007,0.0103682254353579,3.525720003992319,-36.33932862430811,1.448395521938801,1.871259921230376,1000000000000.0,1.4998139148950578,31.365934647619724,0.7048910272121429,0.5389550719410181,100000000000.0,523948859759023.8,22042481205294.297,1.2690231726199324,2.929164256900549
weak-T,v913_zeroD_sobol_0129902,v913_paper_weakT01_0129902_persistent_sites,CURRENT_ROW_RETAINED_NO_ADMISSIBLE_REPLACEMENT,QUALITATIVELY_VALID_BUT_PROVIDER_SENSITIVE,RETAINED_DIRECT_PF_VALIDATED_REDUCED_PROVIDER_SENSITIVE,False,AVAILABLE_EXISTING_RATE1X_THETA0,NOT_VALIDATED,481.33,2.683425398543477,0.0060197069197893,4.890972775872797,-0.0002585870958864,1.1411482973955571,1.1264505988918243,0.0019271603769193,1.6985005037859082,0.0025603877846151,0.7007976029999554,-0.000113367350772,0.6522800833545626,0.8178969756700099,0.001963405800003,7.117342075519264,-47.75738567113876,0.2264547564554959,1.9374389592558143,1000000000000.0,3.2621826685033737,39.933723136782646,1.055419295541942,1.0061173520516604,100000000000.0,18895562156334.47,237130686553740.03,0.0927493991876699,1.9507201686501503
ceramic-like,v913_zeroD_sobol_0077080,v913_paper_ceramic01_0077080_persistent_sites,CURRENT_ROW_RETAINED_NO_ADMISSIBLE_REPLACEMENT,ROBUST_ACROSS_BOTH_PROVIDERS,RETAINED_DIRECT_PF_AND_REDUCED_ROBUST,True,AVAILABLE_EXISTING_RATE1X_THETA0,NOT_VALIDATED,481.33,3.673669350333512,0.00892692707479,4.497151743154973,-0.0022528592869639,1.4499619576428089,1.0335969480220228,0.0436070518879531,2.798553348518908,-0.002825030600652,9.278617694508284,0.0099400414247065,0.4376551472768187,0.791314263548702,0.0228240380649044,6.716475480981171,-43.48882682621479,1.178178071556613,1.0056940987706184,1000000000000.0,0.7904905830975623,-25.948952957987785,1.0212089663371444,0.599093577126041,100000000000.0,1174563748149.2874,4.043330255464039e+16,1.8013635924189044,0.3964464701712131
