material_class,candidate_id,temperature_K,transfer_data_role,pf_2D_seed,pf_2D_initial_native_KJ_MPa_sqrt_m,pf_2D_tail_average_native_KJ_MPa_sqrt_m,pf_2D_event_count,pf_2D_physical_avalanche_count,pf_2D_largest_avalanche_fraction,oneD_PF_status,oneD_PF_initial_native_KJ_MPa_sqrt_m,oneD_PF_onset_envelope_max_MPa_sqrt_m,oneD_PF_physical_avalanche_count,oneD_PF_largest_avalanche_fraction,initial_onset_relative_error,topology_match,source_steps_file,source_steps_sha256,new_PF_run_launched
Peak,v913_zeroD_sobol_0242980,300.0,EXISTING_AUTHORITATIVE_2D_PF,3621,23.650909281245745,43.67521091895647,207,1,1.0,TARGET_RIGHT_CENSORED,23.832269321316648,24.2388812122589,2,0.9473684210526315,0.007668205814594801,False,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/1_final_v10_2_30_theta0_rate_extremes_four_class_1000um_base3621_v1/rate1x/v913_paper_peak01_0242980_persistent_sites/T300K_th0_seed3621/steps_0300K.csv,7d5cf8a53b3f1c08025f33c79cc4ec5ee39bc90c4d2189cafb80422adc72adfa,False
Peak,v913_zeroD_sobol_0242980,1000.0,EXISTING_AUTHORITATIVE_2D_PF,8666,53.878171773544715,101.93819960998395,208,1,1.0,TARGET_RIGHT_CENSORED,56.02034318333335,56.02034318333335,1,1.0,0.03975954155965789,True,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/1_final_v10_2_30_theta0_rate_extremes_four_class_1000um_base3621_v1/rate1x/v913_paper_peak01_0242980_persistent_sites/T1000K_th0_seed8666/steps_1000K.csv,50153f1b93dee23407ec7971658fc8da917629c14e4ff3290b7a7a0c88449faa,False
Peak,v913_zeroD_sobol_0242980,1200.0,EXISTING_AUTHORITATIVE_2D_PF,12702,49.08883842937369,92.6162707340557,182,1,1.0,TARGET_RIGHT_CENSORED,52.33729058145556,52.33729058145556,1,1.0,0.06617496473776963,True,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/1_final_v10_2_30_theta0_rate_extremes_four_class_1000um_base3621_v1/rate1x/v913_paper_peak01_0242980_persistent_sites/T1200K_th0_seed12702/steps_1200K.csv,95ba19655a31bcbd559b331a349ebd44e6ed495345b8d7f10d2379b39961b6ce,False
DBTT,v913_zeroD_sobol_0202500,300.0,EXISTING_AUTHORITATIVE_2D_PF,1003621,23.35655128646154,57.02644493223828,204,2,0.9509803921568627,TARGET_RIGHT_CENSORED,23.528948146364513,23.528948146364513,1,1.0,0.007381092259237058,False,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/1_final_v10_2_30_theta0_rate_extremes_four_class_1000um_base3621_v1/rate1x/v913_paper_dbtt01_0202500_persistent_sites/T300K_th0_seed1003621/steps_0300K.csv,491d1a09bf958c97b1813ad73d3ca8feb523d52ba9ef3231ae97a7e228713059,False
DBTT,v913_zeroD_sobol_0202500,1000.0,EXISTING_AUTHORITATIVE_2D_PF,1008666,56.18816031656195,116.33044040249337,208,2,0.9471153846153846,RIGHT_CENSORED_DRIVE_MAP_BOUND,63.0327656818609,98.3741774277335,3,0.3333333333333333,0.1218157940522827,False,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/1_final_v10_2_30_theta0_rate_extremes_four_class_1000um_base3621_v1/rate1x/v913_paper_dbtt01_0202500_persistent_sites/T1000K_th0_seed1008666/steps_1000K.csv,233824c0e7728ab05f9cf5aedb495e476c8c42696ecc14258bac4f065c326a5e,False
DBTT,v913_zeroD_sobol_0202500,1200.0,EXISTING_AUTHORITATIVE_2D_PF,1012702,54.061671674125535,101.23030599588628,189,2,0.9576719576719577,RIGHT_CENSORED_DRIVE_MAP_BOUND,59.92493812632241,102.75016383205231,3,0.3333333333333333,0.1084551452189573,False,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/1_final_v10_2_30_theta0_rate_extremes_four_class_1000um_base3621_v1/rate1x/v913_paper_dbtt01_0202500_persistent_sites/T1200K_th0_seed1012702/steps_1200K.csv,b5337cd7621e08ab62f6f2bf070c007789321b59449c511514c8c1678df0aa01,False
weak-T,v913_zeroD_sobol_0129902,300.0,EXISTING_AUTHORITATIVE_2D_PF,2003621,19.311160782134277,36.52904908146233,211,1,1.0,TARGET_RIGHT_CENSORED,18.85173394279202,19.260960817857,2,0.9565217391304348,-0.023790741764591155,False,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/1_final_v10_2_30_theta0_rate_extremes_four_class_1000um_base3621_v1/rate1x/v913_paper_weakT01_0129902_persistent_sites/T300K_th0_seed2003621/steps_0300K.csv,d808950e9dc4cfd86cbfd0cebd06ad539ff60df77c304aca0f3b0222fe90e107,False
weak-T,v913_zeroD_sobol_0129902,1000.0,EXISTING_AUTHORITATIVE_2D_PF,2008666,20.65657079331722,36.992635719447726,177,1,1.0,TARGET_RIGHT_CENSORED,21.00482979707371,24.942199355117985,5,0.8260869565217391,0.01685947814092941,False,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/1_final_v10_2_30_theta0_rate_extremes_four_class_1000um_base3621_v1/rate1x/v913_paper_weakT01_0129902_persistent_sites/T1000K_th0_seed2008666/steps_1000K.csv,5e4da16c0cb78f7471ec2a8d98b1e4ffe58888f161b0eb3f3277ce462b34ea73,False
weak-T,v913_zeroD_sobol_0129902,1200.0,EXISTING_AUTHORITATIVE_2D_PF,2012702,19.8860582116266,37.41522424844874,205,1,1.0,TARGET_RIGHT_CENSORED,20.87879833111525,25.287621985120285,5,0.8260869565217391,0.049921412726642404,False,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/1_final_v10_2_30_theta0_rate_extremes_four_class_1000um_base3621_v1/rate1x/v913_paper_weakT01_0129902_persistent_sites/T1200K_th0_seed2012702/steps_1200K.csv,5b4816f1635eea2bfedff3b3778685a4cc2fa5d8322756f8d1175e45300d0c95,False
ceramic-like,v913_zeroD_sobol_0077080,300.0,EXISTING_AUTHORITATIVE_2D_PF,3003621,13.64290979651999,33.71023190773214,197,2,0.949238578680203,TARGET_RIGHT_CENSORED,14.00495106973491,14.00495106973491,1,1.0,0.026536954257900876,False,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/1_final_v10_2_30_theta0_rate_extremes_four_class_1000um_base3621_v1/rate1x/v913_paper_ceramic01_0077080_persistent_sites/T300K_th0_seed3003621/steps_0300K.csv,cdd3f6e3004d9c8328d4defe956649dfd56094249083539beba116a240226874,False
