candidate_id,temperature_K,event_index,projected_extension_um,target_K_MPa_sqrt_m,predicted_K_MPa_sqrt_m,error_K_MPa_sqrt_m,absolute_error_K_MPa_sqrt_m
v912_targeted_local_peak_005518_0118,300.0,0,2.4335696912706477,14.680208353665616,14.685685402453723,0.005477048788106842,0.005477048788106842
v912_targeted_local_peak_005518_0118,300.0,1,8.269426255548096,14.924130402732645,14.927476663488308,0.003346260755662911,0.003346260755662911
v912_targeted_local_peak_005518_0118,300.0,2,10.566766351172998,15.730698808097184,15.734225351171098,0.003526543073913757,0.003526543073913757
v912_targeted_local_peak_005518_0118,300.0,3,14.803139908890111,15.760487552478299,15.764019533879559,0.003531981401259543,0.003531981401259543
v912_targeted_local_peak_005518_0118,300.0,4,18.914682684690003,16.65244882292993,16.656180690240344,0.003731867310413861,0.003731867310413861
v912_targeted_local_peak_005518_0118,300.0,5,22.411475066426803,15.262032730011065,15.26539044901896,0.003357719007896165,0.003357719007896165
v912_targeted_local_peak_005518_0118,300.0,6,24.691815553413075,18.822293779317235,18.826434771260185,0.004140991942950478,0.004140991942950478
v912_targeted_local_peak_005518_0118,300.0,7,30.977903897115535,18.22778880974658,18.23179900403068,0.0040101942840991,0.0040101942840991
v912_targeted_local_peak_005518_0118,300.0,8,33.17990391921708,19.254336529025235,19.258572567204133,0.004236038178898838,0.004236038178898838
v912_targeted_local_peak_005518_0118,300.0,9,38.150788292087455,19.650590917143653,19.654914129983382,0.004323212839729251,0.004323212839729251
v912_targeted_local_peak_005518_0118,300.0,10,40.0355875934535,18.711716325318374,18.71583298133821,0.004116656019835574,0.004116656019835574
v912_targeted_local_peak_005518_0118,300.0,11,41.92038689481954,18.763955921673926,18.76808406942754,0.004128147753615252,0.004128147753615252
v912_targeted_local_peak_005518_0118,300.0,12,44.09020610628318,20.43642912946511,20.440925226977797,0.004496097512685537,0.004496097512685537
v912_targeted_local_peak_005518_0118,300.0,13,47.46639350570406,16.509594513609255,16.51322668134186,0.00363216773260433,0.00363216773260433
