dataset,candidate_id,temperature_K,status,scale_K_geometry_scale,scale_reference_source_area_scale,scale_emission_geometry_scale,scale_activation_to_line_content_scale,scale_persistent_backstress_scale,scale_blunting_slip_fraction_scale,scale_translation_action_exponent,target_K_first_MPa_sqrt_m,predicted_K_first_MPa_sqrt_m,error_K_first_MPa_sqrt_m,absolute_error_K_first_MPa_sqrt_m,target_K_10um_MPa_sqrt_m,predicted_K_10um_MPa_sqrt_m,error_K_10um_MPa_sqrt_m,absolute_error_K_10um_MPa_sqrt_m,target_K_25um_MPa_sqrt_m,predicted_K_25um_MPa_sqrt_m,error_K_25um_MPa_sqrt_m,absolute_error_K_25um_MPa_sqrt_m,target_K_50um_MPa_sqrt_m,predicted_K_50um_MPa_sqrt_m,error_K_50um_MPa_sqrt_m,absolute_error_K_50um_MPa_sqrt_m,target_max_backstress_GPa,predicted_max_backstress_GPa,error_max_backstress_GPa,target_min_front_width_um,predicted_min_front_width_um,error_min_front_width_um,target_max_tip_radius_um,predicted_max_tip_radius_um,error_max_tip_radius_um
final,v912_targeted_local_peak_005518_0118,300.0,complete,1.0,1.0,1.0,1.0,1.0,1.0,0.95,14.680208353665616,14.685685402453723,0.005477048788106842,0.005477048788106842,15.730698808097184,15.734225351171098,0.003526543073913757,0.003526543073913757,18.22778880974658,18.23179900403068,0.0040101942840991,0.0040101942840991,16.42363904738431,16.427239099842698,0.0036000524583883475,0.0036000524583883475,1.1632565153936559e-28,0.0,-1.1632565153936559e-28,10.0,10.0,0.0,1.0,1.0,0.0
final,v912_targeted_local_peak_005518_0118,400.0,complete,1.0,1.0,1.0,1.0,1.0,1.0,0.95,17.155018764297107,17.164450010325343,0.009431246028235307,0.009431246028235307,18.378697138283485,18.38539190054792,0.0066947622644342175,0.0066947622644342175,21.295812420485905,21.303495698937095,0.007683278451189324,0.007683278451189324,19.187939085715797,19.194848269137125,0.00690918342132818,0.00690918342132818,4.481050417999534e-18,0.0,-4.481050417999534e-18,10.0,10.0,0.0,1.0,1.0,0.0
final,v912_targeted_local_peak_005518_0118,500.0,complete,1.0,1.0,1.0,1.0,1.0,1.0,0.95,19.46813433570243,19.48542962711652,0.01729529141409003,0.01729529141409003,20.856101879770783,20.86929070919951,0.0131888294287279,0.0131888294287279,24.166314280808407,24.181494014254646,0.015179733446238686,0.015179733446238686,21.774295086885335,21.787953612693972,0.013658525808637023,0.013658525808637023,9.37622580448037e-12,0.0,-9.37622580448037e-12,10.0,10.0,0.0,1.0,1.0,0.0
final,v912_targeted_local_peak_005518_0118,600.0,complete,1.0,1.0,1.0,1.0,1.0,1.0,0.95,21.728754419845774,21.73753493308127,0.008780513235496556,0.008780513235496556,23.27358914286018,23.27951097932279,0.005921836462608354,0.005921836462608354,26.96732592635214,26.974145798697958,0.006819872345818823,0.006819872345818823,24.29803056398905,24.304165422736542,0.006134858747490313,0.006134858747490313,1.435404441094269e-07,0.0,-1.435404441094269e-07,9.999999999985734,10.0,1.4265921777223411e-11,1.0000000000000022,1.0,-2.220446049250313e-15
final,v912_targeted_local_peak_005518_0118,700.0,complete,1.0,1.0,1.0,1.0,1.0,1.0,0.95,23.93053359774682,23.948812497773275,0.018278900026455602,0.018278900026455602,25.632915984557016,25.646780158708246,0.013864174151230202,0.013864174151230202,29.70120041792599,29.71706005207538,0.015859634149389734,0.015859634149389734,26.76129436542535,26.77556776021775,0.014273394792400751,0.014273394792400751,0.00014479049583792226,0.0,-0.00014479049583792226,9.999985484776285,10.0,1.4515223714539616e-05,1.0000000021037896,1.0,-2.1037895869824297e-09
final,v912_targeted_local_peak_005518_0118,800.0,complete,1.0,1.0,1.0,1.0,1.0,1.0,0.95,26.129738501099958,26.138873840183496,0.009135339083538696,0.009135339083538696,27.985021041046252,27.990984252582777,0.005963211536524682,0.005963211536524682,32.42648774495422,32.43324887165296,0.006761126698734188,0.006761126698734188,29.216806758667452,29.222889941500153,0.006083182832700373,0.006083182832700373,0.023906332389228912,0.023935609853228873,2.9277463999961145e-05,9.62633878095522,9.625597586200792,-0.0007411947544273545,1.0000573512184068,1.0000574716600608,1.2044165398350515e-07
final,v912_targeted_local_peak_005518_0118,900.0,complete,1.0,1.0,1.0,1.0,1.0,1.0,0.95,28.295558078224243,28.3125912306394,0.017033152415155683,0.017033152415155683,30.30537742792366,30.31796885627972,0.012591428356060419,0.012591428356060419,38.10478329611219,38.22286352911185,0.11808023299965953,0.11808023299965953,34.33283992578865,34.43923153425721,0.10639160846856299,0.10639160846856299,1.7151563841821247,1.743916115513071,0.028759731330946225,0.49499128895025696,0.48684941643495816,-0.008141872515298798,1.295044215344228,1.305019574140726,0.009975358796497913
final,v912_targeted_local_peak_005518_0118,1000.0,complete,1.0,1.0,1.0,1.0,1.0,1.0,0.95,30.52668069811091,30.533870546769084,0.00718984865817518,0.00718984865817518,32.683611872424336,32.68749366758035,0.003881795156011947,0.003881795156011947,54.08378250669861,54.099636934675495,0.0158544279768833,0.0158544279768833,48.73009850632602,48.74438351627115,0.014285009945126603,0.014285009945126603,3.5981923818633326,3.59080104665214,-0.007391335211192729,0.23838244199899303,0.2388863006085665,0.000503858609573471,2.274536340488369,2.2691624565902573,-0.005373883898111664
final,v912_targeted_local_peak_005518_0118,1100.0,complete,1.0,1.0,1.0,1.0,1.0,1.0,0.95,32.94391728380274,32.95767923444169,0.013761950638951248,0.013761950638951248,45.792756275275856,45.94429367688667,0.15153740161081686,0.15153740161081686,53.05828823326987,53.233868722784656,0.1755804895147861,0.1755804895147861,47.80611659434934,47.96431658807964,0.15819999373029958,0.15819999373029958,3.267365964750254,3.2775824361684642,0.010216471418210027,0.2647731839506054,0.263928157269193,-0.0008450266814123975,2.032987463077412,2.03961739394334,0.006629930865928113
final,v912_targeted_local_peak_005518_0118,1200.0,complete,1.0,1.0,1.0,1.0,1.0,1.0,0.95,35.25074874862068,35.25291640008713,0.002167651466450593,0.002167651466450593,53.84472798807985,53.63769678478054,-0.2070312032993158,0.2070312032993158,62.387795099826796,62.14791607420688,-0.23987902561991348,0.23987902561991348,56.21210755472696,55.99597383730006,-0.21613371742689935,0.21613371742689935,3.87128302212272,3.846184099372548,-0.025098922750172115,0.22313117773365368,0.22458226246780344,0.0014510847341497601,2.4548252196803344,2.4360766085814345,-0.018748611098899914
