state_label,feature,minimum,maximum,range
CHECKPOINT_000UM,mobile_total,0.0,0.0,0.0
CHECKPOINT_000UM,retained_total,10.11798745255378,10.117987452561763,7.982947636264726e-12
CHECKPOINT_000UM,retained_fraction,1.0,1.0,0.0
CHECKPOINT_000UM,mobile_centroid_tip_relative_m,0.0,0.0,0.0
CHECKPOINT_000UM,mobile_width_m,0.0,0.0,0.0
CHECKPOINT_000UM,retained_centroid_tip_relative_m,1.2499999999999997e-06,1.25e-06,4.235164736271502e-22
CHECKPOINT_000UM,retained_width_m,6.987712429686842e-07,6.987712429686842e-07,0.0
CHECKPOINT_000UM,near_tip_mobile,0.0,0.0,0.0
CHECKPOINT_000UM,near_tip_retained,10.11798745255378,10.117987452561763,7.982947636264726e-12
CHECKPOINT_000UM,wake_mobile,0.0,0.0,0.0
CHECKPOINT_000UM,wake_retained,0.0,0.0,0.0
CHECKPOINT_000UM,wake_retained_centroid_laboratory_m,0.0,0.0,0.0
CHECKPOINT_000UM,wake_retained_width_m,0.0,0.0,0.0
CHECKPOINT_000UM,tip_radius_m,1.0019122873412049e-06,1.0019122873412049e-06,0.0
CHECKPOINT_000UM,front_width_m,6.635213970773085e-06,6.635213970773818e-06,7.326834993749698e-19
CHECKPOINT_000UM,backstress_Pa,135507297.8020082,135507297.8020349,2.6702880859375e-05
CHECKPOINT_000UM,shielding_MPa_sqrt_m,-0.0016855374697321945,-0.001685537469730865,1.3294487039017255e-15
CHECKPOINT_000UM,multiplicity,8707.90221412918,8707.902214130143,9.62245394475758e-10
CHECKPOINT_000UM,peierls_velocity_max_m_s,75760.53219872974,195337.04878910686,119576.51659037713
CHECKPOINT_000UM,peierls_velocity_mean_m_s,74472.91997043125,192017.135829666,117544.21585923474
CHECKPOINT_000UM,encounter_rate_max_s,1551797938173.1208,4001075768114.004,2449277829940.883
CHECKPOINT_000UM,encounter_rate_mean_s,1551797938173.1208,4001075768114.003,2449277829940.882
CHECKPOINT_000UM,taylor_completion_rate_max_s,1.0,1.0,0.0
CHECKPOINT_000UM,taylor_completion_rate_mean_s,1.0,1.0,0.0
CHECKPOINT_025UM,mobile_total,0.0430555730895669,111337.70113039362,111337.65807482053
CHECKPOINT_025UM,retained_total,346168.7559174277,457548.51474183885,111379.75882441114
CHECKPOINT_025UM,retained_fraction,0.7566423393260308,0.99999990588739,0.2433575665613592
CHECKPOINT_025UM,mobile_centroid_tip_relative_m,1.505738550293774e-05,2.4859699197105603e-05,9.802313694167863e-06
CHECKPOINT_025UM,mobile_width_m,4.194436932993008e-06,8.32757703503146e-06,4.133140102038452e-06
CHECKPOINT_025UM,retained_centroid_tip_relative_m,1.078501293099952e-05,1.4202627386173067e-05,3.4176144551735466e-06
CHECKPOINT_025UM,retained_width_m,6.895800324306879e-06,8.754135427435992e-06,1.8583351031291128e-06
CHECKPOINT_025UM,near_tip_mobile,0.0,0.0,0.0
CHECKPOINT_025UM,near_tip_retained,21268.93730098001,21274.604048734967,5.666747754956305
CHECKPOINT_025UM,wake_mobile,0.04305556777322931,111337.70113038637,111337.6580748186
CHECKPOINT_025UM,wake_retained,324896.82880506926,436273.9106919459,111377.08188687661
CHECKPOINT_025UM,wake_retained_centroid_laboratory_m,0.0005396364985511479,0.0005430560791380974,3.4195805869495586e-06
CHECKPOINT_025UM,wake_retained_width_m,6.623383259877314e-06,8.446849120808304e-06,1.8234658609309898e-06
