candidate_i,candidate_j,distance
oneD_v2_dbtt_TP_f07fe99faea93479,v913_zeroD_sobol_0202500,355.9303268303303
oneD_v2_dbtt_TP_4895f9e5b44deea5,v913_zeroD_sobol_0202500,17.31395004547784
oneD_v2_dbtt_TP_7e668ee637fc3ac5,v913_zeroD_sobol_0202500,2.0799255032515127
oneD_v2_dbtt_TP_b60d78111740b058,v913_zeroD_sobol_0202500,13.621239194334004
oneD_v2_dbtt_TP_bd5be1610f6e1bce,v913_zeroD_sobol_0202500,8.055823391453423
oneD_v2_dbtt_TP_9555ff54d637c974,v913_zeroD_sobol_0202500,5.704994846663343
oneD_v2_dbtt_TP_f2817e7998cb7be6,v913_zeroD_sobol_0202500,4.572030472275215
oneD_v2_dbtt_TP_4895f9e5b44deea5,oneD_v2_dbtt_TP_f07fe99faea93479,368.749676134551
oneD_v2_dbtt_TP_7e668ee637fc3ac5,oneD_v2_dbtt_TP_f07fe99faea93479,355.9186211316374
oneD_v2_dbtt_TP_b60d78111740b058,oneD_v2_dbtt_TP_f07fe99faea93479,359.9004314495655
oneD_v2_dbtt_TP_bd5be1610f6e1bce,oneD_v2_dbtt_TP_f07fe99faea93479,356.1038791103009
oneD_v2_dbtt_TP_9555ff54d637c974,oneD_v2_dbtt_TP_f07fe99faea93479,355.9888316365339
oneD_v2_dbtt_TP_f07fe99faea93479,oneD_v2_dbtt_TP_f2817e7998cb7be6,355.99216600233103
oneD_v2_dbtt_TP_4895f9e5b44deea5,oneD_v2_dbtt_TP_7e668ee637fc3ac5,17.09082283612262
oneD_v2_dbtt_TP_4895f9e5b44deea5,oneD_v2_dbtt_TP_b60d78111740b058,15.126558015526882
oneD_v2_dbtt_TP_4895f9e5b44deea5,oneD_v2_dbtt_TP_bd5be1610f6e1bce,21.294398953787823
oneD_v2_dbtt_TP_4895f9e5b44deea5,oneD_v2_dbtt_TP_9555ff54d637c974,18.05496030016182
oneD_v2_dbtt_TP_4895f9e5b44deea5,oneD_v2_dbtt_TP_f2817e7998cb7be6,18.852138546239235
oneD_v2_dbtt_TP_7e668ee637fc3ac5,oneD_v2_dbtt_TP_b60d78111740b058,12.878306262708692
oneD_v2_dbtt_TP_7e668ee637fc3ac5,oneD_v2_dbtt_TP_bd5be1610f6e1bce,8.598400781993048
oneD_v2_dbtt_TP_7e668ee637fc3ac5,oneD_v2_dbtt_TP_9555ff54d637c974,6.03414365719247
oneD_v2_dbtt_TP_7e668ee637fc3ac5,oneD_v2_dbtt_TP_f2817e7998cb7be6,4.380880616980861
oneD_v2_dbtt_TP_b60d78111740b058,oneD_v2_dbtt_TP_bd5be1610f6e1bce,14.240516677936217
oneD_v2_dbtt_TP_9555ff54d637c974,oneD_v2_dbtt_TP_b60d78111740b058,16.541414311627737
oneD_v2_dbtt_TP_b60d78111740b058,oneD_v2_dbtt_TP_f2817e7998cb7be6,13.176349707623164
oneD_v2_dbtt_TP_9555ff54d637c974,oneD_v2_dbtt_TP_bd5be1610f6e1bce,8.98199015461042
oneD_v2_dbtt_TP_bd5be1610f6e1bce,oneD_v2_dbtt_TP_f2817e7998cb7be6,5.101128578650844
oneD_v2_dbtt_TP_9555ff54d637c974,oneD_v2_dbtt_TP_f2817e7998cb7be6,5.540890450436694
