feature,spearman_with_deltaK_reinit
CHECKPOINT_025UM__mobile_centroid_tip_relative_m,-0.6190476190476191
CHECKPOINT_100UM__wake_retained_centroid_laboratory_m,0.6190476190476191
REINITIATION_ONSET_01__retained_width_m,0.5952380952380953
REINITIATION_ONSET_01__wake_retained_width_m,0.5952380952380953
REINITIATION_ONSET_01__retained_centroid_tip_relative_m,0.5952380952380953
REINITIATION_ONSET_01__wake_retained_centroid_laboratory_m,0.5952380952380953
REINITIATION_ONSET_01__mobile_centroid_tip_relative_m,-0.5714285714285715
REINITIATION_ONSET_01__retained_fraction,0.523809523809524
REINITIATION_ONSET_01__mobile_total,-0.523809523809524
REINITIATION_ONSET_01__wake_mobile,-0.523809523809524
CHECKPOINT_025UM__mobile_width_m,0.5000000000000001
CHECKPOINT_050UM__mobile_width_m,0.5000000000000001
CHECKPOINT_300UM__wake_retained_width_m,0.4761904761904762
CHECKPOINT_300UM__retained_width_m,0.4761904761904762
CHECKPOINT_050UM__retained_total,0.4047619047619048
CHECKPOINT_050UM__wake_retained,0.4047619047619048
CHECKPOINT_050UM__mobile_total,-0.38095238095238104
CHECKPOINT_025UM__wake_mobile,-0.38095238095238104
CHECKPOINT_200UM__mobile_width_m,0.38095238095238104
CHECKPOINT_025UM__retained_fraction,0.38095238095238104
CHECKPOINT_050UM__wake_mobile,-0.38095238095238104
CHECKPOINT_050UM__retained_fraction,0.38095238095238104
CHECKPOINT_025UM__mobile_total,-0.38095238095238104
CHECKPOINT_200UM__wake_retained_width_m,0.3571428571428572
CHECKPOINT_200UM__retained_width_m,0.3571428571428572
REINITIATION_ONSET_01__mobile_width_m,0.3333333333333334
CHECKPOINT_025UM__retained_total,0.30952380952380953
CHECKPOINT_300UM__mobile_centroid_tip_relative_m,-0.30952380952380953
CHECKPOINT_200UM__wake_mobile,-0.30952380952380953
CHECKPOINT_025UM__wake_retained_width_m,0.30952380952380953
CHECKPOINT_025UM__wake_retained,0.30952380952380953
CHECKPOINT_025UM__retained_width_m,0.30952380952380953
CHECKPOINT_300UM__mobile_total,-0.30952380952380953
CHECKPOINT_200UM__mobile_total,-0.30952380952380953
CHECKPOINT_300UM__wake_mobile,-0.30952380952380953
CHECKPOINT_100UM__mobile_width_m,0.30952380952380953
INITIAL_ONSET__wake_mobile,-0.28571428571428575
INITIAL_ONSET__mobile_width_m,0.28571428571428575
INITIAL_ONSET__retained_fraction,0.28571428571428575
INITIAL_ONSET__mobile_total,-0.28571428571428575
