representation,extension_um,Ftop_N_per_m,abs_Ftop_N_per_m,Uapp_m,compliance_m2_per_N,stiffness_N_per_m2,bulk_elastic_energy_J_per_m,node_count,element_count,failed_interfaces,normalized_compliance,normalized_stiffness
adaptive_czm_failed,0.0,217750.77328959553,217750.77328959553,1e-06,4.5924061939842555e-12,217750773289.59555,0.1088753866447996,1124,2126,0,1.0,1.0
adaptive_split_no_network,0.0,217750.773289597,217750.773289597,1e-06,4.592406193984225e-12,217750773289.59702,0.1088753866447996,1124,2126,0,1.0,1.0
sharp_wake,0.0,217750.773289597,217750.773289597,1e-06,4.592406193984225e-12,217750773289.59702,0.1088753866447996,1124,2126,0,1.0,1.0
