option_key,candidate_id,role,temperature_K,seed,event_index,threshold_action,path_advance_m,step,U_m,K_MPa_sqrt_m,projected_extension_m,projected_advance_m,projected_advance_reported_m
v912_peak_0118_persistent_sites,v912_targeted_local_peak_005518_0118,Late-high-temperature candidate 0118,300,3621,0,0.5296494184524981,2.4335696912706475e-06,61.0,8.643649084422412e-06,14.680208353665616,2.4335696912706475e-06,2.4335696912706475e-06,2.4335696912706475e-06
v912_peak_0118_persistent_sites,v912_targeted_local_peak_005518_0118,Late-high-temperature candidate 0118,300,3621,1,1.270133354524103,5.835856564277448e-06,72.0,8.661844167384706e-06,14.924130402732645,8.269426255548096e-06,5.835856564277448e-06,5.835856564277448e-06
v912_peak_0118_persistent_sites,v912_targeted_local_peak_005518_0118,Late-high-temperature candidate 0118,300,3621,2,0.3747792998336802,2.2973400956249022e-06,82.0,8.66184889017093e-06,15.730698808097184,1.0566766351172998e-05,2.2973400956249022e-06,2.2973400956249022e-06
v912_peak_0118_persistent_sites,v912_targeted_local_peak_005518_0118,Late-high-temperature candidate 0118,300,3621,3,0.9220170678657782,4.236373557717113e-06,92.0,8.661858212199481e-06,15.760487552478299,1.480313990889011e-05,4.236373557717113e-06,4.236373557717113e-06
v912_peak_0118_persistent_sites,v912_targeted_local_peak_005518_0118,Late-high-temperature candidate 0118,300,3621,4,0.907530957796216,4.169814514732207e-06,102.0,8.661858262878524e-06,16.65244882292993,1.8914682684690004e-05,4.111542775799893e-06,4.111542775799893e-06
v912_peak_0118_persistent_sites,v912_targeted_local_peak_005518_0118,Late-high-temperature candidate 0118,300,3621,5,0.9705690875311566,4.459454560718732e-06,117.0,8.66243771889815e-06,15.262032730011065,2.2411475066426803e-05,3.4967923817367987e-06,3.4967923817367987e-06
v912_peak_0118_persistent_sites,v912_targeted_local_peak_005518_0118,Late-high-temperature candidate 0118,300,3621,6,0.05992034728703238,2.2973400956249183e-06,118.0,8.66243772089815e-06,18.822293779317235,2.4691815553413076e-05,2.280340486986274e-06,2.280340486986274e-06
v912_peak_0118_persistent_sites,v912_targeted_local_peak_005518_0118,Late-high-temperature candidate 0118,300,3621,7,1.5130544416197773,6.952001271192797e-06,128.0,8.662437758724507e-06,18.22778880974658,3.0977903897115534e-05,6.2860883437024576e-06,6.2860883437024576e-06
v912_peak_0118_persistent_sites,v912_targeted_local_peak_005518_0118,Late-high-temperature candidate 0118,300,3621,8,0.3143274347568031,2.297340095624867e-06,132.0,8.66243776672451e-06,19.254336529025235,3.317990391921708e-05,2.2020000221015463e-06,2.2020000221015463e-06
v912_peak_0118_persistent_sites,v912_targeted_local_peak_005518_0118,Late-high-temperature candidate 0118,300,3621,9,1.1191103309427959,5.141954069405808e-06,142.0,8.662437794702262e-06,19.650590917143653,3.8150788292087455e-05,4.970884372870374e-06,4.970884372870374e-06
v912_peak_0118_persistent_sites,v912_targeted_local_peak_005518_0118,Late-high-temperature candidate 0118,300,3621,10,0.15925225809888693,2.2973400956248425e-06,144.0,8.662437798702264e-06,18.711716325318374,4.00355875934535e-05,1.8847993013660453e-06,1.8847993013660453e-06
v912_peak_0118_persistent_sites,v912_targeted_local_peak_005518_0118,Late-high-temperature candidate 0118,300,3621,11,0.4809138788151508,2.297340095624836e-06,150.0,8.662437810702267e-06,18.763955921673926,4.1920386894819545e-05,1.8847993013660453e-06,1.8847993013660453e-06
