target_class,T_K,K_init_target_MPa_sqrt_m,source
ceramic,300,19.02,legacy_v8_scalar_transcribed_SI_dK0p02
ceramic,400,17.84,legacy_v8_scalar_transcribed_SI_dK0p02
ceramic,500,9.34,legacy_v8_scalar_transcribed_SI_dK0p02
ceramic,600,7.98,legacy_v8_scalar_transcribed_SI_dK0p02
ceramic,700,6.8,legacy_v8_scalar_transcribed_SI_dK0p02
ceramic,800,5.48,legacy_v8_scalar_transcribed_SI_dK0p02
ceramic,900,3.7800000000000002,legacy_v8_scalar_transcribed_SI_dK0p02
ceramic,1000,0.32,legacy_v8_scalar_transcribed_SI_dK0p02
ceramic,1100,0.02,legacy_v8_scalar_transcribed_SI_dK0p02
ceramic,1200,0.02,legacy_v8_scalar_transcribed_SI_dK0p02
peak,300,27.16,legacy_v8_scalar_transcribed_SI_dK0p02
peak,400,22.52,legacy_v8_scalar_transcribed_SI_dK0p02
peak,500,18.72,legacy_v8_scalar_transcribed_SI_dK0p02
peak,600,15.48,legacy_v8_scalar_transcribed_SI_dK0p02
peak,700,13.04,legacy_v8_scalar_transcribed_SI_dK0p02
peak,800,11.620000000000001,legacy_v8_scalar_transcribed_SI_dK0p02
peak,900,10.16,legacy_v8_scalar_transcribed_SI_dK0p02
peak,1000,8.56,legacy_v8_scalar_transcribed_SI_dK0p02
peak,1100,0.58,legacy_v8_scalar_transcribed_SI_dK0p02
peak,1200,0.04,legacy_v8_scalar_transcribed_SI_dK0p02
weakT,300,1.84,legacy_v8_scalar_transcribed_SI_dK0p02
weakT,400,1.84,legacy_v8_scalar_transcribed_SI_dK0p02
weakT,500,13.32,legacy_v8_scalar_transcribed_SI_dK0p02
weakT,600,13.18,legacy_v8_scalar_transcribed_SI_dK0p02
weakT,700,13.06,legacy_v8_scalar_transcribed_SI_dK0p02
weakT,800,12.98,legacy_v8_scalar_transcribed_SI_dK0p02
weakT,900,12.9,legacy_v8_scalar_transcribed_SI_dK0p02
weakT,1000,12.84,legacy_v8_scalar_transcribed_SI_dK0p02
weakT,1100,12.8,legacy_v8_scalar_transcribed_SI_dK0p02
weakT,1200,12.76,legacy_v8_scalar_transcribed_SI_dK0p02
DBTT,300,20.92,legacy_v8_scalar_transcribed_SI_dK0p02
DBTT,400,19.98,legacy_v8_scalar_transcribed_SI_dK0p02
DBTT,500,19.38,legacy_v8_scalar_transcribed_SI_dK0p02
DBTT,600,19.14,legacy_v8_scalar_transcribed_SI_dK0p02
DBTT,700,21.92,legacy_v8_scalar_transcribed_SI_dK0p02
DBTT,800,37.42,legacy_v8_scalar_transcribed_SI_dK0p02
DBTT,900,48.34,legacy_v8_scalar_transcribed_SI_dK0p02
DBTT,1000,50.72,legacy_v8_scalar_transcribed_SI_dK0p02
DBTT,1100,50.980000000000004,legacy_v8_scalar_transcribed_SI_dK0p02
DBTT,1200,51.2,legacy_v8_scalar_transcribed_SI_dK0p02
