target_class,cleave_G00_eV,cleave_gT_eV_per_K,cleave_sigc0_GPa,cleave_sT_GPa_per_K,cleave_exp_a,cleave_exp_n,cleave_floor_frac,cleave_S_hs_kB,emit_G00_eV,emit_gT_eV_per_K,emit_sigc0_GPa,emit_sT_GPa_per_K,emit_exp_a,emit_exp_n,emit_floor_frac,mpz_length_m,mpz_n_bins,mpz_n_systems,mpz_source_sites_per_system,mpz_source_recovery_rate_s,mpz_source_refresh_length_m,mpz_shielding_factors,mpz_glide_barrier_eV,mpz_glide_activation_volume_b3,mpz_trap_barrier_eV,mpz_detrap_barrier_eV,mpz_retained_recovery_barrier_eV,mpz_pair_annihilation_rate_per_count_s,c_blunt,r_pz_m,status
ceramic,1.7884,-0.0002532,4.7808,0.0006683,1.3908,2.0,0.00928,-8.781,1.3922,0.0091197,2.9802,0.002031,0.2383,1.1169,0.041,2e-06,40,2,40,0.0,2.5e-07,1 1,0.7,8.0,0.95,1.3,1.6,0.0,1.0,1e-06,INITIAL_GUESS_NOT_CALIBRATED
peak,3.8721,-0.0026975,4.2182,-0.0005593,0.8629,1.0271,0.00528,-0.6268,2.6094,-0.0009574,5.5176,0.00095,0.5254,0.8708,0.08442,2e-06,40,2,160,0.0,2.5e-07,1 1,0.85,8.0,0.65,1.15,1.45,0.0,1.0,1e-06,INITIAL_GUESS_NOT_CALIBRATED
weakT,2.5269,0.0016068,4.0609,0.0026762,0.836,1.4882,0.00478,0.1098,1.1173,0.0063971,0.9506,0.0009817,0.5055,0.8432,0.0309,2e-06,40,2,120,0.0,2.5e-07,1 1,0.8,8.0,0.75,1.15,1.5,0.0,1.0,1e-06,INITIAL_GUESS_NOT_CALIBRATED
DBTT,2.807,0.0045886,4.1195,9.77e-05,0.5925,1.2024,0.00256,6.9887,1.6954,0.0008853,3.7521,0.0022809,0.0944,0.835,0.03524,2e-06,40,2,220,0.0,2.5e-07,1 1,1.05,8.0,0.6,1.25,1.55,0.0,1.0,1e-06,INITIAL_GUESS_NOT_CALIBRATED
