translation_action_exponent,objective,residual_RMS,n_residuals,n_training_cases,n_event_targets
0.5,22.18897,0.48846,93,4,64
0.65,20.24949,0.46662,93,4,64
0.8,18.85801,0.45030,93,4,64
0.9,18.11963,0.44140,93,4,64
0.95,17.91402,0.43889,93,4,64
1.0,109.70403,1.08610,93,4,64
