material_class,tip_x_m,geometry_fingerprint,observer_evaluations,tip_radius_m,front_width_m_status,mobile_state_status,retained_state_status,source_multiplicity_status,backstress_status,signed_shielding_status,source_positions_status,tensor_probe_rows_pass,status
Peak,0.0005,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,172,1e-05,NOT_SERIALIZED_OBSERVER_PROBE_INDEPENDENT,NOT_SERIALIZED,NOT_SERIALIZED,NOT_SERIALIZED,NOT_SERIALIZED,NOT_SERIALIZED,NOT_SERIALIZED,True,PARTIAL_TENSOR_DOMAIN_ONLY_FULL_KINETIC_STATE_UNAVAILABLE
Peak,0.0005022973400956249,6b7d612af444188ac9e6026127a72e7d13c9d5238b3599797cc30034d6c2211b,8,1e-05,NOT_SERIALIZED_OBSERVER_PROBE_INDEPENDENT,NOT_SERIALIZED,NOT_SERIALIZED,NOT_SERIALIZED,NOT_SERIALIZED,NOT_SERIALIZED,NOT_SERIALIZED,True,PARTIAL_TENSOR_DOMAIN_ONLY_FULL_KINETIC_STATE_UNAVAILABLE
Peak,0.0005045946801912498,2e9f0bd9b8e4dde70466722c469b188ff5bdf31bb24868a1faa883aba54579bc,10,1e-05,NOT_SERIALIZED_OBSERVER_PROBE_INDEPENDENT,NOT_SERIALIZED,NOT_SERIALIZED,NOT_SERIALIZED,NOT_SERIALIZED,NOT_SERIALIZED,NOT_SERIALIZED,True,PARTIAL_TENSOR_DOMAIN_ONLY_FULL_KINETIC_STATE_UNAVAILABLE
Peak,0.0005068920202868747,af027e426c21840f223943761344e3996e304576a2aa45c2715b05c2bdb93398,6,1e-05,NOT_SERIALIZED_OBSERVER_PROBE_INDEPENDENT,NOT_SERIALIZED,NOT_SERIALIZED,NOT_SERIALIZED,NOT_SERIALIZED,NOT_SERIALIZED,NOT_SERIALIZED,True,PARTIAL_TENSOR_DOMAIN_ONLY_FULL_KINETIC_STATE_UNAVAILABLE
Peak,0.0005091893603824996,8328680b2cb2d687389fdeca8298b4248856bd3850d977faa0913c60029f0953,20,1e-05,NOT_SERIALIZED_OBSERVER_PROBE_INDEPENDENT,NOT_SERIALIZED,NOT_SERIALIZED,NOT_SERIALIZED,NOT_SERIALIZED,NOT_SERIALIZED,NOT_SERIALIZED,True,PARTIAL_TENSOR_DOMAIN_ONLY_FULL_KINETIC_STATE_UNAVAILABLE
DBTT,0.0005,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,188,1e-05,NOT_SERIALIZED_OBSERVER_PROBE_INDEPENDENT,NOT_SERIALIZED,NOT_SERIALIZED,NOT_SERIALIZED,NOT_SERIALIZED,NOT_SERIALIZED,NOT_SERIALIZED,True,PARTIAL_TENSOR_DOMAIN_ONLY_FULL_KINETIC_STATE_UNAVAILABLE
DBTT,0.0005029311065656791,c93f37753ec407638c50b16a464369c416cb365b99e0eb818b644b6979501423,33,1e-05,NOT_SERIALIZED_OBSERVER_PROBE_INDEPENDENT,NOT_SERIALIZED,NOT_SERIALIZED,NOT_SERIALIZED,NOT_SERIALIZED,NOT_SERIALIZED,NOT_SERIALIZED,True,PARTIAL_TENSOR_DOMAIN_ONLY_FULL_KINETIC_STATE_UNAVAILABLE
DBTT,0.0005074159297800499,2e1952514d6b91734c059c09148f6127450fdd8e46c78f5ae0f4d1536cc20d84,26,1e-05,NOT_SERIALIZED_OBSERVER_PROBE_INDEPENDENT,NOT_SERIALIZED,NOT_SERIALIZED,NOT_SERIALIZED,NOT_SERIALIZED,NOT_SERIALIZED,NOT_SERIALIZED,True,PARTIAL_TENSOR_DOMAIN_ONLY_FULL_KINETIC_STATE_UNAVAILABLE
