material_class,temperature_K,extension_um,kernel_sha256,configured_engine_construction,local_tensor_factory_wrapper,barrier_rate_state,threshold_post_event_renewal,status
Peak,300,0,d41b08f69ae773009f65f4c0094ef5436ba7f0f290a94172e5b894d09a41f7c3,RESOLVED_FROM_V3_PROVENANCE_AUDIT,PASS_EXACT,NOT_EXERCISED_NO_COMPLETE_PHYSICAL_STATE_FIXTURE,NOT_EXERCISED_NO_STOCHASTIC_STEPPING,NATIVE_CLOSURE_PARTIALLY_QUALIFIED
Peak,1000,0,d41b08f69ae773009f65f4c0094ef5436ba7f0f290a94172e5b894d09a41f7c3,RESOLVED_FROM_V3_PROVENANCE_AUDIT,PASS_EXACT,NOT_EXERCISED_NO_COMPLETE_PHYSICAL_STATE_FIXTURE,NOT_EXERCISED_NO_STOCHASTIC_STEPPING,NATIVE_CLOSURE_PARTIALLY_QUALIFIED
Peak,1200,0,d41b08f69ae773009f65f4c0094ef5436ba7f0f290a94172e5b894d09a41f7c3,RESOLVED_FROM_V3_PROVENANCE_AUDIT,PASS_EXACT,NOT_EXERCISED_NO_COMPLETE_PHYSICAL_STATE_FIXTURE,NOT_EXERCISED_NO_STOCHASTIC_STEPPING,NATIVE_CLOSURE_PARTIALLY_QUALIFIED
DBTT,300,0,d41b08f69ae773009f65f4c0094ef5436ba7f0f290a94172e5b894d09a41f7c3,RESOLVED_FROM_V3_PROVENANCE_AUDIT,PASS_EXACT,NOT_EXERCISED_NO_COMPLETE_PHYSICAL_STATE_FIXTURE,NOT_EXERCISED_NO_STOCHASTIC_STEPPING,NATIVE_CLOSURE_PARTIALLY_QUALIFIED
DBTT,1000,0,d41b08f69ae773009f65f4c0094ef5436ba7f0f290a94172e5b894d09a41f7c3,RESOLVED_FROM_V3_PROVENANCE_AUDIT,PASS_EXACT,NOT_EXERCISED_NO_COMPLETE_PHYSICAL_STATE_FIXTURE,NOT_EXERCISED_NO_STOCHASTIC_STEPPING,NATIVE_CLOSURE_PARTIALLY_QUALIFIED
DBTT,1200,0,d41b08f69ae773009f65f4c0094ef5436ba7f0f290a94172e5b894d09a41f7c3,RESOLVED_FROM_V3_PROVENANCE_AUDIT,PASS_EXACT,NOT_EXERCISED_NO_COMPLETE_PHYSICAL_STATE_FIXTURE,NOT_EXERCISED_NO_STOCHASTIC_STEPPING,NATIVE_CLOSURE_PARTIALLY_QUALIFIED
weak-T,300,0,d41b08f69ae773009f65f4c0094ef5436ba7f0f290a94172e5b894d09a41f7c3,RESOLVED_FROM_V3_PROVENANCE_AUDIT,PASS_EXACT,NOT_EXERCISED_NO_COMPLETE_PHYSICAL_STATE_FIXTURE,NOT_EXERCISED_NO_STOCHASTIC_STEPPING,NATIVE_CLOSURE_PARTIALLY_QUALIFIED
weak-T,1000,0,d41b08f69ae773009f65f4c0094ef5436ba7f0f290a94172e5b894d09a41f7c3,RESOLVED_FROM_V3_PROVENANCE_AUDIT,PASS_EXACT,NOT_EXERCISED_NO_COMPLETE_PHYSICAL_STATE_FIXTURE,NOT_EXERCISED_NO_STOCHASTIC_STEPPING,NATIVE_CLOSURE_PARTIALLY_QUALIFIED
weak-T,1200,0,d41b08f69ae773009f65f4c0094ef5436ba7f0f290a94172e5b894d09a41f7c3,RESOLVED_FROM_V3_PROVENANCE_AUDIT,PASS_EXACT,NOT_EXERCISED_NO_COMPLETE_PHYSICAL_STATE_FIXTURE,NOT_EXERCISED_NO_STOCHASTIC_STEPPING,NATIVE_CLOSURE_PARTIALLY_QUALIFIED
ceramic-like,300,0,d41b08f69ae773009f65f4c0094ef5436ba7f0f290a94172e5b894d09a41f7c3,RESOLVED_FROM_V3_PROVENANCE_AUDIT,PASS_EXACT,NOT_EXERCISED_NO_COMPLETE_PHYSICAL_STATE_FIXTURE,NOT_EXERCISED_NO_STOCHASTIC_STEPPING,NATIVE_CLOSURE_PARTIALLY_QUALIFIED
ceramic-like,1000,0,d41b08f69ae773009f65f4c0094ef5436ba7f0f290a94172e5b894d09a41f7c3,RESOLVED_FROM_V3_PROVENANCE_AUDIT,PASS_EXACT,NOT_EXERCISED_NO_COMPLETE_PHYSICAL_STATE_FIXTURE,NOT_EXERCISED_NO_STOCHASTIC_STEPPING,NATIVE_CLOSURE_PARTIALLY_QUALIFIED
ceramic-like,1200,0,d41b08f69ae773009f65f4c0094ef5436ba7f0f290a94172e5b894d09a41f7c3,RESOLVED_FROM_V3_PROVENANCE_AUDIT,PASS_EXACT,NOT_EXERCISED_NO_COMPLETE_PHYSICAL_STATE_FIXTURE,NOT_EXERCISED_NO_STOCHASTIC_STEPPING,NATIVE_CLOSURE_PARTIALLY_QUALIFIED
Peak,300,100,d41b08f69ae773009f65f4c0094ef5436ba7f0f290a94172e5b894d09a41f7c3,RESOLVED_FROM_V3_PROVENANCE_AUDIT,PASS_EXACT,NOT_EXERCISED_NO_COMPLETE_PHYSICAL_STATE_FIXTURE,NOT_EXERCISED_NO_STOCHASTIC_STEPPING,NATIVE_CLOSURE_PARTIALLY_QUALIFIED
Peak,1000,100,d41b08f69ae773009f65f4c0094ef5436ba7f0f290a94172e5b894d09a41f7c3,RESOLVED_FROM_V3_PROVENANCE_AUDIT,PASS_EXACT,NOT_EXERCISED_NO_COMPLETE_PHYSICAL_STATE_FIXTURE,NOT_EXERCISED_NO_STOCHASTIC_STEPPING,NATIVE_CLOSURE_PARTIALLY_QUALIFIED
Peak,1200,100,d41b08f69ae773009f65f4c0094ef5436ba7f0f290a94172e5b894d09a41f7c3,RESOLVED_FROM_V3_PROVENANCE_AUDIT,PASS_EXACT,NOT_EXERCISED_NO_COMPLETE_PHYSICAL_STATE_FIXTURE,NOT_EXERCISED_NO_STOCHASTIC_STEPPING,NATIVE_CLOSURE_PARTIALLY_QUALIFIED
DBTT,300,100,d41b08f69ae773009f65f4c0094ef5436ba7f0f290a94172e5b894d09a41f7c3,RESOLVED_FROM_V3_PROVENANCE_AUDIT,PASS_EXACT,NOT_EXERCISED_NO_COMPLETE_PHYSICAL_STATE_FIXTURE,NOT_EXERCISED_NO_STOCHASTIC_STEPPING,NATIVE_CLOSURE_PARTIALLY_QUALIFIED
DBTT,1000,100,d41b08f69ae773009f65f4c0094ef5436ba7f0f290a94172e5b894d09a41f7c3,RESOLVED_FROM_V3_PROVENANCE_AUDIT,PASS_EXACT,NOT_EXERCISED_NO_COMPLETE_PHYSICAL_STATE_FIXTURE,NOT_EXERCISED_NO_STOCHASTIC_STEPPING,NATIVE_CLOSURE_PARTIALLY_QUALIFIED
DBTT,1200,100,d41b08f69ae773009f65f4c0094ef5436ba7f0f290a94172e5b894d09a41f7c3,RESOLVED_FROM_V3_PROVENANCE_AUDIT,PASS_EXACT,NOT_EXERCISED_NO_COMPLETE_PHYSICAL_STATE_FIXTURE,NOT_EXERCISED_NO_STOCHASTIC_STEPPING,NATIVE_CLOSURE_PARTIALLY_QUALIFIED
weak-T,300,100,d41b08f69ae773009f65f4c0094ef5436ba7f0f290a94172e5b894d09a41f7c3,RESOLVED_FROM_V3_PROVENANCE_AUDIT,PASS_EXACT,NOT_EXERCISED_NO_COMPLETE_PHYSICAL_STATE_FIXTURE,NOT_EXERCISED_NO_STOCHASTIC_STEPPING,NATIVE_CLOSURE_PARTIALLY_QUALIFIED
weak-T,1000,100,d41b08f69ae773009f65f4c0094ef5436ba7f0f290a94172e5b894d09a41f7c3,RESOLVED_FROM_V3_PROVENANCE_AUDIT,PASS_EXACT,NOT_EXERCISED_NO_COMPLETE_PHYSICAL_STATE_FIXTURE,NOT_EXERCISED_NO_STOCHASTIC_STEPPING,NATIVE_CLOSURE_PARTIALLY_QUALIFIED
weak-T,1200,100,d41b08f69ae773009f65f4c0094ef5436ba7f0f290a94172e5b894d09a41f7c3,RESOLVED_FROM_V3_PROVENANCE_AUDIT,PASS_EXACT,NOT_EXERCISED_NO_COMPLETE_PHYSICAL_STATE_FIXTURE,NOT_EXERCISED_NO_STOCHASTIC_STEPPING,NATIVE_CLOSURE_PARTIALLY_QUALIFIED
ceramic-like,300,100,d41b08f69ae773009f65f4c0094ef5436ba7f0f290a94172e5b894d09a41f7c3,RESOLVED_FROM_V3_PROVENANCE_AUDIT,PASS_EXACT,NOT_EXERCISED_NO_COMPLETE_PHYSICAL_STATE_FIXTURE,NOT_EXERCISED_NO_STOCHASTIC_STEPPING,NATIVE_CLOSURE_PARTIALLY_QUALIFIED
ceramic-like,1000,100,d41b08f69ae773009f65f4c0094ef5436ba7f0f290a94172e5b894d09a41f7c3,RESOLVED_FROM_V3_PROVENANCE_AUDIT,PASS_EXACT,NOT_EXERCISED_NO_COMPLETE_PHYSICAL_STATE_FIXTURE,NOT_EXERCISED_NO_STOCHASTIC_STEPPING,NATIVE_CLOSURE_PARTIALLY_QUALIFIED
ceramic-like,1200,100,d41b08f69ae773009f65f4c0094ef5436ba7f0f290a94172e5b894d09a41f7c3,RESOLVED_FROM_V3_PROVENANCE_AUDIT,PASS_EXACT,NOT_EXERCISED_NO_COMPLETE_PHYSICAL_STATE_FIXTURE,NOT_EXERCISED_NO_STOCHASTIC_STEPPING,NATIVE_CLOSURE_PARTIALLY_QUALIFIED
