provider,material_class,candidate_id,temperature_K,target_um,status,event_count,physical_avalanche_count,precursor_reinitiation_count,largest_avalanche_fraction,first_event_opening_um,first_event_native_KJ_MPa_sqrt_m,onset_envelope_min_MPa_sqrt_m,onset_envelope_max_MPa_sqrt_m,qualified_G_onset_min_J_m2,qualified_G_onset_max_J_m2,mean_event_size_um,median_event_size_um,terminal_extension_um,terminal_opening_um,max_tip_radius_um,max_backstress_GPa,minimum_front_width_um,max_source_multiplicity,model_contract
PF,DBTT,v913_zeroD_sobol_0202500,1200.0,1000.0,RIGHT_CENSORED_DRIVE_MAP_BOUND,165,2,1,0.9939393939393939,30.395430455953072,60.425109777532214,60.425109777532214,111.11076985779054,,,5.0,5.0,825.0000000000018,182.98567781934418,1004.1045927562374,97.73528646204045,0.012245179358721913,16105.455511995882,SOURCE_NORMALIZED_DRIVE+V913_ZEROD_IMPLICIT_BACKSTRESS_V2
FEMCZM,DBTT,v913_zeroD_sobol_0202500,300.0,1000.0,RIGHT_CENSORED_NUMERICAL_BOUND,79,3,2,0.9746835443037974,8.184104550413013,37.414168174871904,37.414168174871904,62.883131641627976,3145.0637631571444,8884.341963608487,5.675885418551874,3.381483409267023,448.39494806559776,500.14326292555415,34.03786923953041,17.81012828851369,0.06747186038998748,13098.721493807927,SOURCE_NORMALIZED_DRIVE+V913_ZEROD_IMPLICIT_BACKSTRESS_V2
FEMCZM,DBTT,v913_zeroD_sobol_0202500,600.0,1000.0,RIGHT_CENSORED_NUMERICAL_BOUND,79,3,2,0.9746835443037974,8.070564825170486,36.895113909547504,36.895113909547504,62.36279266259952,3058.4048782466157,8737.919771193372,5.675885418551874,3.381483409267023,448.39494806559776,500.02972320031165,108.49196693026114,32.12668639592576,0.03740654028937542,13098.721493807927,SOURCE_NORMALIZED_DRIVE+V913_ZEROD_IMPLICIT_BACKSTRESS_V2
FEMCZM,DBTT,v913_zeroD_sobol_0202500,900.0,1000.0,RIGHT_CENSORED_NUMERICAL_BOUND,79,3,2,0.9746835443037974,7.8130833351393445,35.71802047060121,35.71802047060121,61.18278579403132,2866.3685518895504,8410.376497664165,5.675885418551874,3.381483409267023,448.39494806559776,500.1722417102805,344.0732507040291,57.39557398095192,0.020938434365836617,13098.721493807927,SOURCE_NORMALIZED_DRIVE+V913_ZEROD_IMPLICIT_BACKSTRESS_V2
FEMCZM,DBTT,v913_zeroD_sobol_0202500,1100.0,1000.0,RIGHT_CENSORED_NUMERICAL_BOUND,79,3,2,0.9746835443037974,12.909926888671214,59.018573475294886,59.018573475294886,84.5410101093318,7825.907003396814,16058.01309783477,5.675885418551874,3.381483409267023,448.39494806559776,500.0690852638123,597.7408628167016,75.69699778449338,0.015876148390518718,12430.454375131372,SOURCE_NORMALIZED_DRIVE+V913_ZEROD_IMPLICIT_BACKSTRESS_V2
FEMCZM,DBTT,v913_zeroD_sobol_0202500,1200.0,1000.0,RIGHT_CENSORED_NUMERICAL_BOUND,79,3,2,0.9746835443037974,12.530920677054187,57.28592183901478,57.28592183901478,82.80406997866835,7373.150162670194,15404.950606497478,5.675885418551874,3.381483409267023,448.39494806559776,500.09007905219534,597.2043049281438,75.66295875736942,0.01588329068671333,12424.883406850093,SOURCE_NORMALIZED_DRIVE+V913_ZEROD_IMPLICIT_BACKSTRESS_V2
PF,weak-T,oneD_v2_focused_weak_T_0016,300.0,1000.0,TARGET_RIGHT_CENSORED,200,1,0,1.0,10.662828919716318,21.197350994801074,21.197350994801074,21.197350994801074,,,4.999999999999989,5.0,1000.0,33.87580880009296,48.409513799943106,29.473975199417414,0.04071885620981774,1542860.4606869381,SOURCE_NORMALIZED_DRIVE+V913_ZEROD_IMPLICIT_BACKSTRESS_V2
PF,weak-T,oneD_v2_focused_weak_T_0016,600.0,1000.0,TARGET_RIGHT_CENSORED,200,1,0,1.0,12.14882625341348,24.1514645135384,24.1514645135384,24.1514645135384,,,4.999999999999989,5.0,1000.0,34.72108543298647,58.96238657020141,32.56788029638474,0.03682611007410098,1542860.3028035506,SOURCE_NORMALIZED_DRIVE+V913_ZEROD_IMPLICIT_BACKSTRESS_V2
PF,weak-T,oneD_v2_focused_weak_T_0016,900.0,1000.0,TARGET_RIGHT_CENSORED,200,1,0,1.0,13.1455121668073,26.132843122991396,26.132843122991396,26.132843122991396,,,4.999999999999989,5.0,1000.0,29.338012241141094,50.39057398308575,30.06591972651191,0.03989389393887277,1353420.9033586793,SOURCE_NORMALIZED_DRIVE+V913_ZEROD_IMPLICIT_BACKSTRESS_V2
PF,weak-T,oneD_v2_focused_weak_T_0016,1100.0,1000.0,TARGET_RIGHT_CENSORED,200,1,0,1.0,12.572661154226827,24.994034269091248,24.994034269091248,24.994034269091248,,,4.999999999999989,5.0,1000.0,25.588784584542136,43.818337965875166,27.99522090131875,0.042846271166008545,1353420.9033586793,SOURCE_NORMALIZED_DRIVE+V913_ZEROD_IMPLICIT_BACKSTRESS_V2
PF,weak-T,oneD_v2_focused_weak_T_0016,1200.0,1000.0,TARGET_RIGHT_CENSORED,200,1,0,1.0,11.827255190705285,23.512191883608768,23.512191883608768,23.512191883608768,,,4.999999999999989,5.0,1000.0,23.74525345480193,40.510789989101575,26.892688670638915,0.04460358276141493,1353420.9033586793,SOURCE_NORMALIZED_DRIVE+V913_ZEROD_IMPLICIT_BACKSTRESS_V2
FEMCZM,weak-T,oneD_v2_focused_weak_T_0016,300.0,1000.0,TARGET_RIGHT_CENSORED,212,2,1,0.9952830188679245,5.660917597111318,25.87925431521108,25.87925431521108,39.54734800372116,1504.7376359374052,3513.920187555932,4.716981132075472,3.0775812580531094,1000.0,197.77769113687842,143.26773070631995,51.12652408519477,0.023505934380464687,1542860.4606806166,SOURCE_NORMALIZED_DRIVE+V913_ZEROD_IMPLICIT_BACKSTRESS_V2
FEMCZM,weak-T,oneD_v2_focused_weak_T_0016,600.0,1000.0,TARGET_RIGHT_CENSORED,212,2,1,0.9952830188679245,5.631747875518756,25.745903028878452,25.745903028878452,39.41463398542066,1489.270287670123,3490.3755504169335,4.716981132075472,3.0775812580531094,1000.0,197.7487027473607,142.87070964916788,51.05513658747481,0.023538801557014648,1542860.296629668,SOURCE_NORMALIZED_DRIVE+V913_ZEROD_IMPLICIT_BACKSTRESS_V2
FEMCZM,weak-T,oneD_v2_focused_weak_T_0016,900.0,1000.0,TARGET_RIGHT_CENSORED,212,2,1,0.9952830188679245,6.029282211319552,27.563257194299812,27.563257194299812,41.234577574046575,1706.9403384484178,3820.1486411732294,4.716981132075472,3.0775812580531094,1000.0,198.14622845205184,144.16151132694955,51.28687218158556,0.023432444214184608,1285651.775399044,SOURCE_NORMALIZED_DRIVE+V913_ZEROD_IMPLICIT_BACKSTRESS_V2
FEMCZM,weak-T,oneD_v2_focused_weak_T_0016,1100.0,1000.0,TARGET_RIGHT_CENSORED,212,2,1,0.9952830188679245,5.923832482734169,27.081186876773256,27.081186876773256,40.77703201452842,1647.7550634017102,3735.841018642357,4.716981132075472,3.0775812580531094,1000.0,198.04628792526162,145.3850664870253,51.505572436113425,0.023332947320979125,1285651.775399044,SOURCE_NORMALIZED_DRIVE+V913_ZEROD_IMPLICIT_BACKSTRESS_V2
FEMCZM,weak-T,oneD_v2_focused_weak_T_0016,1200.0,1000.0,TARGET_RIGHT_CENSORED,212,2,1,0.9952830188679245,5.619449315298871,25.689679358036862,25.689679358036862,39.372087691138276,1482.7728798692506,3482.8442160132245,4.716981132075472,3.0775812580531094,1000.0,197.73940946721603,145.79443281281925,51.578536432410786,0.0232999404174105,1285651.775399044,SOURCE_NORMALIZED_DRIVE+V913_ZEROD_IMPLICIT_BACKSTRESS_V2
PF,ceramic-like,oneD_v2_focused_ceramic_like_0018,300.0,1000.0,TARGET_RIGHT_CENSORED,200,1,0,1.0,7.859792006982987,15.62500638175698,15.62500638175698,15.62500638175698,,,4.999999999999989,5.0,1000.0,9.066941166108103,1.000000012402357,0.0008669210192271757,9.99973904186232,718464.2991236427,SOURCE_NORMALIZED_DRIVE+V913_ZEROD_IMPLICIT_BACKSTRESS_V2
PF,ceramic-like,oneD_v2_focused_ceramic_like_0018,600.0,1000.0,TARGET_RIGHT_CENSORED,200,1,0,1.0,8.048323685017401,15.999801118034211,15.999801118034211,15.999801118034211,,,4.999999999999989,5.0,1000.0,9.247332127001945,1.0003954072129573,0.14477025049819942,6.126767026030432,718464.2601299994,SOURCE_NORMALIZED_DRIVE+V913_ZEROD_IMPLICIT_BACKSTRESS_V2
PF,ceramic-like,oneD_v2_focused_ceramic_like_0018,900.0,1000.0,TARGET_RIGHT_CENSORED,200,1,0,1.0,8.495123461124004,16.888024285623224,16.888024285623224,16.888024285623224,,,4.999999999999989,5.0,1000.0,8.832024512167935,1.4009727468816289,4.936729299822617,0.2433644397292764,630144.1982340935,SOURCE_NORMALIZED_DRIVE+V913_ZEROD_IMPLICIT_BACKSTRESS_V2
PF,ceramic-like,oneD_v2_focused_ceramic_like_0018,1100.0,1000.0,TARGET_RIGHT_CENSORED,200,1,0,1.0,7.4689254300939645,14.847976563044158,14.847976563044158,14.847976563044158,,,4.999999999999989,5.0,1000.0,8.161276701124184,2.0575074307801464,7.995425867571922,0.14988310880548278,630144.1982340935,SOURCE_NORMALIZED_DRIVE+V913_ZEROD_IMPLICIT_BACKSTRESS_V2
PF,ceramic-like,oneD_v2_focused_ceramic_like_0018,1200.0,1000.0,TARGET_RIGHT_CENSORED,200,1,0,1.0,6.954967042978007,13.826244299453771,13.826244299453771,13.826244299453771,,,4.999999999999989,5.0,1000.0,7.761598791540711,2.940602404158964,10.845691773966921,0.11064921158018101,630144.1982340935,SOURCE_NORMALIZED_DRIVE+V913_ZEROD_IMPLICIT_BACKSTRESS_V2
FEMCZM,ceramic-like,oneD_v2_focused_ceramic_like_0018,300.0,1000.0,TARGET_RIGHT_CENSORED,217,1,0,1.0,7.5882599675529026,34.69022577019068,34.69022577019068,34.69022577019068,2703.781046533977,2703.781046533977,4.608294930875574,2.820458929727967,1000.0,253.94589021901953,74.46194066743763,66.82094909142685,0.01798503523022683,718464.2991206958,SOURCE_NORMALIZED_DRIVE+V913_ZEROD_IMPLICIT_BACKSTRESS_V2
FEMCZM,ceramic-like,oneD_v2_focused_ceramic_like_0018,600.0,1000.0,TARGET_RIGHT_CENSORED,217,1,0,1.0,7.569731734196732,34.60552274196066,34.60552274196066,34.60552274196066,2690.5935367737725,2690.5935367737725,4.608294930875574,2.820458929727967,1000.0,253.92736198566337,86.98085229148302,72.29071456399794,0.016624236965535985,718464.2562764635,SOURCE_NORMALIZED_DRIVE+V913_ZEROD_IMPLICIT_BACKSTRESS_V2
FEMCZM,ceramic-like,oneD_v2_focused_ceramic_like_0018,900.0,1000.0,TARGET_RIGHT_CENSORED,217,1,0,1.0,7.386775297688898,33.76912544986669,33.76912544986669,33.76912544986669,2562.104820670421,2562.104820670421,4.608294930875574,2.820458929727967,1000.0,253.7444055491555,110.49043694579797,81.57739468994647,0.014731759764836356,598545.0513423305,SOURCE_NORMALIZED_DRIVE+V913_ZEROD_IMPLICIT_BACKSTRESS_V2
FEMCZM,ceramic-like,oneD_v2_focused_ceramic_like_0018,1100.0,1000.0,TARGET_RIGHT_CENSORED,217,1,0,1.0,6.9341012158540885,31.699696336168657,31.699696336168657,31.699696336168657,2257.706433857169,2257.706433857169,4.608294930875574,2.820458929727967,1000.0,253.29173146732057,123.45854080232066,86.27327491591642,0.013929907494140954,598545.0513423305,SOURCE_NORMALIZED_DRIVE+V913_ZEROD_IMPLICIT_BACKSTRESS_V2
FEMCZM,ceramic-like,oneD_v2_focused_ceramic_like_0018,1200.0,1000.0,TARGET_RIGHT_CENSORED,217,1,0,1.0,6.694281304977155,30.60334395919669,30.60334395919669,30.60334395919669,2104.238845220527,2104.238845220527,4.608294930875574,2.820458929727967,1000.0,253.05191155644357,123.31146433801759,86.22145092550285,0.013938280143628407,598545.0513423305,SOURCE_NORMALIZED_DRIVE+V913_ZEROD_IMPLICIT_BACKSTRESS_V2
