material_class,temperature_K,sensitivity_group,parameter_owner,PF_sign__first_event_native_KJ_MPa_sqrt_m,FEMCZM_sign__first_event_native_KJ_MPa_sqrt_m,sign_agreement__first_event_native_KJ_MPa_sqrt_m,mean_magnitude__first_event_native_KJ_MPa_sqrt_m,PF_sign__onset_envelope_max_MPa_sqrt_m,FEMCZM_sign__onset_envelope_max_MPa_sqrt_m,sign_agreement__onset_envelope_max_MPa_sqrt_m,mean_magnitude__onset_envelope_max_MPa_sqrt_m,PF_sign__precursor_reinitiation_count,FEMCZM_sign__precursor_reinitiation_count,sign_agreement__precursor_reinitiation_count,mean_magnitude__precursor_reinitiation_count,PF_sign__physical_avalanche_count,FEMCZM_sign__physical_avalanche_count,sign_agreement__physical_avalanche_count,mean_magnitude__physical_avalanche_count,PF_sign__largest_avalanche_fraction,FEMCZM_sign__largest_avalanche_fraction,sign_agreement__largest_avalanche_fraction,mean_magnitude__largest_avalanche_fraction,PF_sign__mean_event_size_um,FEMCZM_sign__mean_event_size_um,sign_agreement__mean_event_size_um,mean_magnitude__mean_event_size_um,PF_sign__max_tip_radius_um,FEMCZM_sign__max_tip_radius_um,sign_agreement__max_tip_radius_um,mean_magnitude__max_tip_radius_um,PF_sign__max_backstress_GPa,FEMCZM_sign__max_backstress_GPa,sign_agreement__max_backstress_GPa,mean_magnitude__max_backstress_GPa,PF_sign__minimum_front_width_um,FEMCZM_sign__minimum_front_width_um,sign_agreement__minimum_front_width_um,mean_magnitude__minimum_front_width_um,PF_sign__max_source_multiplicity,FEMCZM_sign__max_source_multiplicity,sign_agreement__max_source_multiplicity,mean_magnitude__max_source_multiplicity
DBTT,1200.0,cleavage_activation_stress_shape,SHARED_MATERIAL_ROW,1,1,True,0.14834542487253438,1,1,True,0.1717489439896974,0,0,True,0.0,0,0,True,0.0,0,0,True,0.0,0,0,True,0.0,-1,1,False,0.021753296397676453,-1,1,False,0.014612436135979873,1,-1,False,0.011392102125353751,0,0,True,0.0
DBTT,1200.0,cleavage_stress_free_barrier,SHARED_MATERIAL_ROW,1,1,True,0.26323072486340904,1,1,True,0.2801538150299765,0,0,True,0.0,0,0,True,0.0,0,0,True,0.0,0,0,True,0.0,1,1,True,0.2639529148161211,1,1,True,0.15100745035773888,-1,-1,True,0.2058660888125802,0,0,True,0.0
DBTT,1200.0,direct_shielding_coefficient,INACTIVE_ACCEPTED_COMMON_PHYSICS,0,0,True,0.0,0,0,True,0.0,0,0,True,0.0,0,0,True,0.0,0,0,True,0.0,0,0,True,0.0,0,0,True,0.0,0,0,True,0.0,0,0,True,0.0,0,0,True,0.0
DBTT,1200.0,emission_activation_stress_shape,SHARED_MATERIAL_ROW,1,1,True,2.6831734249056326e-08,1,1,True,1.5164136405762844e-07,0,0,True,0.0,0,0,True,0.0,0,0,True,0.0,0,0,True,0.0,-1,1,False,1.8678809827334376e-08,-1,1,False,1.0105891583175277e-08,1,-1,False,9.471831376393681e-09,-1,-1,True,3.865195989713336e-07
DBTT,1200.0,emission_stress_free_barrier,SHARED_MATERIAL_ROW,-1,-1,True,4.313445524539195e-09,-1,-1,True,6.4635757538881075e-09,0,0,True,0.0,0,0,True,0.0,0,0,True,0.0,0,0,True,0.0,1,-1,False,2.855482108009642e-09,1,-1,False,1.4571626610090849e-09,-1,1,False,1.4507559353810662e-09,1,1,True,9.587869268362309e-08
DBTT,1200.0,front_width_scale,CONTROLLED_COMMON_PHYSICS,0,0,True,0.0,0,0,True,0.0,0,0,True,0.0,0,0,True,0.0,0,0,True,0.0,0,0,True,0.0,0,0,True,0.0,0,0,True,0.0,1,1,True,0.5,-1,0,False,7.913551642999507e-17
DBTT,1200.0,initial_source_density,SHARED_MATERIAL_ROW,1,-1,False,0.007555797597793066,1,-1,False,0.01763593646637548,0,0,True,0.0,0,0,True,0.0,0,0,True,0.0,0,0,True,0.0,1,-1,False,0.04095371672623223,1,-1,False,0.02113122144350348,-1,1,False,0.02197850942334284,1,1,True,0.4999999973364507
DBTT,1200.0,lifecycle_event_length,BACKEND_REDUCTION,0,0,True,0.0,1,1,True,0.24082555257462004,1,0,False,0.5,1,0,False,0.25,-1,-1,True,0.06990740740740736,1,1,True,0.4317129629629626,1,-1,False,0.39022237663445947,1,-1,False,0.21286415729339403,-1,1,False,0.2641731769485161,0,0,True,0.0
DBTT,1200.0,lifecycle_hazard_progress,BACKEND_REDUCTION,-1,-1,True,0.05263404145447319,-1,-1,True,1.238094833715721,0,-1,False,2.25,0,-1,False,1.5,0,1,False,0.3,0,0,True,0.0,-1,-1,True,0.27194549984618427,-1,-1,True,0.13388659253804688,1,1,True,0.12894005262210284,0,0,True,0.0
DBTT,1200.0,lifecycle_reload_threshold,BACKEND_REDUCTION,0,0,True,0.0,-1,-1,True,0.9707891120267509,-1,-1,True,2.75,-1,-1,True,1.75,1,1,True,0.32631578947368417,0,0,True,0.0,0,0,True,0.0,0,0,True,0.0,0,0,True,0.0,0,0,True,0.0
