material_class,candidate_role,candidate_id,option_key,temperature_K,hazard_seed,target_um,physical_avalanche_index,first_event_transaction_index,last_event_transaction_index,event_transaction_count,start_extension_um,end_extension_um,avalanche_extension_um,onset_native_KJ_MPa_sqrt_m,target_right_censored,grouping_rule
Peak,CONTROL,v913_zeroD_sobol_0242980,oneD_v2_Peak_control,600.0,8666,100.0,0,0,21,22,0.0,104.28775434413835,104.28775434413836,22.303093017555742,True,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
Peak,CONTROL,v913_zeroD_sobol_0242980,oneD_v2_Peak_control,1000.0,8666,100.0,0,0,21,22,0.0,104.28775434413835,104.28775434413836,53.87817177327579,True,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
Peak,CONTROL,v913_zeroD_sobol_0242980,oneD_v2_Peak_control,1200.0,8666,100.0,0,0,21,22,0.0,104.28775434413835,104.28775434413836,49.80904646888708,True,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
Peak,CONTROL,v913_zeroD_sobol_0242980,oneD_v2_Peak_control,1000.0,8666,300.0,0,0,66,67,0.0,305.76172687033863,305.7617268703387,53.87817177327579,True,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
Peak,KINETIC_FINALIST,oneD_v2_peak_TP_6962e84b2eb78fbb,oneD_v2_Peak_TP,600.0,8666,100.0,0,0,21,22,0.0,104.28775434413835,104.28775434413836,22.303583307144127,True,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
Peak,KINETIC_FINALIST,oneD_v2_peak_TP_6962e84b2eb78fbb,oneD_v2_Peak_TP,1000.0,8666,100.0,0,0,21,22,0.0,104.28775434413835,104.28775434413836,47.57600232488323,True,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
Peak,KINETIC_FINALIST,oneD_v2_peak_TP_6962e84b2eb78fbb,oneD_v2_Peak_TP,1200.0,8666,100.0,0,0,21,22,0.0,104.28775434413835,104.28775434413836,45.07378596593765,True,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
Peak,KINETIC_FINALIST,oneD_v2_peak_TP_6962e84b2eb78fbb,oneD_v2_Peak_TP,1000.0,8666,300.0,0,0,66,67,0.0,305.76172687033863,305.7617268703387,47.57600232488323,True,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
DBTT,CONTROL,v913_zeroD_sobol_0202500,oneD_v2_DBTT_control,600.0,1008666,100.0,0,0,10,11,0.0,50.12934688319599,50.129346883195986,23.307721746661386,False,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
DBTT,CONTROL,v913_zeroD_sobol_0202500,oneD_v2_DBTT_control,600.0,1008666,100.0,1,11,19,9,50.12934688319599,100.16094124707362,50.031594363877645,23.045301896046627,True,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
DBTT,CONTROL,v913_zeroD_sobol_0202500,oneD_v2_DBTT_control,1100.0,1008666,100.0,0,0,10,11,0.0,50.12934688319599,50.129346883195986,55.50968532085477,False,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
DBTT,CONTROL,v913_zeroD_sobol_0202500,oneD_v2_DBTT_control,1100.0,1008666,100.0,1,11,19,9,50.12934688319599,100.16094124707362,50.031594363877645,49.17587333466602,True,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
DBTT,CONTROL,v913_zeroD_sobol_0202500,oneD_v2_DBTT_control,1200.0,1008666,100.0,0,0,10,11,0.0,50.12934688319599,50.129346883195986,53.60969899353905,False,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
DBTT,CONTROL,v913_zeroD_sobol_0202500,oneD_v2_DBTT_control,1200.0,1008666,100.0,1,11,19,9,50.12934688319599,100.16094124707362,50.031594363877645,47.55811278900719,True,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
DBTT,CONTROL,v913_zeroD_sobol_0202500,oneD_v2_DBTT_control,1100.0,1008666,300.0,0,0,10,11,0.0,50.12934688319599,50.129346883195986,55.50968532085477,False,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
DBTT,CONTROL,v913_zeroD_sobol_0202500,oneD_v2_DBTT_control,1100.0,1008666,300.0,1,11,58,48,50.12934688319599,300.64693596292,250.51758907972405,49.17587333466602,True,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
