material_class,candidate_role,candidate_id,temperature_K,hazard_seed,target_um,terminal_semantics,event_transaction_count,physical_avalanche_count,N_reinit,initial_onset_native_KJ_MPa_sqrt_m,maximum_onset_native_KJ_MPa_sqrt_m,deltaK_reinit_MPa_sqrt_m,signed_max_reinitiation_minus_initial_K_MPa_sqrt_m,initial_local_equivalent_K_MPa_sqrt_m,maximum_reinit_local_equivalent_K_MPa_sqrt_m,largest_avalanche_fraction,maximum_tip_radius_um,maximum_backstress_GPa,maximum_abs_signed_shielding_MPa_sqrt_m,maximum_mobile_count,maximum_retained_count,positive_reload_separated_resistance,direct_PF_success,direct_PF_decision,target_right_censored
Peak,CONTROL,v913_zeroD_sobol_0242980,600.0,8666,100.0,TARGET_RIGHT_CENSORED,22,1,0,22.303093017555742,22.303093017555742,0.0,,22.20526524434283,,1.0,1.00883063252956,0.30401767791094625,1.6300182825029198e-10,29.99967649330153,1.4819011785472676e-06,False,False,REJECT_NO_POSITIVE_RELOAD_SEPARATED_RESISTANCE,True
Peak,CONTROL,v913_zeroD_sobol_0242980,1000.0,8666,100.0,TARGET_RIGHT_CENSORED,22,1,0,53.87817177327579,53.87817177327579,0.0,,24.739231123496257,,1.0,4.7430019717402265,6.287667586743905,0.11215581292261999,12345.075003491253,1019.1617815471049,False,False,REJECT_NO_POSITIVE_RELOAD_SEPARATED_RESISTANCE,True
Peak,CONTROL,v913_zeroD_sobol_0242980,1200.0,8666,100.0,TARGET_RIGHT_CENSORED,22,1,0,49.80904646888708,49.80904646888708,0.0,,19.375179438672763,,1.0,6.60883621439935,7.744894260225831,1.1346175913762047,13725.173108892635,10008.770404267449,False,False,REJECT_NO_POSITIVE_RELOAD_SEPARATED_RESISTANCE,True
Peak,CONTROL,v913_zeroD_sobol_0242980,1000.0,8666,300.0,TARGET_RIGHT_CENSORED,67,1,0,53.87817177327579,53.87817177327579,0.0,,24.739231123496257,,1.0,4.7430019717402265,6.287667586743905,0.11215581292261999,12345.075003491253,1019.1617815471049,False,False,REJECT_NO_POSITIVE_RELOAD_SEPARATED_RESISTANCE,True
Peak,KINETIC_FINALIST,oneD_v2_peak_TP_6962e84b2eb78fbb,600.0,8666,100.0,TARGET_RIGHT_CENSORED,22,1,0,22.303583307144127,22.303583307144127,0.0,,22.204497871512327,,1.0,1.0089447206434103,0.31897744175440146,0.0013436893800911817,24.0968664199642,12.150890082445986,False,False,REJECT_NO_POSITIVE_RELOAD_SEPARATED_RESISTANCE,True
Peak,KINETIC_FINALIST,oneD_v2_peak_TP_6962e84b2eb78fbb,1000.0,8666,100.0,TARGET_RIGHT_CENSORED,22,1,0,47.57600232488323,47.57600232488323,0.0,,18.823808223696513,,1.0,6.387941263669079,7.480470169775849,3.693100345934032,0.5675345561637115,22177.46631129314,False,False,REJECT_NO_POSITIVE_RELOAD_SEPARATED_RESISTANCE,True
Peak,KINETIC_FINALIST,oneD_v2_peak_TP_6962e84b2eb78fbb,1200.0,8666,100.0,TARGET_RIGHT_CENSORED,22,1,0,45.07378596593765,45.07378596593765,0.0,,18.17733573055476,,1.0,6.148761092135791,7.340787890600423,3.1413792392085447,0.005720715698960972,21269.099872206432,False,False,REJECT_NO_POSITIVE_RELOAD_SEPARATED_RESISTANCE,True
Peak,KINETIC_FINALIST,oneD_v2_peak_TP_6962e84b2eb78fbb,1000.0,8666,300.0,TARGET_RIGHT_CENSORED,67,1,0,47.57600232488323,47.57600232488323,0.0,,18.823808223696513,,1.0,6.387941263669079,7.480470169775849,3.693100345934032,0.5675345561637115,22177.46631129314,False,False,REJECT_NO_POSITIVE_RELOAD_SEPARATED_RESISTANCE,True
DBTT,CONTROL,v913_zeroD_sobol_0202500,600.0,1008666,100.0,TARGET_RIGHT_CENSORED,20,2,1,23.307721746661386,23.307721746661386,0.0,-0.2624198506147586,23.307721746633376,23.045301896043256,0.5004879772399364,1.0000000000024036,4.774916875802673e-06,9.81977178292526e-13,1.7695318736717264e-25,7.288775233137577e-09,False,False,REJECT_NO_POSITIVE_RELOAD_SEPARATED_RESISTANCE,True
DBTT,CONTROL,v913_zeroD_sobol_0202500,1100.0,1008666,100.0,TARGET_RIGHT_CENSORED,20,2,1,55.50968532085477,55.50968532085477,0.0,-6.333811986188749,20.08995158829768,21.413342552421785,0.5004879772399364,9.074505639555497,8.804470249083327,3.882596385232684,1.2104237613376852e-08,30494.153254893474,False,False,REJECT_NO_POSITIVE_RELOAD_SEPARATED_RESISTANCE,True
