material_class,candidate_id,provider,temperature_K,hazard_seed,onset_ordinal,extension_before_um,opening_um,tip_radius_um,mapped_native_KJ_MPa_sqrt_m,mapped_qualified_G_J_per_m2,mapped_drive_factors_json,wake_or_topology_transition,new_FEMCZM_solve,exact_check_status,exact_source,exact_native_KJ_MPa_sqrt_m,exact_to_mapped_native_KJ_ratio,exact_drive_factors_json,exact_selected_system,exact_probe_reliable,exact_field_snapshot_sha256,exact_field_source_commit
Peak,v913_zeroD_sobol_0242980,PF,1000.0,8666,0,0.0,28.247585981036934,7.4014557463803685,56.155266046582355,,"[0.9949451104549044, 0.9931127650538986]",False,False,PF_EXACT_FIELD_AND_TENSOR_PROBE_PASS,FRESH_DETERMINISTIC_PF_SHARP_WAKE_ORACLE,56.15526604658235,0.9999999999999999,"[1.0019898485789103, 1.0000333283294742]",(110),True,68d955e47461ff394c7ff1187a2f3db5660547b58f3af651a95af2c79a0f74a3,9e884fb0b0845da621d2612bdf1042e481b8df49
Peak,v913_zeroD_sobol_0242980,FEMCZM,1000.0,8666,0,0.0,12.13277205285785,4.417883078024003,55.465759414095146,6912.055136266762,"[0.5669253872889882, 0.569897148952676]",False,False,PRECOMPUTED_EXACT_MAP_BOUNDED_NO_NEW_FEM_SOLVE,QUALIFIED_DETERMINISTIC_FEMCZM_SOURCE_PROBE_MAP,,,"[0.5669253872889882, 0.569897148952676]",1,True,PRECOMPUTED_MAP_PROVENANCE,D41_QUALIFIED_MAP_LINEAGE
Peak,oneD_v2_peak_TP_6962e84b2eb78fbb,PF,1000.0,8666,0,0.0,28.24758598103694,7.4014557463803685,56.15526604658236,,"[0.9949451104549044, 0.9931127650538986]",False,False,PF_EXACT_FIELD_AND_TENSOR_PROBE_PASS,FRESH_DETERMINISTIC_PF_SHARP_WAKE_ORACLE,56.155266046582355,0.9999999999999999,"[1.0019898485789105, 1.0000333283294747]",(110),True,68d955e47461ff394c7ff1187a2f3db5660547b58f3af651a95af2c79a0f74a3,9e884fb0b0845da621d2612bdf1042e481b8df49
Peak,oneD_v2_peak_TP_6962e84b2eb78fbb,FEMCZM,1000.0,8666,0,0.0,12.132772052857854,4.417883078024005,55.46575941409516,6912.055136266766,"[0.5669253872889882, 0.569897148952676]",False,False,PRECOMPUTED_EXACT_MAP_BOUNDED_NO_NEW_FEM_SOLVE,QUALIFIED_DETERMINISTIC_FEMCZM_SOURCE_PROBE_MAP,,,"[0.5669253872889882, 0.569897148952676]",1,True,PRECOMPUTED_MAP_PROVENANCE,D41_QUALIFIED_MAP_LINEAGE
DBTT,v913_zeroD_sobol_0202500,PF,1100.0,1008666,0,0.0,31.471666860799793,8.516561711041287,62.56463213118597,,"[0.994430540011211, 0.992234578790576]",False,False,PF_EXACT_FIELD_AND_TENSOR_PROBE_PASS,FRESH_DETERMINISTIC_PF_SHARP_WAKE_ORACLE,62.56463213118596,0.9999999999999999,"[1.002400993899866, 1.0001574240772013]",(110),True,68d955e47461ff394c7ff1187a2f3db5660547b58f3af651a95af2c79a0f74a3,9e884fb0b0845da621d2612bdf1042e481b8df49
DBTT,v913_zeroD_sobol_0202500,PF,1100.0,1008666,1,5.0,58.96557763644971,29.429947927920363,116.26644574782827,,"[0.9691405787617055, 0.9648655052956755]",True,False,PF_EXACT_FIELD_AND_TENSOR_PROBE_PASS,FRESH_DETERMINISTIC_PF_SHARP_WAKE_ORACLE,116.26644574782827,1.0,"[1.0437990648146558, 1.0352295754399954]",(110),True,0c66c97f98dbf57ffa629ba7959c1fb519e9b49f37c204c422715a53762bd5a4,9e884fb0b0845da621d2612bdf1042e481b8df49
DBTT,v913_zeroD_sobol_0202500,FEMCZM,1100.0,1008666,0,0.0,12.909926888671214,4.873909389430329,59.018573475294886,7825.907003396813,"[0.5705791435361804, 0.5735610157427664]",False,False,PRECOMPUTED_EXACT_MAP_BOUNDED_NO_NEW_FEM_SOLVE,QUALIFIED_DETERMINISTIC_FEMCZM_SOURCE_PROBE_MAP,,,"[0.5705791435361804, 0.5735610157427664]",1,True,PRECOMPUTED_MAP_PROVENANCE,D41_QUALIFIED_MAP_LINEAGE
DBTT,v913_zeroD_sobol_0202500,FEMCZM,1100.0,1008666,1,2.2973400956248735,14.685828295387793,5.495028578818793,67.23434166508817,10156.392485374929,"[0.5754507347149643, 0.578440876574532]",True,False,PRECOMPUTED_EXACT_MAP_BOUNDED_NO_NEW_FEM_SOLVE,QUALIFIED_DETERMINISTIC_FEMCZM_SOURCE_PROBE_MAP,,,"[0.5754507347149643, 0.578440876574532]",1,True,PRECOMPUTED_MAP_PROVENANCE,D41_QUALIFIED_MAP_LINEAGE
DBTT,v913_zeroD_sobol_0202500,FEMCZM,1100.0,1008666,2,4.594680191249747,18.447134361261046,6.917547149115769,84.5410101093318,16058.01309783477,"[0.5867217162879967, 0.5897381458204086]",True,False,PRECOMPUTED_EXACT_MAP_BOUNDED_NO_NEW_FEM_SOLVE,QUALIFIED_DETERMINISTIC_FEMCZM_SOURCE_PROBE_MAP,,,"[0.5867217162879967, 0.5897381458204086]",1,True,PRECOMPUTED_MAP_PROVENANCE,D41_QUALIFIED_MAP_LINEAGE
DBTT,oneD_v2_dbtt_TP_6ca03f05fbae34e9,PF,1100.0,1008666,0,0.0,31.4716668607998,8.516561711041291,62.56463213118598,,"[0.994430540011211, 0.992234578790576]",False,False,PF_EXACT_FIELD_AND_TENSOR_PROBE_PASS,FRESH_DETERMINISTIC_PF_SHARP_WAKE_ORACLE,62.56463213118597,0.9999999999999998,"[1.002400993899866, 1.0001574240772013]",(110),True,68d955e47461ff394c7ff1187a2f3db5660547b58f3af651a95af2c79a0f74a3,9e884fb0b0845da621d2612bdf1042e481b8df49
DBTT,oneD_v2_dbtt_TP_6ca03f05fbae34e9,PF,1100.0,1008666,1,5.0,58.965577636449716,29.42994792792037,116.26644574782829,,"[0.9691405787617053, 0.9648655052956755]",True,False,PF_EXACT_FIELD_AND_TENSOR_PROBE_PASS,FRESH_DETERMINISTIC_PF_SHARP_WAKE_ORACLE,116.26644574782827,0.9999999999999999,"[1.0437990648146556, 1.035229575439995]",(110),True,0c66c97f98dbf57ffa629ba7959c1fb519e9b49f37c204c422715a53762bd5a4,9e884fb0b0845da621d2612bdf1042e481b8df49
DBTT,oneD_v2_dbtt_TP_6ca03f05fbae34e9,FEMCZM,1100.0,1008666,0,0.0,12.909926888671214,4.873909389430329,59.018573475294886,7825.907003396813,"[0.5705791435361804, 0.5735610157427664]",False,False,PRECOMPUTED_EXACT_MAP_BOUNDED_NO_NEW_FEM_SOLVE,QUALIFIED_DETERMINISTIC_FEMCZM_SOURCE_PROBE_MAP,,,"[0.5705791435361804, 0.5735610157427664]",1,True,PRECOMPUTED_MAP_PROVENANCE,D41_QUALIFIED_MAP_LINEAGE
DBTT,oneD_v2_dbtt_TP_6ca03f05fbae34e9,FEMCZM,1100.0,1008666,1,2.2973400956248735,14.685828295387793,5.495028578818793,67.23434166508817,10156.392485374929,"[0.5754507347149643, 0.578440876574532]",True,False,PRECOMPUTED_EXACT_MAP_BOUNDED_NO_NEW_FEM_SOLVE,QUALIFIED_DETERMINISTIC_FEMCZM_SOURCE_PROBE_MAP,,,"[0.5754507347149643, 0.578440876574532]",1,True,PRECOMPUTED_MAP_PROVENANCE,D41_QUALIFIED_MAP_LINEAGE
DBTT,oneD_v2_dbtt_TP_6ca03f05fbae34e9,FEMCZM,1100.0,1008666,2,4.594680191249747,18.447134361261046,6.917547149115769,84.5410101093318,16058.01309783477,"[0.5867217162879967, 0.5897381458204086]",True,False,PRECOMPUTED_EXACT_MAP_BOUNDED_NO_NEW_FEM_SOLVE,QUALIFIED_DETERMINISTIC_FEMCZM_SOURCE_PROBE_MAP,,,"[0.5867217162879967, 0.5897381458204086]",1,True,PRECOMPUTED_MAP_PROVENANCE,D41_QUALIFIED_MAP_LINEAGE
