material_class,temperature_K,status
Peak,300,UNAVAILABLE_SPARSE_TENSOR_INTERPOLATION_FAILED_SIGN_GATE
Peak,1000,UNAVAILABLE_SPARSE_TENSOR_INTERPOLATION_FAILED_SIGN_GATE
Peak,1200,UNAVAILABLE_SPARSE_TENSOR_INTERPOLATION_FAILED_SIGN_GATE
DBTT,300,UNAVAILABLE_SPARSE_TENSOR_INTERPOLATION_FAILED_SIGN_GATE
DBTT,1000,UNAVAILABLE_SPARSE_TENSOR_INTERPOLATION_FAILED_SIGN_GATE
DBTT,1200,UNAVAILABLE_SPARSE_TENSOR_INTERPOLATION_FAILED_SIGN_GATE
weak-T,300,UNAVAILABLE_SPARSE_TENSOR_INTERPOLATION_FAILED_SIGN_GATE
weak-T,1000,UNAVAILABLE_SPARSE_TENSOR_INTERPOLATION_FAILED_SIGN_GATE
weak-T,1200,UNAVAILABLE_SPARSE_TENSOR_INTERPOLATION_FAILED_SIGN_GATE
ceramic-like,300,UNAVAILABLE_SPARSE_TENSOR_INTERPOLATION_FAILED_SIGN_GATE
ceramic-like,1000,UNAVAILABLE_SPARSE_TENSOR_INTERPOLATION_FAILED_SIGN_GATE
ceramic-like,1200,UNAVAILABLE_SPARSE_TENSOR_INTERPOLATION_FAILED_SIGN_GATE
