actual_extension_um,quantity,max_linear_opening_error,sign_mismatch_count,validation_kind,observed,predicted,absolute_error,relative_error,primary_classification,wake_topology_transition,front_direction_transition,probe_element_selection_transition,probe_weight_transition,reliability_transition,left_regime_key,target_regime_key,right_regime_key,provider_action
200.0,channel0_sigma_xy_Pa,,1,LEAVE_ONE_NODE_OUT,-77292202.23095705,17598812.65124853,94891014.88220558,1.227691955246164,FRONT_DIRECTION_TRANSITION,True,True,True,True,False,42afa015f38af0688c72d38d48f0060ba0980df0b4d7a58b2bd6dd090ac290b0,34cc55fcbc664b2a56d5f2f34db4b4eb16743d6a8c963b0f7cb67eed7359ebd3,92b2839f59be4bea7f2b12a71b77e48065319c8fde59cc1d6597371e5ea52e3b,HARD_FAIL_OR_EXACT_DETERMINISTIC_QUERY
400.0,channel0_sigma_xy_Pa,,1,LEAVE_ONE_NODE_OUT,2769142.677254756,-73300809.7479138,76069952.42516854,27.470578908769696,NEAR_ZERO_COMPONENT_SIGN_ARTIFACT,True,False,True,True,False,92b2839f59be4bea7f2b12a71b77e48065319c8fde59cc1d6597371e5ea52e3b,c6ea250a3f1ce54841da5f68d8a98c9561f62bda5d22763fa3e9374815523114,832160f091481ebf2719cd6ead4dd61b1dfd3fcb57978670434d502eb7ae5af4,HARD_FAIL_OR_EXACT_DETERMINISTIC_QUERY
500.0,channel0_sigma_xy_Pa,,1,LEAVE_ONE_NODE_OUT,-115445116.3022668,14921618.724450376,130366735.0267172,1.1292529229680146,PROBE_ELEMENT_SELECTION_TRANSITION,True,False,True,True,False,c6ea250a3f1ce54841da5f68d8a98c9561f62bda5d22763fa3e9374815523114,832160f091481ebf2719cd6ead4dd61b1dfd3fcb57978670434d502eb7ae5af4,f95c70f0dd1b3dc567127d4f1ed44aa4a3ab7a2dc1ef423d4891359a756d70cd,HARD_FAIL_OR_EXACT_DETERMINISTIC_QUERY
600.0,channel0_sigma_xy_Pa,,1,LEAVE_ONE_NODE_OUT,27074094.771645997,-134252717.15724045,161326811.92888644,5.9587149003349085,PROBE_ELEMENT_SELECTION_TRANSITION,True,False,True,True,False,832160f091481ebf2719cd6ead4dd61b1dfd3fcb57978670434d502eb7ae5af4,f95c70f0dd1b3dc567127d4f1ed44aa4a3ab7a2dc1ef423d4891359a756d70cd,8d995cde02a6bff9eea8c377702327c9daa72b87c6a0f57789a7ca6b849482c6,HARD_FAIL_OR_EXACT_DETERMINISTIC_QUERY
700.0,channel0_sigma_xy_Pa,,1,LEAVE_ONE_NODE_OUT,-153060318.0122141,11471576.017968746,164531894.03018284,1.0749480738505544,PROBE_ELEMENT_SELECTION_TRANSITION,True,False,True,True,False,f95c70f0dd1b3dc567127d4f1ed44aa4a3ab7a2dc1ef423d4891359a756d70cd,8d995cde02a6bff9eea8c377702327c9daa72b87c6a0f57789a7ca6b849482c6,34bb6d13861e4407c7bcc6098825a5d087478b5381d5fa181f2a5f0100df51e4,HARD_FAIL_OR_EXACT_DETERMINISTIC_QUERY
100.0,channel1_sigma_xx_Pa,,1,LEAVE_ONE_NODE_OUT,-101285278.99961711,79458567.99602152,180743846.99563864,1.7845026323748578,FRONT_DIRECTION_TRANSITION,True,True,True,True,False,8d1474b59e8ddcd7d1f3e2f18af5ae0e363168e233e15cb133aa5d71aa99b12a,f26c0b79048ec17e829b8ec9848062ba92be403ee65a83077e43c1b35459c1f2,42afa015f38af0688c72d38d48f0060ba0980df0b4d7a58b2bd6dd090ac290b0,HARD_FAIL_OR_EXACT_DETERMINISTIC_QUERY
150.0,channel1_sigma_xx_Pa,,1,LEAVE_ONE_NODE_OUT,29690578.982795622,-136551790.56672415,166242369.54951978,5.599162267797131,FRONT_DIRECTION_TRANSITION,True,True,True,True,False,f26c0b79048ec17e829b8ec9848062ba92be403ee65a83077e43c1b35459c1f2,42afa015f38af0688c72d38d48f0060ba0980df0b4d7a58b2bd6dd090ac290b0,34cc55fcbc664b2a56d5f2f34db4b4eb16743d6a8c963b0f7cb67eed7359ebd3,HARD_FAIL_OR_EXACT_DETERMINISTIC_QUERY
200.0,channel1_sigma_xx_Pa,,1,LEAVE_ONE_NODE_OUT,-171818302.13383117,107406767.53099534,279225069.6648265,1.6251183150869168,FRONT_DIRECTION_TRANSITION,True,True,True,True,False,42afa015f38af0688c72d38d48f0060ba0980df0b4d7a58b2bd6dd090ac290b0,34cc55fcbc664b2a56d5f2f34db4b4eb16743d6a8c963b0f7cb67eed7359ebd3,92b2839f59be4bea7f2b12a71b77e48065319c8fde59cc1d6597371e5ea52e3b,HARD_FAIL_OR_EXACT_DETERMINISTIC_QUERY
300.0,channel1_sigma_xx_Pa,,1,LEAVE_ONE_NODE_OUT,262839144.62739477,-67573370.74212086,330412515.36951566,1.2570902094431713,PROBE_ELEMENT_SELECTION_TRANSITION,True,False,True,True,False,34cc55fcbc664b2a56d5f2f34db4b4eb16743d6a8c963b0f7cb67eed7359ebd3,92b2839f59be4bea7f2b12a71b77e48065319c8fde59cc1d6597371e5ea52e3b,c6ea250a3f1ce54841da5f68d8a98c9561f62bda5d22763fa3e9374815523114,HARD_FAIL_OR_EXACT_DETERMINISTIC_QUERY
150.0,channel1_sigma_xy_Pa,,1,LEAVE_ONE_NODE_OUT,-63665759.17932308,75212459.05498104,138878218.23430413,2.1813643632699824,FRONT_DIRECTION_TRANSITION,True,True,True,True,False,f26c0b79048ec17e829b8ec9848062ba92be403ee65a83077e43c1b35459c1f2,42afa015f38af0688c72d38d48f0060ba0980df0b4d7a58b2bd6dd090ac290b0,34cc55fcbc664b2a56d5f2f34db4b4eb16743d6a8c963b0f7cb67eed7359ebd3,HARD_FAIL_OR_EXACT_DETERMINISTIC_QUERY
200.0,channel1_sigma_xy_Pa,,1,LEAVE_ONE_NODE_OUT,138898939.63600752,-14562037.746564563,153460977.38257208,1.1048390850551142,FRONT_DIRECTION_TRANSITION,True,True,True,True,False,42afa015f38af0688c72d38d48f0060ba0980df0b4d7a58b2bd6dd090ac290b0,34cc55fcbc664b2a56d5f2f34db4b4eb16743d6a8c963b0f7cb67eed7359ebd3,92b2839f59be4bea7f2b12a71b77e48065319c8fde59cc1d6597371e5ea52e3b,HARD_FAIL_OR_EXACT_DETERMINISTIC_QUERY
700.0,channel1_sigma_xy_Pa,,1,LEAVE_ONE_NODE_OUT,-23900123.60435417,80081822.51010026,103981946.11445443,4.350686541868378,PROBE_ELEMENT_SELECTION_TRANSITION,True,False,True,True,False,f95c70f0dd1b3dc567127d4f1ed44aa4a3ab7a2dc1ef423d4891359a756d70cd,8d995cde02a6bff9eea8c377702327c9daa72b87c6a0f57789a7ca6b849482c6,34bb6d13861e4407c7bcc6098825a5d087478b5381d5fa181f2a5f0100df51e4,HARD_FAIL_OR_EXACT_DETERMINISTIC_QUERY
