material_class,event_transaction_index,physical_avalanche_index,pre_event_step,pre_event_time_s,pre_event_opening_m,pre_event_reaction_N_per_m,pre_event_native_J_J_per_m2,pre_event_native_KJ_MPa_sqrt_m,pre_event_projected_extension_um,post_event_projected_extension_um,event_extension_um,post_event_tip_x_m,post_event_tip_y_m,post_event_process_zone_fingerprint,reload_time_to_next_event_s,reload_opening_to_next_event_m,certified_reload_before_next_event,right_censored_at_target,source_steps_sha256,onset_role
Peak,0,0,164,1332.3767588208377,3.172325616240097e-05,6910589.646938643,6525.057009747995,53.878171773544715,0.0,2.2973400956249024,2.2973400956249024,0.0005022973400956249,0.0,f8d4b8fd4f9cfb3d01441515cf686a83b0aeebba16c651a82fd098bb895efb33,3.360000846441835e-07,8.000002570118792e-15,False,False,50153f1b93dee23407ec7971658fc8da917629c14e4ff3290b7a7a0c88449faa,INITIAL_ONSET_PRE_EVENT
DBTT,0,0,175,1389.5014708618273,3.3083368353853064e-05,7206876.294841577,7096.565819401241,56.188160316561955,0.0,2.931106565679095,2.931106565679095,0.0005029311065656791,0.0,6c10aafd88645a153a6e7bc3a52df58ecd884315d5d5cd75cc5cacf779611ff5,5.049069178664695,1.2021593282533018e-07,False,False,233824c0e7728ab05f9cf5aedb495e476c8c42696ecc14258bac4f065c326a5e,INITIAL_ONSET_PRE_EVENT
DBTT,11,1,274,1494.5057366840883,3.558346992104971e-05,7773930.840687591,5046.433150088318,47.38195299882506,50.1293468830739,52.42668697869881,2.2973400956249024,0.0005524266869786988,0.0,77f33c9c4c7e3384cee27363abb68fcd0f3df80cfb6379892d0913fee14c0484,9.252275033333717,2.2029226269841882e-07,False,False,233824c0e7728ab05f9cf5aedb495e476c8c42696ecc14258bac4f065c326a5e,REINITIATION_ONSET_PRE_EVENT
