backend,material_class,temperature_K,seed,accepted_event_target,source_object_shadow_exact,exact_production_wrapper_available,microtrajectory_launch_status,classification
PF,Peak,1000,8666,3-5,True,False,NOT_RUN_SOURCE_SHADOW_REQUIRED_FIELD_UNAVAILABLE,NATIVE_CLOSURE_UNQUALIFIED
PF,DBTT,1000,1008666,3-5,True,False,NOT_RUN_SOURCE_SHADOW_REQUIRED_FIELD_UNAVAILABLE,NATIVE_CLOSURE_UNQUALIFIED
FEMCZM,Peak,1000,8666,3-5,True,False,NOT_RUN_SOURCE_SHADOW_REQUIRED_FIELD_UNAVAILABLE,NATIVE_CLOSURE_UNQUALIFIED
FEMCZM,DBTT,1000,1008666,3-5,True,False,NOT_RUN_SOURCE_SHADOW_REQUIRED_FIELD_UNAVAILABLE,NATIVE_CLOSURE_UNQUALIFIED
