target_extension_um,actual_extension_um,tip_x_m,tip_y_m,reference_opening_m,reaction_N_per_m,compliance_m2_per_N,elastic_energy_J_per_m,F_over_U_N_per_m2,assembled_residual_reaction_N_per_m,energy_derivative_reaction_N_per_m,reaction_residual_relative_error,reaction_energy_relative_error,mesh_fingerprint,crack_topology_fingerprint,domain_radii_um,opening_scaling_F_ratio_error,opening_scaling_W_ratio_error,opening_scaling_J_ratio_error,opening_scaling_G_ratio_error,G_energy_J_per_m2,G_compliance_J_per_m2,G_VCCT_I_J_per_m2,G_VCCT_II_J_per_m2,G_VCCT_J_per_m2,qualified_G_J_per_m2,G_uncertainty_J_per_m2,qualified_KG_MPa_sqrt_m,G_over_U2,KG_over_U,native_J_aggregate_J_per_m2,J_over_G,vcct_segment_m,node_qualification,topology_invariants_pass
0,0,0.0005,0.0,1.25e-05,2479171.2818161803,5.042007420658248e-12,15.494820511330726,198333702545.2944,2479171.2818161803,2479171.281812916,0.0,1.3166841871594754e-12,74607727ef4ce46cabfea5045126d1dcc8240c0600ec37d0721416119ddf6948,67224153028a88973ed5aa1ba03009fb351b1fe1f4155de0feb3f80fa287da99,"[30, 50, 75, 100, 150, 200]",0.0,0.0,0.0,0.0,7336.815020070553,7336.804346592745,7336.772780733219,0.03130832491794035,7336.804089058137,7336.807818573811,0.010931012416222075,57.131321123488576,46955570038872.39,4570505.689879086,7340.210014630293,1.0004637161202272,1.0000000000000243e-06,QUALIFIED,True
2,2,0.0005020000000000001,0.0,1.25e-05,2476836.1306802183,5.046761004962852e-12,15.480225816732943,198146890454.41745,2476836.1306802183,2476836.1306772707,0.0,1.190081133001106e-12,20d2b68e65453d9753445c49a504d3fff7ee4432f681930f8fbed36115b430e8,8300736d5aac480b06f5a79435c744cea06c857e12ce467e5d928471328404b7,"[30, 50, 75, 100, 150, 200]",,,,,7356.098366273934,7356.087681836711,7356.055965067576,0.031478771485088416,7356.087443839061,7356.091163983235,0.010922434872554732,57.20635103343203,47078983449492.7,4576508.082674562,7359.504730490269,1.000464046248332,9.999999999999159e-07,QUALIFIED,True
5,5,0.000505,0.0,1.25e-05,2471340.8316566413,5.057983034910137e-12,15.445880197834725,197707266532.5313,2471340.8316566413,2471340.831653556,0.0,1.2485010768962863e-12,356baf63cd9bed2f15c08c0b973ab76ac960ee935e24c0dd04bddf1556cfc5dd,9e5fb0d56f39a8396277575818a635b003f449c8c1f4827dc5c4a7274be8207d,"[30, 50, 75, 100, 150, 200]",,,,,7375.840478323958,7375.829817583248,7375.804933321886,0.024651405102613173,7375.829584726988,7375.8332935447315,0.010893596970163344,57.28306422493459,47205333078686.28,4582645.137994767,7379.261358037103,1.0004647697901974,1.0000000000000243e-06,QUALIFIED,True
10,10,0.00051,0.0,1.25e-05,2466336.049801666,5.068246884282135e-12,15.414600311236873,197306883984.13327,2466336.049801666,2466336.0497978996,0.0,1.5270702838925236e-12,f2400eafe2cbee237fb26be5b89304a6c67e009f3d93be441ff2fcef6162069e,0a7be7d348f1ae6b75860e1f425a4bc4def90149a83a2e486f9312ea7de5c075,"[30, 50, 75, 100, 150, 200]",,,,,7426.904980544436,7426.894299247645,7426.866025241763,0.02808632410458739,7426.894111565867,7426.897797119316,0.010868978568396415,57.48101378136114,47532145901563.625,4598481.102508891,7430.355344685069,1.0004655439808388,1.0000000000000243e-06,QUALIFIED,True
25,25,0.000525,0.0,1.25e-05,2448879.80476657,5.104374651491527e-12,15.305498779766891,195910384381.32562,2448879.80476657,2448879.8047627024,0.0,1.5794089382621878e-12,e9771adc7f5c21d019fd44282e239a268d68463a47d78b72ce93006968939710,81991ee60535387b21fdaf7ae7849931b2a0120f5e85acaf03710c2c8feb02fc,"[30, 50, 75, 100, 150, 200]",,,,,7566.446324310583,7566.435610466427,7566.404723112216,0.030831187551656897,7566.435554299767,7566.439163025592,0.010770010815576825,58.01849614570525,48425210643363.79,4641479.69165642,7569.980065671946,1.0004679747725531,9.999999999999159e-07,QUALIFIED,True
50,50,0.00055,0.0,1.25e-05,2418849.2915963563,5.167746516257917e-12,15.11780807245151,193507943327.7085,2418849.2915963563,2418849.2915922413,0.0,1.701242326355398e-12,a21d69a7995016b551e6a36dd6f1de4dd5946c1625058a6babf6e28f1e98a1c1,e40a1207431d7b3ceaed76769d2c4196e274afdb445cc14b411fd259c8721340,"[30, 50, 75, 100, 150, 200]",,,,,7785.7805089394105,7785.769788549586,7785.735342907245,0.0346120358023036,7785.769954943047,7785.773417477348,0.010720389824200538,58.85340247628605,49828949871855.02,4708272.198102884,7789.445705995195,1.0004716665025986,1.0000000000000243e-06,QUALIFIED,True
75,75,0.000575,0.0,1.25e-05,2386853.678449548,5.237019811000626e-12,14.917835490283881,190948294275.9638,2386853.678449548,2386853.6784454207,0.0,1.7291198143697734e-12,d2d0788f312c287ffbdc8cb8cd4c6a89c35a6b01c1dfb84e25e9efa7790c1233,ac35f7e7448beec616b448f089e1fbcb64f8ad9fcdaaa603fd76fd763412fe67,"[30, 50, 75, 100, 150, 200]",,,,,7983.221529674012,7983.210838444298,7983.177821221822,0.03341515963520091,7983.211236381458,7983.214534833256,0.010691229714211659,59.594968627215984,51092573022932.836,4767597.490177278,7987.008526035873,1.0004752460535868,1.0000000000000243e-06,QUALIFIED,True
100,100,0.0006000000000000001,0.0,1.25e-05,2355197.846859992,5.30740974337477e-12,14.71998654284892,188415827748.79935,2355197.846859992,2355197.846855827,0.0,1.7683756628909684e-12,3a661537ea7f502a305b716233efbb43eb35b07395654a1adf3e8c4a7893f822,2aedadf47d47f23233b522a9f94f621f5b0c05868e349f52930ac95ee216dd97,"[30, 50, 75, 100, 150, 200]",,,,,8171.319196504712,8171.308551150217,8171.272396655175,0.0368108954621644,8171.3092075506365,8171.312318401855,0.010645354494954518,60.29295929261759,52296398837771.87,4823436.743409406,8175.220955138164,1.00047833647571,9.999999999999159e-07,QUALIFIED,True
150,150,0.00065,0.0,1.25e-05,2288713.3369614207,5.4615839380721465e-12,14.304458355982504,183097066956.91364,2288713.3369614207,2288713.3369572004,0.0,1.8439566802512057e-12,24315555a1b2a86c8eec5944dfd83679a91e212e0b799b5a75d51a74ab8820f2,a043b98fae1b73eaeb5a2c7afff9ea1727857325a7c1d623dc18c970ea1b4758,"[30, 50, 75, 100, 150, 200]",,,,,8496.136964679657,8496.126468061295,8496.089880016047,0.037799832755271885,8496.127679848802,8496.130370863253,0.010496618362594745,61.47963483293038,54375234373524.82,4918370.78663443,8500.241519611776,1.000483884847462,1.0000000000000243e-06,QUALIFIED,True
200,200,0.0007,0.0,1.25e-05,2219866.008807805,5.6309704956981685e-12,13.874162555019838,177589280704.6244,2219866.008807805,2219866.008803174,0.0,2.086162625987764e-12,ca464143f3e9d15d6750f7f033681f08316d969b8c3eac58c11f5bea7ef9fae3,c701b5d3b459f22f9432cc650e11f1ea6e8f64818729a462e363eab1d6a198fa,"[30, 50, 75, 100, 150, 200]",,,,,8763.996828459853,8763.986521653927,8763.950756559956,0.03757602929502847,8763.988332589252,8763.990560901011,0.010306805925210938,62.44125824567934,56089539589766.47,4995300.659654347,8768.271420049958,1.0004884600364639,1.0000000000000243e-06,QUALIFIED,True
