material_class,event_transaction_index,physical_avalanche_index,pre_event_step,pre_event_time_s,pre_event_opening_m,pre_event_reaction_N_per_m,pre_event_native_J_J_per_m2,pre_event_native_KJ_MPa_sqrt_m,pre_event_projected_extension_um,post_event_projected_extension_um,event_extension_um,post_event_tip_x_m,post_event_tip_y_m,post_event_process_zone_fingerprint,reload_time_to_next_event_s,reload_opening_to_next_event_m,certified_reload_before_next_event,right_censored_at_target,source_steps_sha256,semantic_role
Peak,1,0,168,1332.3767591568378,3.1723256170400974e-05,6910426.208528729,6710.5810355099475,54.63875034077082,2.2973400956249024,4.594680191249805,2.2973400956249024,0.0005045946801912498,0.0,bd4bf268b77b2ccd37aecd438651472cecf48b4794cf6e4b53e1609d83eb4025,4.200001058052294e-07,1.000000321264849e-14,False,False,50153f1b93dee23407ec7971658fc8da917629c14e4ff3290b7a7a0c88449faa,INTERIOR_PRE_EVENT_NOT_RESISTANCE_POINT
Peak,2,0,173,1332.376759576838,3.172325618040098e-05,6910218.063401183,6896.498633417385,55.39046646957732,4.594680191249805,6.892020286874707,2.2973400956249024,0.0005068920202868747,0.0,7c377b974cd43d87ee6b2a6a33a523d497fd2a7cbb6e24281597758daeceddd8,2.5200006348313764e-07,6.000001927589094e-15,False,False,50153f1b93dee23407ec7971658fc8da917629c14e4ff3290b7a7a0c88449faa,INTERIOR_PRE_EVENT_NOT_RESISTANCE_POINT
Peak,3,0,176,1332.376759828838,3.172325618640098e-05,6909846.831410384,7142.59548610694,56.37008929885243,6.892020286874707,9.18936038249961,2.2973400956249024,0.0005091893603824996,0.0,a59635e270792cbd0b539187ac42081ba27510d9174b1dd9f7ba827beb810445,1.2154123396612704e-06,2.893837242317482e-14,False,False,50153f1b93dee23407ec7971658fc8da917629c14e4ff3290b7a7a0c88449faa,INTERIOR_PRE_EVENT_NOT_RESISTANCE_POINT
Peak,4,0,186,1332.3767610442503,3.172325621533935e-05,6909234.802435884,7474.344055752645,57.664328352860274,9.18936038249961,14.507867693188759,5.31850731068915,0.0005145078676931888,0.0,16006ab071d1eda5dcfdc1ba1d7b6ec223a6d096de0133a117d2cda2470c6791,3.360000846441835e-07,8.000002570118792e-15,False,False,50153f1b93dee23407ec7971658fc8da917629c14e4ff3290b7a7a0c88449faa,INTERIOR_PRE_EVENT_NOT_RESISTANCE_POINT
Peak,5,0,190,1332.3767613802504,3.1723256223339354e-05,6906849.709479215,8471.918557085839,61.39197166134544,14.507867693188759,16.80520778881366,2.2973400956249024,0.0005168052077888137,0.0,9d29973f54467a3ad954a0caa2659b744b77632db8d1e7fc015cc4c0d02883c5,5.040001269662753e-07,1.2000003855178187e-14,False,False,50153f1b93dee23407ec7971658fc8da917629c14e4ff3290b7a7a0c88449faa,INTERIOR_PRE_EVENT_NOT_RESISTANCE_POINT
Peak,6,0,196,1332.3767618842505,3.172325623533936e-05,6906849.712091875,8478.07600963604,61.41427767669954,16.80520778881366,19.102547884438565,2.2973400956249024,0.0005191025478844386,0.0,4b52c7fbf32a841a98278c895f7a7636558aa06f57052381603a30f1043da88f,6.72000169288367e-07,1.6000005140237583e-14,False,False,50153f1b93dee23407ec7971658fc8da917629c14e4ff3290b7a7a0c88449faa,INTERIOR_PRE_EVENT_NOT_RESISTANCE_POINT
Peak,7,0,204,1332.3767625562507,3.172325625133936e-05,6904773.701288261,9154.272631341448,63.81644633271964,19.102547884438565,21.9809590141333,2.8784111296947366,0.0005219809590141333,0.0,c8d357248452b08c5ff7c8270c79519fa4637de325749dfd72399784434a6d0f,3.360000846441835e-07,8.000002570118792e-15,False,False,50153f1b93dee23407ec7971658fc8da917629c14e4ff3290b7a7a0c88449faa,INTERIOR_PRE_EVENT_NOT_RESISTANCE_POINT
Peak,8,0,208,1332.3767628922508,3.1723256259339365e-05,6887636.388112391,10656.433113207218,68.85359600443485,21.9809590141333,24.278299109758198,2.2973400956249024,0.0005242782991097582,0.0,9cc337012230397e9f29c9f5f67e09ca17b7313e67d37c41c76e8c5aa690d0b1,3.07513482766808e-06,7.321748730308025e-14,False,False,50153f1b93dee23407ec7971658fc8da917629c14e4ff3290b7a7a0c88449faa,INTERIOR_PRE_EVENT_NOT_RESISTANCE_POINT
Peak,9,0,218,1332.3767659673856,3.172325633255685e-05,6886266.382909271,10896.686167181324,69.62543424884797,24.278299109758198,37.596235373684394,13.31793626392619,0.0005375962353736844,0.0,013bc01889f69a84f3a382108c34c96c02ddb813addfd84a4a0c1ecc980f3dcd,2.192880401707953e-06,5.2211449681933975e-14,False,False,50153f1b93dee23407ec7971658fc8da917629c14e4ff3290b7a7a0c88449faa,INTERIOR_PRE_EVENT_NOT_RESISTANCE_POINT
Peak,10,0,228,1332.376768160266,3.17232563847683e-05,6875033.484458815,12594.263510269435,74.852633281754,37.596235373684394,47.19203139289072,9.595796019206324,0.0005471920313928907,0.0,9b5fba41ae5943861046d0187ae8ba2a3f663cab6f0aacc101eae47c4c9707e4,2.9109514798619784e-06,6.930836926512945e-14,False,False,50153f1b93dee23407ec7971658fc8da917629c14e4ff3290b7a7a0c88449faa,INTERIOR_PRE_EVENT_NOT_RESISTANCE_POINT
Peak,11,0,238,1332.3767710712175,3.172325645407667e-05,6918091.239235772,7560.219580623709,57.99464575883196,47.19203139289072,59.93002512708252,12.7379937341918,0.0005599300251270825,0.0,91f95d512b6a37a1bbb9eed25d769d384b90d49df74d96a6a451e1e593d83d43,5.040001269662753e-07,1.2000003855178187e-14,False,False,50153f1b93dee23407ec7971658fc8da917629c14e4ff3290b7a7a0c88449faa,INTERIOR_PRE_EVENT_NOT_RESISTANCE_POINT
Peak,12,0,244,1332.3767715752176,3.1723256466076675e-05,6910988.665614095,7831.569855015616,59.02623850628598,59.93002512708252,62.22736522270742,2.2973400956249024,0.0005622273652227074,0.0,488750b9e74b18fa83f4c3af351dd62067b351a758bdaa532b37f1ce5f1a5ffe,8.400002116104588e-08,2.000000642529698e-15,False,False,50153f1b93dee23407ec7971658fc8da917629c14e4ff3290b7a7a0c88449faa,INTERIOR_PRE_EVENT_NOT_RESISTANCE_POINT
Peak,13,0,245,1332.3767716592176,3.1723256468076676e-05,6908711.061248274,7869.9211694094465,59.17058818666752,62.22736522270742,64.52470531833232,2.2973400956249024,0.0005645247053183323,0.0,4495c117a212084002f04406a6e89b9d22596bbbf9ea7cf11c8aab48e4a219af,1.8934872514364542e-06,4.508304401453986e-14,False,False,50153f1b93dee23407ec7971658fc8da917629c14e4ff3290b7a7a0c88449faa,INTERIOR_PRE_EVENT_NOT_RESISTANCE_POINT
Peak,14,0,255,1332.376773552705,3.172325651315972e-05,6908711.071066487,7918.603375470074,59.353316434828294,64.52470531833232,72.91419034841714,8.389485030084812,0.0005729141903484171,0.0,4bba4908aab5710749f662ab0cac749e578438df33561cf60b7daaf3b11e4f87,1.7508523342257831e-06,4.168696366834562e-14,False,False,50153f1b93dee23407ec7971658fc8da917629c14e4ff3290b7a7a0c88449faa,INTERIOR_PRE_EVENT_NOT_RESISTANCE_POINT
Peak,15,0,265,1332.3767753035572,3.1723256554846684e-05,6844477.100671337,8311.835284716262,60.809181731275835,72.91419034841714,80.57571727409692,7.6615269256798,0.000580575717274097,0.0,6669311d8cf5ee3ee6157d7189694d846fe9dd71ee8a6f4b4fe4b39a7635db5c,1.1971928870480042e-06,2.8504623791544836e-14,False,False,50153f1b93dee23407ec7971658fc8da917629c14e4ff3290b7a7a0c88449faa,INTERIOR_PRE_EVENT_NOT_RESISTANCE_POINT
Peak,16,0,275,1332.37677650075,3.172325658335131e-05,6841666.610005459,8128.357876875933,60.13427836051607,80.57571727409692,85.81449810304701,5.238780828950074,0.000585814498103047,0.0,cb151ab9d83611b382732373695de4c86acab914bae385acb348795260a47b55,2.5200006348313764e-07,6.000001927589094e-15,False,False,50153f1b93dee23407ec7971658fc8da917629c14e4ff3290b7a7a0c88449faa,INTERIOR_PRE_EVENT_NOT_RESISTANCE_POINT
