material_class,physical_avalanche_index,first_event_transaction_index,last_event_transaction_index,event_transaction_count,start_extension_um,end_extension_um,avalanche_extension_um,onset_opening_m,target_right_censored,grouping_rule
Peak,0,0,207,208,0.0,1006.3332875505729,1006.3332875505729,3.172325616240097e-05,True,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
DBTT,0,0,10,11,0.0,50.1293468830739,50.12934688307391,3.3083368353853064e-05,False,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
DBTT,1,11,207,197,50.1293468830739,1000.8254766630512,950.6961297799776,3.558346992104971e-05,True,CONTIGUOUS_EVENTS_WITHOUT_INTERVENING_FULL_ACCEPTED_LOADING_INTERVAL
