target_extension_um,actual_extension_um,geometry_event_count,reference_opening_m,reaction_N_per_m,compliance_m2_per_N,elastic_energy_J_per_m,native_J_J_per_m2,native_J_signed_J_per_m2,native_KJ_MPa_sqrt_m,domain_metadata_json,F_over_U_N_per_m2,J_native_over_U2,KJ_native_over_U,wake_width_m,mesh_scale_m,tip_x_m,tip_y_m,mesh_fingerprint,damage_wake_fingerprint,opening_scaling_F_ratio_error,opening_scaling_W_ratio_error,opening_scaling_J_ratio_error,opening_scaling_KJ_ratio_error
0,0.0,0,1e-05,2178398.589212021,4.590528129022174e-12,10.8919929460602,888.3352775942302,888.3352775942302,19.87966903942882,"{""J"": 888.3352775942302, ""J_signed"": 888.3352775942302, ""KJ"": 19879669.03942882, ""KJ_MPa"": 19.87966903942882, ""n_active_elements"": 470, ""r_inner"": 0.00016, ""r_outer"": 0.00064}",217839858921.20206,8883352775942.3,1987966.9039428819,2.769159822672732e-06,1.384579911336366e-06,0.0005,0.0,3dd0befb122b3e8ab23bd78c20a19597ec8fb54712d3e25e6bdf9fc852e9819f,9a73ac2dedb244ae21bd0570908201e341e20845473ed145a11912c35b1d4dac,0.0,0.0,0.0,0.0
2,5.0,1,1e-05,2178281.4551270255,4.590774978349552e-12,10.891407275635222,873.9172008031421,873.9172008031421,19.717681129940786,"{""J"": 873.9172008031421, ""J_signed"": 873.9172008031421, ""KJ"": 19717681.129940785, ""KJ_MPa"": 19.717681129940786, ""n_active_elements"": 476, ""r_inner"": 0.00016, ""r_outer"": 0.00064}",217828145512.70255,8739172008031.42,1971768.1129940785,2.769159822672732e-06,1.384579911336366e-06,0.000505,0.0,3dd0befb122b3e8ab23bd78c20a19597ec8fb54712d3e25e6bdf9fc852e9819f,dc3a3c7a3d4f0fcdaa3234034aa3fc219ac75459eeda6a974fc92ac6e9158cc7,0.0,0.0,0.0,0.0
5,5.0,1,1e-05,2178281.4551270255,4.590774978349552e-12,10.891407275635222,873.9172008031421,873.9172008031421,19.717681129940786,"{""J"": 873.9172008031421, ""J_signed"": 873.9172008031421, ""KJ"": 19717681.129940785, ""KJ_MPa"": 19.717681129940786, ""n_active_elements"": 476, ""r_inner"": 0.00016, ""r_outer"": 0.00064}",217828145512.70255,8739172008031.42,1971768.1129940785,2.769159822672732e-06,1.384579911336366e-06,0.000505,0.0,3dd0befb122b3e8ab23bd78c20a19597ec8fb54712d3e25e6bdf9fc852e9819f,dc3a3c7a3d4f0fcdaa3234034aa3fc219ac75459eeda6a974fc92ac6e9158cc7,0.0,0.0,0.0,0.0
10,10.0,2,1e-05,2177971.5031570275,4.591428301749924e-12,10.88985751578525,859.9582092774376,859.9582092774376,19.559572958485173,"{""J"": 859.9582092774376, ""J_signed"": 859.9582092774376, ""KJ"": 19559572.958485175, ""KJ_MPa"": 19.559572958485173, ""n_active_elements"": 475, ""r_inner"": 0.00016, ""r_outer"": 0.00064}",217797150315.70273,8599582092774.375,1955957.2958485172,2.769159822672732e-06,1.384579911336366e-06,0.00051,0.0,3dd0befb122b3e8ab23bd78c20a19597ec8fb54712d3e25e6bdf9fc852e9819f,a54bd18acf23ed3aca5221756971242f6e734c32ce63e6175922e2eb70977a76,0.0,0.0,0.0,0.0
25,25.0,5,1e-05,2175654.9599660463,4.59631705578722e-12,10.878274799830328,820.972940752162,820.972940752162,19.111074999005336,"{""J"": 820.972940752162, ""J_signed"": 820.972940752162, ""KJ"": 19111074.999005336, ""KJ_MPa"": 19.111074999005336, ""n_active_elements"": 460, ""r_inner"": 0.00016, ""r_outer"": 0.00064}",217565495996.6046,8209729407521.619,1911107.4999005334,2.769159822672732e-06,1.384579911336366e-06,0.000525,0.0,3dd0befb122b3e8ab23bd78c20a19597ec8fb54712d3e25e6bdf9fc852e9819f,82c2cc073e6a585581cfba547c17939ee0ea538877aa408cad818c656b6b7f1a,0.0,0.0,0.0,0.0
50,50.0,10,1e-05,2166652.3559543286,4.615415099943608e-12,10.833261779771734,766.941313349537,766.941313349537,18.471482879483354,"{""J"": 766.941313349537, ""J_signed"": 766.941313349537, ""KJ"": 18471482.879483353, ""KJ_MPa"": 18.471482879483354, ""n_active_elements"": 456, ""r_inner"": 0.00016, ""r_outer"": 0.00064}",216665235595.43283,7669413133495.369,1847148.2879483353,2.769159822672732e-06,1.384579911336366e-06,0.00055,0.0,3dd0befb122b3e8ab23bd78c20a19597ec8fb54712d3e25e6bdf9fc852e9819f,2e28f429784789c32102f579875d0c3e68cafc35b15f8a582f15a5cbc541037f,0.0,0.0,0.0,0.0
75,75.0,15,1e-05,2143096.2878620015,4.666145920105258e-12,10.715481439310096,728.7278334251662,728.7278334251662,18.00542488251799,"{""J"": 728.7278334251662, ""J_signed"": 728.7278334251662, ""KJ"": 18005424.88251799, ""KJ_MPa"": 18.00542488251799, ""n_active_elements"": 458, ""r_inner"": 0.00016, ""r_outer"": 0.00064}",214309628786.20013,7287278334251.66,1800542.4882517988,2.769159822672732e-06,1.384579911336366e-06,0.000575,0.0,3dd0befb122b3e8ab23bd78c20a19597ec8fb54712d3e25e6bdf9fc852e9819f,b2d206fb852fa0021f12a6e270c67c0b5125d2069755743554f1bcdba4357387,0.0,0.0,0.0,0.0
100,100.0,20,1e-05,2104244.1998911547,4.7523001372736424e-12,10.521220999455851,692.1574879648414,692.1574879648414,17.54781940250611,"{""J"": 692.1574879648414, ""J_signed"": 692.1574879648414, ""KJ"": 17547819.40250611, ""KJ_MPa"": 17.54781940250611, ""n_active_elements"": 457, ""r_inner"": 0.00016, ""r_outer"": 0.00064}",210424419989.11545,6921574879648.413,1754781.940250611,2.769159822672732e-06,1.384579911336366e-06,0.0006000000000000001,0.0,3dd0befb122b3e8ab23bd78c20a19597ec8fb54712d3e25e6bdf9fc852e9819f,9bd60e2539934f43b615a66523768ff107b7f95d0b4dfad7444cd25cb590e1c8,0.0,0.0,0.0,0.0
150,150.0,30,1e-05,2087366.420542773,4.79072572097798e-12,10.436832102713984,794.1349246917082,794.1349246917082,18.79610417174678,"{""J"": 794.1349246917082, ""J_signed"": 794.1349246917082, ""KJ"": 18796104.17174678, ""KJ_MPa"": 18.79610417174678, ""n_active_elements"": 461, ""r_inner"": 0.00016, ""r_outer"": 0.00064}",208736642054.27728,7941349246917.081,1879610.4171746778,2.769159822672732e-06,1.384579911336366e-06,0.00065,0.0,3dd0befb122b3e8ab23bd78c20a19597ec8fb54712d3e25e6bdf9fc852e9819f,da0d0ec6ab7b926c60e2238c8fff3dc72d9296e16465a946203393554faaba8a,0.0,0.0,0.0,0.0
200,200.0,40,1e-05,2048502.7689231425,4.881614099675737e-12,10.242513844615807,995.6043208818817,995.6043208818817,21.045734228384017,"{""J"": 995.6043208818817, ""J_signed"": 995.6043208818817, ""KJ"": 21045734.228384018, ""KJ_MPa"": 21.045734228384017, ""n_active_elements"": 515, ""r_inner"": 0.00016, ""r_outer"": 0.00064}",204850276892.31424,9956043208818.814,2104573.4228384015,2.769159822672732e-06,1.384579911336366e-06,0.0007,0.0,3dd0befb122b3e8ab23bd78c20a19597ec8fb54712d3e25e6bdf9fc852e9819f,86b1cee0b31eb92cdf74e8edfc4e5d4b5bf1824187b345629643d12a57f616e6,0.0,0.0,0.0,0.0
