material_class,comparison_extension_um,comparison_opening_m,straight_path_G_J_per_m2,arbitrary_path_G_same_opening_J_per_m2,straight_minus_arbitrary_G_fraction,straight_path_native_J_J_per_m2,arbitrary_path_native_J_same_opening_J_per_m2,straight_minus_arbitrary_native_J_fraction,arbitrary_path_G_uncertainty_same_opening_J_per_m2,interpretation
Peak,500,1.25e-05,9439.944460729448,9236.235274951528,0.022055434894601978,9444.687863030053,9280.903843803102,0.017647421197700453,0.17845525608011825,PATH_REDUCTION_SENSITIVITY_NOT_PARAMETER_TUNING
DBTT,500,1.25e-05,9439.944460729448,9417.81148700757,0.0023501185761057326,9444.687863030053,9327.550930251764,0.012558165980995283,5.123265221248802,PATH_REDUCTION_SENSITIVITY_NOT_PARAMETER_TUNING
