experiment,geometry_owner,state_owner_candidate_id,original_1d_selection_role,pf_observed_microstructure_role,onset_role,common_external_opening_m,native_K_from_common_geometry_opening_MPa_sqrt_m,opening_required_equivalent_K_for_control_cleavage_rate_MPa_sqrt_m,control_target_cleavage_rate_s,native_K_Pa_sqrt_m,extension_m,radius_m,front_width_m,shielding_Pa_sqrt_m,backstress_mean_Pa,accepted_snapshot_recomputed_backstress_mean_Pa,multiplicity_per_system,opening_stress_Pa,cleavage_stress_Pa,cleavage_barrier_eV,cleavage_raw_rate_s,cleavage_effective_rate_s,emission_stress_by_system_Pa_json,emission_barrier_by_system_eV_json,emission_rate_by_system_s_json,aggregate_emission_rate_s,log10_cleavage_to_emission,peierls_rate_max_s,encounter_rate_max_s,taylor_completion_rate_max_s,state_support,diagnostic_semantics
STATE_SWAP_AT_FIXED_GEOMETRY_AND_OPENING,CONTROL,v913_zeroD_sobol_0202500,CONTROL,MOBILE_RICH_REFERENCE_AT_REINITIATION,INITIAL_ONSET_PRE_EVENT,3.268388493821179e-05,55.509685320854764,55.298154332591785,0.07380022653660381,55509685.32085477,2.931106565679095e-06,7.634485073185825e-06,1.5055173032887342e-07,-3726714.0839830237,7981595613.481319,8014502317.848213,1505.547319142136,8014731099.78986,8552810375.438395,1.7716675593462203,7636.57498742289,0.07380022653660147,"[32950866.199951172, 32862635.33411312]","[0.07423772575569687, 0.07423772575569687]","[45695265852.441086, 45695265852.441086]",137592770003259.75,-15.270537918980642,550156630759.7334,2519785123066.418,1.0,full_active,COUNTERFACTUAL_DIAGNOSTIC_NOT_PRODUCTION_PHYSICS
NEAR_TIP_VERSUS_FULL_WAKE_STATE,CONTROL,v913_zeroD_sobol_0202500,CONTROL,MOBILE_RICH_REFERENCE_AT_REINITIATION,INITIAL_ONSET_PRE_EVENT,3.268388493821179e-05,55.509685320854764,,,55509685.32085477,2.931106565679095e-06,7.634485073185825e-06,1.5055173032887342e-07,-3169613.485971389,7981595613.481319,8014502317.848213,1505.547319142136,8014731099.78986,8472373755.003836,1.822065121695173,4487.41583196974,0.015009845300353037,"[32950866.199951172, 32862635.33411312]","[0.07423772575569687, 0.07423772575569687]","[45695265852.441086, 45695265852.441086]",137592770003259.75,-15.962219397722006,550156630759.7334,2519785123066.418,1.0,near_tip,COUNTERFACTUAL_DIAGNOSTIC_NOT_PRODUCTION_PHYSICS
NEAR_TIP_VERSUS_FULL_WAKE_STATE,CONTROL,v913_zeroD_sobol_0202500,CONTROL,MOBILE_RICH_REFERENCE_AT_REINITIATION,INITIAL_ONSET_PRE_EVENT,3.268388493821179e-05,55.509685320854764,,,55509685.32085477,2.931106565679095e-06,7.634485073185825e-06,1.5055173032887342e-07,-3726714.0839830237,7981595613.481319,8014502317.848213,1505.547319142136,8014731099.78986,8552810375.438395,1.7716675593462203,7636.57498742289,0.07380022653660147,"[32950866.199951172, 32862635.33411312]","[0.07423772575569687, 0.07423772575569687]","[45695265852.441086, 45695265852.441086]",137592770003259.75,-15.270537918980642,550156630759.7334,2519785123066.418,1.0,full_active,COUNTERFACTUAL_DIAGNOSTIC_NOT_PRODUCTION_PHYSICS
NEAR_TIP_VERSUS_FULL_WAKE_STATE,CONTROL,v913_zeroD_sobol_0202500,CONTROL,MOBILE_RICH_REFERENCE_AT_REINITIATION,INITIAL_ONSET_PRE_EVENT,3.268388493821179e-05,55.509685320854764,,,55509685.32085477,2.931106565679095e-06,7.634485073185825e-06,1.5055173032887342e-07,-3726714.0839830237,7981595613.481319,8014502317.848213,1505.547319142136,8014731099.78986,8552810375.438395,1.7716675593462203,7636.57498742289,0.07380022653660147,"[32950866.199951172, 32862635.33411312]","[0.07423772575569687, 0.07423772575569687]","[45695265852.441086, 45695265852.441086]",137592770003259.75,-15.270537918980642,550156630759.7334,2519785123066.418,1.0,full_production_with_wake,COUNTERFACTUAL_DIAGNOSTIC_NOT_PRODUCTION_PHYSICS
STATE_SWAP_AT_FIXED_GEOMETRY_AND_OPENING,CONTROL,oneD_v2_dbtt_TP_f07fe99faea93479,TRANSPORT_EXTREME,RETENTION_DOMINATED_LONG_WAKE_AT_REINITIATION,INITIAL_ONSET_PRE_EVENT,3.268388493821179e-05,55.509685320854764,55.31137536477702,0.07380022653660381,55509685.32085477,2.931106565679095e-06,7.637251966364048e-06,1.5052035366907216e-07,-3724187.9912511264,7983259790.945816,8012830328.86349,1505.7790736411396,8013279143.393169,8550896277.842247,1.7728578098890229,7541.284916080346,0.07107697013026192,"[29830596.27234459, 29750720.41525078]","[0.07423772575569687, 0.07423772575569687]","[45695265852.441086, 45695265852.441086]",137613950170148.67,-15.286933554914167,873573839233.2717,4001075768114.0044,1.0,full_active,COUNTERFACTUAL_DIAGNOSTIC_NOT_PRODUCTION_PHYSICS
NEAR_TIP_VERSUS_FULL_WAKE_STATE,CONTROL,oneD_v2_dbtt_TP_f07fe99faea93479,TRANSPORT_EXTREME,RETENTION_DOMINATED_LONG_WAKE_AT_REINITIATION,INITIAL_ONSET_PRE_EVENT,3.268388493821179e-05,55.509685320854764,,,55509685.32085477,2.931106565679095e-06,7.637251966364048e-06,1.5052035366907216e-07,-3167976.5221399562,7983259790.945816,8012830328.86349,1505.7790736411396,8013279143.393169,8470602582.445093,1.8231835237590157,4434.781492650289,0.014488422041836712,"[29830596.27234459, 29750720.41525078]","[0.07423772575569687, 0.07423772575569687]","[45695265852.441086, 45695265852.441086]",137613950170148.67,-15.977641373021086,873573839233.2717,4001075768114.0044,1.0,near_tip,COUNTERFACTUAL_DIAGNOSTIC_NOT_PRODUCTION_PHYSICS
NEAR_TIP_VERSUS_FULL_WAKE_STATE,CONTROL,oneD_v2_dbtt_TP_f07fe99faea93479,TRANSPORT_EXTREME,RETENTION_DOMINATED_LONG_WAKE_AT_REINITIATION,INITIAL_ONSET_PRE_EVENT,3.268388493821179e-05,55.509685320854764,,,55509685.32085477,2.931106565679095e-06,7.637251966364048e-06,1.5052035366907216e-07,-3724187.9912511264,7983259790.945816,8012830328.86349,1505.7790736411396,8013279143.393169,8550896277.842247,1.7728578098890229,7541.284916080346,0.07107697013026192,"[29830596.27234459, 29750720.41525078]","[0.07423772575569687, 0.07423772575569687]","[45695265852.441086, 45695265852.441086]",137613950170148.67,-15.286933554914167,873573839233.2717,4001075768114.0044,1.0,full_active,COUNTERFACTUAL_DIAGNOSTIC_NOT_PRODUCTION_PHYSICS
NEAR_TIP_VERSUS_FULL_WAKE_STATE,CONTROL,oneD_v2_dbtt_TP_f07fe99faea93479,TRANSPORT_EXTREME,RETENTION_DOMINATED_LONG_WAKE_AT_REINITIATION,INITIAL_ONSET_PRE_EVENT,3.268388493821179e-05,55.509685320854764,,,55509685.32085477,2.931106565679095e-06,7.637251966364048e-06,1.5052035366907216e-07,-3724187.9912511264,7983259790.945816,8012830328.86349,1505.7790736411396,8013279143.393169,8550896277.842247,1.7728578098890229,7541.284916080346,0.07107697013026192,"[29830596.27234459, 29750720.41525078]","[0.07423772575569687, 0.07423772575569687]","[45695265852.441086, 45695265852.441086]",137613950170148.67,-15.286933554914167,873573839233.2717,4001075768114.0044,1.0,full_production_with_wake,COUNTERFACTUAL_DIAGNOSTIC_NOT_PRODUCTION_PHYSICS
STATE_SWAP_AT_FIXED_GEOMETRY_AND_OPENING,CONTROL,oneD_v2_dbtt_TP_4895f9e5b44deea5,RETENTION_EXTREME,RETENTION_DOMINATED_LONG_WAKE_AT_REINITIATION,INITIAL_ONSET_PRE_EVENT,3.268388493821179e-05,55.509685320854764,55.310738176553336,0.07380022653660381,55509685.32085477,2.931106565679095e-06,7.637118523981768e-06,1.505218664598582e-07,-3724309.4258594946,7983179538.561341,8012910565.906362,1505.7678972460437,8013349150.581383,8550988512.103778,1.7728004453376753,7545.850063369566,0.07120588477084303,"[29981055.285525322, 29900776.55152321]","[0.07423772575569687, 0.07423772575569687]","[45695265852.441086, 45695265852.441086]",137612928753458.31,-15.286143350695609,849561183868.6537,3891094849280.8906,1.0,full_active,COUNTERFACTUAL_DIAGNOSTIC_NOT_PRODUCTION_PHYSICS
NEAR_TIP_VERSUS_FULL_WAKE_STATE,CONTROL,oneD_v2_dbtt_TP_4895f9e5b44deea5,RETENTION_EXTREME,RETENTION_DOMINATED_LONG_WAKE_AT_REINITIATION,INITIAL_ONSET_PRE_EVENT,3.268388493821179e-05,55.509685320854764,,,55509685.32085477,2.931106565679095e-06,7.637118523981768e-06,1.505218664598582e-07,-3168055.053197798,7983179538.561341,8012910565.906362,1505.7678972460437,8013349150.581383,8470687921.694899,1.8231296280260378,4437.30372159723,0.014513129006287453,"[29981055.285525322, 29900776.55152321]","[0.07423772575569687, 0.07423772575569687]","[45695265852.441086, 45695265852.441086]",137612928753458.31,-15.976898182147087,849561183868.6537,3891094849280.8906,1.0,near_tip,COUNTERFACTUAL_DIAGNOSTIC_NOT_PRODUCTION_PHYSICS
