candidate_id,original_1d_selection_role,onset_role,ablation,factorial_member,native_K_Pa_sqrt_m,extension_m,radius_m,front_width_m,shielding_Pa_sqrt_m,backstress_mean_Pa,accepted_snapshot_recomputed_backstress_mean_Pa,multiplicity_per_system,opening_stress_Pa,cleavage_stress_Pa,cleavage_barrier_eV,cleavage_raw_rate_s,cleavage_effective_rate_s,emission_stress_by_system_Pa_json,emission_barrier_by_system_eV_json,emission_rate_by_system_s_json,aggregate_emission_rate_s,log10_cleavage_to_emission,peierls_rate_max_s,encounter_rate_max_s,taylor_completion_rate_max_s,state_support,diagnostic_semantics,radius_actual,shielding_actual,backstress_actual,multiplicity_actual
v913_zeroD_sobol_0202500,CONTROL,INITIAL_ONSET_PRE_EVENT,ACTUAL_RADIUS_ACTUAL_SHIELD_ACTUAL_BACKSTRESS_ACTUAL_MULTIPLICITY,False,55509685.320854776,2.931106565679095e-06,7.634485073185825e-06,1.5055173032887342e-07,-3726714.0839830237,7981595613.481319,8014502317.848213,1505.547319142136,8014731099.789861,8552810375.4383955,1.7716675593462194,7636.574987422971,0.07380022653660381,"[32950866.199952126, 32862635.334114075]","[0.07423772575569687, 0.07423772575569687]","[45695265852.441086, 45695265852.441086]",137592770003259.75,-15.27053791898063,550156630759.7334,2519785123066.418,1.0,full_active,COUNTERFACTUAL_DIAGNOSTIC_NOT_PRODUCTION_PHYSICS,,,,
v913_zeroD_sobol_0202500,CONTROL,INITIAL_ONSET_PRE_EVENT,REFERENCE_RADIUS_ACTUAL_SHIELD_ACTUAL_BACKSTRESS,False,55509685.320854776,2.931106565679095e-06,7.634485073185825e-06,1.5055173032887342e-07,-3726714.0839830237,7981595613.481319,8014502317.848213,1505.547319142136,8014731099.789861,8552810375.4383955,1.7716675593462194,7636.574987422971,0.07380022653660381,"[32950866.199952126, 32862635.334114075]","[0.07423772575569687, 0.07423772575569687]","[45695265852.441086, 45695265852.441086]",137592770003259.75,-15.27053791898063,550156630759.7334,2519785123066.418,1.0,full_active,COUNTERFACTUAL_DIAGNOSTIC_NOT_PRODUCTION_PHYSICS,,,,
v913_zeroD_sobol_0202500,CONTROL,INITIAL_ONSET_PRE_EVENT,ACTUAL_RADIUS_ZERO_SHIELD_ACTUAL_BACKSTRESS,False,55509685.320854776,2.931106565679095e-06,7.634485073185825e-06,1.5055173032887342e-07,0.0,7981595613.481319,8014502317.848213,1505.547319142136,8014731099.789861,8014731099.789861,2.122712929992577,188.16695065478737,1.1102416126939063e-06,"[32950866.199952126, 32862635.334114075]","[0.07423772575569687, 0.07423772575569687]","[45695265852.441086, 45695265852.441086]",137592770003259.75,-20.093178112926708,550156630759.7334,2519785123066.418,1.0,full_active,COUNTERFACTUAL_DIAGNOSTIC_NOT_PRODUCTION_PHYSICS,,,,
v913_zeroD_sobol_0202500,CONTROL,INITIAL_ONSET_PRE_EVENT,ACTUAL_RADIUS_ACTUAL_SHIELD_ZERO_BACKSTRESS,False,55509685.320854776,2.931106565679095e-06,7.634485073185825e-06,1.5055173032887342e-07,-3726714.0839830237,0.0,8014502317.848213,1505.547319142136,8014731099.789861,8552810375.4383955,1.7716675593462194,7636.574987422971,0.07380022653660381,"[8025246775.915891, 8003757952.580815]","[0.07423772575569687, 0.07423772575569687]","[45695265852.441086, 45695265852.441086]",137592770003259.75,-15.27053791898063,550156630759.7334,2519785123066.418,1.0,full_active,COUNTERFACTUAL_DIAGNOSTIC_NOT_PRODUCTION_PHYSICS,,,,
v913_zeroD_sobol_0202500,CONTROL,INITIAL_ONSET_PRE_EVENT,REFERENCE_RADIUS_ZERO_SHIELD_ZERO_BACKSTRESS,False,55509685.320854776,2.931106565679095e-06,7.634485073185825e-06,1.5055173032887342e-07,0.0,0.0,8014502317.848213,1505.547319142136,8014731099.789861,8014731099.789861,2.122712929992577,188.16695065478737,1.1102416126939063e-06,"[8025246775.915891, 8003757952.580815]","[0.07423772575569687, 0.07423772575569687]","[45695265852.441086, 45695265852.441086]",137592770003259.75,-20.093178112926708,550156630759.7334,2519785123066.418,1.0,full_active,COUNTERFACTUAL_DIAGNOSTIC_NOT_PRODUCTION_PHYSICS,,,,
v913_zeroD_sobol_0202500,CONTROL,INITIAL_ONSET_PRE_EVENT,ACTUAL_RADIUS_ACTUAL_SHIELD_ACTUAL_BACKSTRESS_REFERENCE_MULTIPLICITY,False,55509685.320854776,2.931106565679095e-06,7.634485073185825e-06,1.5055173032887342e-07,-3726714.0839830237,7981595613.481319,8014502317.848213,1505.547319142136,8014731099.789861,8552810375.4383955,1.7716675593462194,7636.574987422971,0.07380022653660381,"[32950866.199952126, 32862635.334114075]","[0.07423772575569687, 0.07423772575569687]","[45695265852.441086, 45695265852.441086]",137592770003259.75,-15.27053791898063,550156630759.7334,2519785123066.418,1.0,full_active,COUNTERFACTUAL_DIAGNOSTIC_NOT_PRODUCTION_PHYSICS,,,,
v913_zeroD_sobol_0202500,CONTROL,INITIAL_ONSET_PRE_EVENT,FACTORIAL_R0_S0_B0_M0,True,55509685.320854776,2.931106565679095e-06,7.634485073185825e-06,1.5055173032887342e-07,0.0,0.0,8014502317.848213,1505.547319142136,8014731099.789861,8014731099.789861,2.122712929992577,188.16695065478737,1.1102416126939063e-06,"[8025246775.915891, 8003757952.580815]","[0.07423772575569687, 0.07423772575569687]","[45695265852.441086, 45695265852.441086]",137592770003259.75,-20.093178112926708,550156630759.7334,2519785123066.418,1.0,full_active,COUNTERFACTUAL_DIAGNOSTIC_NOT_PRODUCTION_PHYSICS,False,False,False,False
v913_zeroD_sobol_0202500,CONTROL,INITIAL_ONSET_PRE_EVENT,FACTORIAL_R0_S0_B0_M1,True,55509685.320854776,2.931106565679095e-06,7.634485073185825e-06,1.5055173032887342e-07,0.0,0.0,8014502317.848213,1505.547319142136,8014731099.789861,8014731099.789861,2.122712929992577,188.16695065478737,1.1102416126939063e-06,"[8025246775.915891, 8003757952.580815]","[0.07423772575569687, 0.07423772575569687]","[45695265852.441086, 45695265852.441086]",137592770003259.75,-20.093178112926708,550156630759.7334,2519785123066.418,1.0,full_active,COUNTERFACTUAL_DIAGNOSTIC_NOT_PRODUCTION_PHYSICS,False,False,False,True
v913_zeroD_sobol_0202500,CONTROL,INITIAL_ONSET_PRE_EVENT,FACTORIAL_R0_S0_B1_M0,True,55509685.320854776,2.931106565679095e-06,7.634485073185825e-06,1.5055173032887342e-07,0.0,7981595613.481319,8014502317.848213,1505.547319142136,8014731099.789861,8014731099.789861,2.122712929992577,188.16695065478737,1.1102416126939063e-06,"[32950866.199952126, 32862635.334114075]","[0.07423772575569687, 0.07423772575569687]","[45695265852.441086, 45695265852.441086]",137592770003259.75,-20.093178112926708,550156630759.7334,2519785123066.418,1.0,full_active,COUNTERFACTUAL_DIAGNOSTIC_NOT_PRODUCTION_PHYSICS,False,False,True,False
v913_zeroD_sobol_0202500,CONTROL,INITIAL_ONSET_PRE_EVENT,FACTORIAL_R0_S0_B1_M1,True,55509685.320854776,2.931106565679095e-06,7.634485073185825e-06,1.5055173032887342e-07,0.0,7981595613.481319,8014502317.848213,1505.547319142136,8014731099.789861,8014731099.789861,2.122712929992577,188.16695065478737,1.1102416126939063e-06,"[32950866.199952126, 32862635.334114075]","[0.07423772575569687, 0.07423772575569687]","[45695265852.441086, 45695265852.441086]",137592770003259.75,-20.093178112926708,550156630759.7334,2519785123066.418,1.0,full_active,COUNTERFACTUAL_DIAGNOSTIC_NOT_PRODUCTION_PHYSICS,False,False,True,True
