candidate_id,original_1d_selection_role,component,value,units,additivity,diagnostic_semantics
v913_zeroD_sobol_0202500,CONTROL,NATIVE_APPARENT_DELTA_K_REINIT,-6.333811986188749,MPa_sqrt_m,OBSERVED_NOT_DECOMPOSED,COUNTERFACTUAL_DIAGNOSTIC_NOT_PRODUCTION_PHYSICS
v913_zeroD_sobol_0202500,CONTROL,LOCAL_SOURCE_OPENING_EQUIVALENT_DELTA_AT_REFERENCE_1UM,1.3233909641241048,MPa_sqrt_m,DIAGNOSTIC_NOT_NATIVE_K,COUNTERFACTUAL_DIAGNOSTIC_NOT_PRODUCTION_PHYSICS
v913_zeroD_sobol_0202500,CONTROL,RADIUS_CONSTANT_CLEAVAGE_STRESS_K_REQUIREMENT,-10.002255068650989,MPa_sqrt_m,ONE_AT_A_TIME_DIAGNOSTIC,COUNTERFACTUAL_DIAGNOSTIC_NOT_PRODUCTION_PHYSICS
v913_zeroD_sobol_0202500,CONTROL,SHIELDING_CHANGE,1.6599772176748155,MPa_sqrt_m,ONE_AT_A_TIME_DIAGNOSTIC,COUNTERFACTUAL_DIAGNOSTIC_NOT_PRODUCTION_PHYSICS
v913_zeroD_sobol_0202500,CONTROL,GLOBAL_STRUCTURAL_MINUS_LOCAL_REFERENCE_RESIDUAL,-7.657202950312854,MPa_sqrt_m,CONTRAST_NOT_CAUSAL_SUM,COUNTERFACTUAL_DIAGNOSTIC_NOT_PRODUCTION_PHYSICS
v913_zeroD_sobol_0202500,CONTROL,RADIUS_HAZARD_COMPETITION_MAIN_EFFECT,0.0,log10_cleavage_to_emission,ONE_AT_A_TIME_DIAGNOSTIC,COUNTERFACTUAL_DIAGNOSTIC_NOT_PRODUCTION_PHYSICS
v913_zeroD_sobol_0202500,CONTROL,SHIELDING_HAZARD_COMPETITION_MAIN_EFFECT,2.9433494801844304,log10_cleavage_to_emission,ONE_AT_A_TIME_DIAGNOSTIC,COUNTERFACTUAL_DIAGNOSTIC_NOT_PRODUCTION_PHYSICS
v913_zeroD_sobol_0202500,CONTROL,BACKSTRESS_HAZARD_COMPETITION_MAIN_EFFECT,0.0,log10_cleavage_to_emission,ONE_AT_A_TIME_DIAGNOSTIC,COUNTERFACTUAL_DIAGNOSTIC_NOT_PRODUCTION_PHYSICS
v913_zeroD_sobol_0202500,CONTROL,MULTIPLICITY_HAZARD_COMPETITION_MAIN_EFFECT,0.0,log10_cleavage_to_emission,ONE_AT_A_TIME_DIAGNOSTIC,COUNTERFACTUAL_DIAGNOSTIC_NOT_PRODUCTION_PHYSICS
v913_zeroD_sobol_0202500,CONTROL,RADIUS_X_SHIELDING_PAIR_INTERACTION,0.0,log10_cleavage_to_emission,SECOND_ORDER_FACTORIAL_INTERACTION,COUNTERFACTUAL_DIAGNOSTIC_NOT_PRODUCTION_PHYSICS
v913_zeroD_sobol_0202500,CONTROL,RADIUS_X_BACKSTRESS_PAIR_INTERACTION,0.0,log10_cleavage_to_emission,SECOND_ORDER_FACTORIAL_INTERACTION,COUNTERFACTUAL_DIAGNOSTIC_NOT_PRODUCTION_PHYSICS
v913_zeroD_sobol_0202500,CONTROL,RADIUS_X_MULTIPLICITY_PAIR_INTERACTION,0.0,log10_cleavage_to_emission,SECOND_ORDER_FACTORIAL_INTERACTION,COUNTERFACTUAL_DIAGNOSTIC_NOT_PRODUCTION_PHYSICS
v913_zeroD_sobol_0202500,CONTROL,SHIELDING_X_BACKSTRESS_PAIR_INTERACTION,0.0,log10_cleavage_to_emission,SECOND_ORDER_FACTORIAL_INTERACTION,COUNTERFACTUAL_DIAGNOSTIC_NOT_PRODUCTION_PHYSICS
v913_zeroD_sobol_0202500,CONTROL,SHIELDING_X_MULTIPLICITY_PAIR_INTERACTION,0.0,log10_cleavage_to_emission,SECOND_ORDER_FACTORIAL_INTERACTION,COUNTERFACTUAL_DIAGNOSTIC_NOT_PRODUCTION_PHYSICS
