candidate_id,original_1d_selection_role,full_material_sha256,taylor_peierls_subvector_sha256,cleavage_barrier_sha256,emission_barrier_sha256,fixed_non_taylor_peierls_coordinates_sha256,source_repository,source_commit,run_directory,steps_file,steps_sha256,observer_file,observer_sha256,geometry_events_sha256,crack_path_numeric_sha256,geometry_path_bundle_sha256,mesh_wake_fingerprint,loading_contract_sha256,kernel_family_sha256,event_transaction_count,physical_avalanche_count,physical_onset_step_indices_json,extension_checkpoints_um_json,target_right_censored,observer_neutral_no_feedback,anisotropic_factor_clipping_absent,kernel_extrapolation_absent,geometry_files_complete,production_trajectory_rerun_for_audit,fatigue_evaluated
v913_zeroD_sobol_0202500,CONTROL,54104a30a31aa19517810249cb3ea42a346b92670ce3bd4f007110ba3babb1c2,bac6b3b793ca3ac8948d4edaae059dfa6c410218904ef1f2f482767f0b3ce247,ca51dcc632ec9d96dcda209413dbf3b7a914ecb488433a281d6359ddf663c156,75bc5a555c5412dfb9c8337c0c0686a3fdc3e9f5a4774cfe4671664f61a40186,dce1cb89a72191696700e2065202b3836a3fb5985e232adfc21a4bcf4616953e,ukaiiaku-maker/PF-fracture-fatigue,f8f76435a3509553197e8d28a0e8b3cd2b9ca7ce,/private/tmp/oneD-v2-taylor-peierls-pf-runs-300um/oneD_v2_DBTT_control/T1100K_seed1008666,/private/tmp/oneD-v2-taylor-peierls-pf-runs-300um/oneD_v2_DBTT_control/T1100K_seed1008666/steps_1100K.csv,0991053a3c1df8f64f0040008d38dbcc608f5d82f2f0b519f03bce43cdd08e8e,/private/tmp/oneD-v2-taylor-peierls-pf-runs-300um/oneD_v2_DBTT_control/T1100K_seed1008666/anisotropic_emission_audit_v10174.json,d63211d73e7c4cd31b00243541bdd337022c214117540a1fba04553fb914bec1,63e76997a244d5399beeb3c52348deb97800f42f01f492a41e129d965de54fdf,ec16409fa6ebe919038bfbef19b6debd77cf3fc28d9896bc3ea624b86b029370,b775f86b79ec662a342cefa125ef3e41e483ecf0a3f17bb483f8f9cb97611bc4,48cf990c1fd0f581c38f4e18005dd4aeb0ad6945f51c3d36f617ee0db40e7a01,debf0605bf3c15182026211ee734af7d62321f1ed6d3d284e3c1be6fe0d1d08a,d41b08f69ae773009f65f4c0094ef5436ba7f0f290a94172e5b894d09a41f7c3,59,2,"[175, 298]","[0.0, 25.0, 50.0, 100.0, 200.0, 300.0]",True,True,True,True,True,False,False
oneD_v2_dbtt_TP_f07fe99faea93479,TRANSPORT_EXTREME,f07fe99faea9347946b3d0a0654a832b499e58a177961bd23460795f031e94a4,791539f7a0d2a9478cbfdb7070346ef241dfb2a48fa1fcc40952a0f291932f9d,ca51dcc632ec9d96dcda209413dbf3b7a914ecb488433a281d6359ddf663c156,75bc5a555c5412dfb9c8337c0c0686a3fdc3e9f5a4774cfe4671664f61a40186,dce1cb89a72191696700e2065202b3836a3fb5985e232adfc21a4bcf4616953e,ukaiiaku-maker/PF-fracture-fatigue,f8f76435a3509553197e8d28a0e8b3cd2b9ca7ce,/private/tmp/oneD-v2-taylor-peierls-spatial-pf-runs/oneD_v2_DBTT_spatial_01_transport_extreme/T1100K_seed1008666,/private/tmp/oneD-v2-taylor-peierls-spatial-pf-runs/oneD_v2_DBTT_spatial_01_transport_extreme/T1100K_seed1008666/steps_1100K.csv,2da79c0f06165ce739aa3a010d6f3ab0ce74bfe7928f3959f6591a1cc0d15c07,/private/tmp/oneD-v2-taylor-peierls-spatial-pf-runs/oneD_v2_DBTT_spatial_01_transport_extreme/T1100K_seed1008666/anisotropic_emission_audit_v10174.json,d66129e9f350ddb673931b47a84cfb1203764993bd1c0b198095f8bbeb9c7bae,63e76997a244d5399beeb3c52348deb97800f42f01f492a41e129d965de54fdf,ec16409fa6ebe919038bfbef19b6debd77cf3fc28d9896bc3ea624b86b029370,aa48af6af984ba1cedfbc7dee265739a3966340d08bbb08ee7a98babbd5df712,48cf990c1fd0f581c38f4e18005dd4aeb0ad6945f51c3d36f617ee0db40e7a01,debf0605bf3c15182026211ee734af7d62321f1ed6d3d284e3c1be6fe0d1d08a,d41b08f69ae773009f65f4c0094ef5436ba7f0f290a94172e5b894d09a41f7c3,59,2,"[175, 299]","[0.0, 25.0, 50.0, 100.0, 200.0, 300.0]",True,True,True,True,True,False,False
oneD_v2_dbtt_TP_4895f9e5b44deea5,RETENTION_EXTREME,4895f9e5b44deea5159552a62f09d3b4202fa7dcad5c8bf42c613d462291fea8,154b9e89fdfecf715e13b1fa5966a5bfa4b5edbc471e304a1e9d20d0c13fee8e,ca51dcc632ec9d96dcda209413dbf3b7a914ecb488433a281d6359ddf663c156,75bc5a555c5412dfb9c8337c0c0686a3fdc3e9f5a4774cfe4671664f61a40186,dce1cb89a72191696700e2065202b3836a3fb5985e232adfc21a4bcf4616953e,ukaiiaku-maker/PF-fracture-fatigue,f8f76435a3509553197e8d28a0e8b3cd2b9ca7ce,/private/tmp/oneD-v2-taylor-peierls-spatial-pf-runs/oneD_v2_DBTT_spatial_02_retention_extreme/T1100K_seed1008666,/private/tmp/oneD-v2-taylor-peierls-spatial-pf-runs/oneD_v2_DBTT_spatial_02_retention_extreme/T1100K_seed1008666/steps_1100K.csv,358617cdb5d022db1e82d54e2721962215773c122409b76e3508478951e6c9fa,/private/tmp/oneD-v2-taylor-peierls-spatial-pf-runs/oneD_v2_DBTT_spatial_02_retention_extreme/T1100K_seed1008666/anisotropic_emission_audit_v10174.json,e5d70aa5993d19a8986c1245fa252488eeb7dc6bac12e241fce8c09467a18998,63e76997a244d5399beeb3c52348deb97800f42f01f492a41e129d965de54fdf,ec16409fa6ebe919038bfbef19b6debd77cf3fc28d9896bc3ea624b86b029370,d8a9d31b70ef16b9dc0f4ecbeba0e31069295b2e34ed0ac6379a7a4cbbb2209a,48cf990c1fd0f581c38f4e18005dd4aeb0ad6945f51c3d36f617ee0db40e7a01,debf0605bf3c15182026211ee734af7d62321f1ed6d3d284e3c1be6fe0d1d08a,d41b08f69ae773009f65f4c0094ef5436ba7f0f290a94172e5b894d09a41f7c3,59,2,"[175, 300]","[0.0, 25.0, 50.0, 100.0, 200.0, 300.0]",True,True,True,True,True,False,False
oneD_v2_dbtt_TP_7e668ee637fc3ac5,NEAR_TIP_RETENTION_EXTREME,7e668ee637fc3ac5e738096ac5cff871d2c8ddd7d46bcd61124847b962697633,7e47a59c917d231aab5edc974454a3d04cfd00663131f234b48e19fa5a66cbf7,ca51dcc632ec9d96dcda209413dbf3b7a914ecb488433a281d6359ddf663c156,75bc5a555c5412dfb9c8337c0c0686a3fdc3e9f5a4774cfe4671664f61a40186,dce1cb89a72191696700e2065202b3836a3fb5985e232adfc21a4bcf4616953e,ukaiiaku-maker/PF-fracture-fatigue,f8f76435a3509553197e8d28a0e8b3cd2b9ca7ce,/private/tmp/oneD-v2-taylor-peierls-spatial-pf-runs/oneD_v2_DBTT_spatial_03_near_tip_retention_extreme/T1100K_seed1008666,/private/tmp/oneD-v2-taylor-peierls-spatial-pf-runs/oneD_v2_DBTT_spatial_03_near_tip_retention_extreme/T1100K_seed1008666/steps_1100K.csv,4f0bf069a9ee79042a035d6c118f8b6e8c4f8ef910d4ee4fc7de49305e28eeb6,/private/tmp/oneD-v2-taylor-peierls-spatial-pf-runs/oneD_v2_DBTT_spatial_03_near_tip_retention_extreme/T1100K_seed1008666/anisotropic_emission_audit_v10174.json,535634f93722eed5af6f40646d40476a8b8e0378850a1fbe86305cd9a6e36b4d,63e76997a244d5399beeb3c52348deb97800f42f01f492a41e129d965de54fdf,ec16409fa6ebe919038bfbef19b6debd77cf3fc28d9896bc3ea624b86b029370,67d6def0a6cad7f5a71be1e0d59e674910b49c4453414f447f1b38c482d1ce28,48cf990c1fd0f581c38f4e18005dd4aeb0ad6945f51c3d36f617ee0db40e7a01,debf0605bf3c15182026211ee734af7d62321f1ed6d3d284e3c1be6fe0d1d08a,d41b08f69ae773009f65f4c0094ef5436ba7f0f290a94172e5b894d09a41f7c3,59,2,"[175, 295]","[0.0, 25.0, 50.0, 100.0, 200.0, 300.0]",True,True,True,True,True,False,False
oneD_v2_dbtt_TP_b60d78111740b058,PERSISTENT_WAKE_EXTREME,b60d78111740b058cdb185a74bf6299a6742bc11d502696c2706c2b374686c15,e0db134fa6bdc3d1ddec36af5c60a8f613fd2bcd91b354a83d4ce950e735d94b,ca51dcc632ec9d96dcda209413dbf3b7a914ecb488433a281d6359ddf663c156,75bc5a555c5412dfb9c8337c0c0686a3fdc3e9f5a4774cfe4671664f61a40186,dce1cb89a72191696700e2065202b3836a3fb5985e232adfc21a4bcf4616953e,ukaiiaku-maker/PF-fracture-fatigue,f8f76435a3509553197e8d28a0e8b3cd2b9ca7ce,/private/tmp/oneD-v2-taylor-peierls-spatial-pf-runs/oneD_v2_DBTT_spatial_04_persistent_wake_extreme/T1100K_seed1008666,/private/tmp/oneD-v2-taylor-peierls-spatial-pf-runs/oneD_v2_DBTT_spatial_04_persistent_wake_extreme/T1100K_seed1008666/steps_1100K.csv,8b45cdeca4e76bc1ca0adbfacd1985675bb6b82168a75eb01a5b3f81eca2b1a9,/private/tmp/oneD-v2-taylor-peierls-spatial-pf-runs/oneD_v2_DBTT_spatial_04_persistent_wake_extreme/T1100K_seed1008666/anisotropic_emission_audit_v10174.json,5d0c2c9d18059a5318d70c3657329be7011fb89628022ea482d72b59e737d3e2,63e76997a244d5399beeb3c52348deb97800f42f01f492a41e129d965de54fdf,ec16409fa6ebe919038bfbef19b6debd77cf3fc28d9896bc3ea624b86b029370,dfb8c2575ea50af5eb30081cc5f68278e51d0c6934473a9567f1fdd51d5492bc,48cf990c1fd0f581c38f4e18005dd4aeb0ad6945f51c3d36f617ee0db40e7a01,debf0605bf3c15182026211ee734af7d62321f1ed6d3d284e3c1be6fe0d1d08a,d41b08f69ae773009f65f4c0094ef5436ba7f0f290a94172e5b894d09a41f7c3,59,2,"[175, 296]","[0.0, 25.0, 50.0, 100.0, 200.0, 300.0]",True,True,True,True,True,False,False
oneD_v2_dbtt_TP_bd5be1610f6e1bce,MOBILE_TRANSPORT_EXTREME,bd5be1610f6e1bcee0a101caa7d9c0f7277607899bc40d91fc7a048faae66d32,375aafa9d5994744b0f28d2b6e22990f589979543da4b0155ea3e9e21d1be7da,ca51dcc632ec9d96dcda209413dbf3b7a914ecb488433a281d6359ddf663c156,75bc5a555c5412dfb9c8337c0c0686a3fdc3e9f5a4774cfe4671664f61a40186,dce1cb89a72191696700e2065202b3836a3fb5985e232adfc21a4bcf4616953e,ukaiiaku-maker/PF-fracture-fatigue,f8f76435a3509553197e8d28a0e8b3cd2b9ca7ce,/private/tmp/oneD-v2-taylor-peierls-spatial-pf-runs/oneD_v2_DBTT_spatial_05_mobile_transport_extreme/T1100K_seed1008666,/private/tmp/oneD-v2-taylor-peierls-spatial-pf-runs/oneD_v2_DBTT_spatial_05_mobile_transport_extreme/T1100K_seed1008666/steps_1100K.csv,53eb704c205bbce2fde69489640d79e1f3c6163383048c13b18cdbaae9bac1fc,/private/tmp/oneD-v2-taylor-peierls-spatial-pf-runs/oneD_v2_DBTT_spatial_05_mobile_transport_extreme/T1100K_seed1008666/anisotropic_emission_audit_v10174.json,279e3384a117c8f31baf853d8226fbd57e23b664b0de21741bc6dc49544636aa,63e76997a244d5399beeb3c52348deb97800f42f01f492a41e129d965de54fdf,ec16409fa6ebe919038bfbef19b6debd77cf3fc28d9896bc3ea624b86b029370,91c9750566e44fda600fc8d4eb7d8c638fad258b187c8a9eee9c751998fbbde9,48cf990c1fd0f581c38f4e18005dd4aeb0ad6945f51c3d36f617ee0db40e7a01,debf0605bf3c15182026211ee734af7d62321f1ed6d3d284e3c1be6fe0d1d08a,d41b08f69ae773009f65f4c0094ef5436ba7f0f290a94172e5b894d09a41f7c3,59,2,"[175, 295]","[0.0, 25.0, 50.0, 100.0, 200.0, 300.0]",True,True,True,True,True,False,False
oneD_v2_dbtt_TP_9555ff54d637c974,BACKSTRESS_SHIELDING_EXTREME,9555ff54d637c974a9bf00097f876151bcda69b2376b23c0ca7a037b30410464,a8982d54c2043f2f6d85c4ebc1e79ee33cbfc9e8d76a61fe45b728aa22d8ac51,ca51dcc632ec9d96dcda209413dbf3b7a914ecb488433a281d6359ddf663c156,75bc5a555c5412dfb9c8337c0c0686a3fdc3e9f5a4774cfe4671664f61a40186,dce1cb89a72191696700e2065202b3836a3fb5985e232adfc21a4bcf4616953e,ukaiiaku-maker/PF-fracture-fatigue,f8f76435a3509553197e8d28a0e8b3cd2b9ca7ce,/private/tmp/oneD-v2-taylor-peierls-spatial-pf-runs/oneD_v2_DBTT_spatial_06_backstress_shielding_extreme/T1100K_seed1008666,/private/tmp/oneD-v2-taylor-peierls-spatial-pf-runs/oneD_v2_DBTT_spatial_06_backstress_shielding_extreme/T1100K_seed1008666/steps_1100K.csv,94e1ad8f29b7e46075669002f33174c76dbfb3b81cb7bc44aa308d7298fb2322,/private/tmp/oneD-v2-taylor-peierls-spatial-pf-runs/oneD_v2_DBTT_spatial_06_backstress_shielding_extreme/T1100K_seed1008666/anisotropic_emission_audit_v10174.json,b805ad511a165793a81820b742578eb143c5ce0b68c0d46c35abef84a746e821,63e76997a244d5399beeb3c52348deb97800f42f01f492a41e129d965de54fdf,ec16409fa6ebe919038bfbef19b6debd77cf3fc28d9896bc3ea624b86b029370,2ff41de439cd76209a2b96c8f4efb5615b678ec81487a3896f9bc1a109b48a13,48cf990c1fd0f581c38f4e18005dd4aeb0ad6945f51c3d36f617ee0db40e7a01,debf0605bf3c15182026211ee734af7d62321f1ed6d3d284e3c1be6fe0d1d08a,d41b08f69ae773009f65f4c0094ef5436ba7f0f290a94172e5b894d09a41f7c3,59,2,"[175, 293]","[0.0, 25.0, 50.0, 100.0, 200.0, 300.0]",True,True,True,True,True,False,False
oneD_v2_dbtt_TP_f2817e7998cb7be6,BALANCED_MAXIMIN_MEDOID,f2817e7998cb7be633abbc08641f80cff2fac5a94b0bab0899bc343006abe9ce,fd2fe8ce1ad5e68c923614af6dc3e5fe078d703ce85d0d94c88010e2776472d6,ca51dcc632ec9d96dcda209413dbf3b7a914ecb488433a281d6359ddf663c156,75bc5a555c5412dfb9c8337c0c0686a3fdc3e9f5a4774cfe4671664f61a40186,dce1cb89a72191696700e2065202b3836a3fb5985e232adfc21a4bcf4616953e,ukaiiaku-maker/PF-fracture-fatigue,f8f76435a3509553197e8d28a0e8b3cd2b9ca7ce,/private/tmp/oneD-v2-taylor-peierls-spatial-pf-runs/oneD_v2_DBTT_spatial_07_balanced_maximin_medoid/T1100K_seed1008666,/private/tmp/oneD-v2-taylor-peierls-spatial-pf-runs/oneD_v2_DBTT_spatial_07_balanced_maximin_medoid/T1100K_seed1008666/steps_1100K.csv,a31de896edb3769c68d26abec1174f7f24a1a3c01eb0536f928116783f9cf47f,/private/tmp/oneD-v2-taylor-peierls-spatial-pf-runs/oneD_v2_DBTT_spatial_07_balanced_maximin_medoid/T1100K_seed1008666/anisotropic_emission_audit_v10174.json,bc80ec2326e37039eff609b5434833b01476badfac9b7cfbf3d3688f78809201,63e76997a244d5399beeb3c52348deb97800f42f01f492a41e129d965de54fdf,ec16409fa6ebe919038bfbef19b6debd77cf3fc28d9896bc3ea624b86b029370,7d4d761d2d96d6febbc96745fab490c408de6791ab4da7f6a4ea6e2c35cbfb32,48cf990c1fd0f581c38f4e18005dd4aeb0ad6945f51c3d36f617ee0db40e7a01,debf0605bf3c15182026211ee734af7d62321f1ed6d3d284e3c1be6fe0d1d08a,d41b08f69ae773009f65f4c0094ef5436ba7f0f290a94172e5b894d09a41f7c3,59,2,"[175, 299]","[0.0, 25.0, 50.0, 100.0, 200.0, 300.0]",True,True,True,True,True,False,False
