candidate_id,original_1d_selection_role,pf_observed_microstructure_role,event_transaction_index,physical_avalanche_index,accepted_pre_step_index,accepted_event_step_index,physical_onset_boundary,projected_extension_before_um,projected_extension_after_um,moving_tip_translation_m,before_active_mobile,before_active_retained,before_wake_mobile,before_wake_retained,before_mobile_total,before_retained_total,before_all_total,after_active_mobile,after_active_retained,after_wake_mobile,after_wake_retained,after_mobile_total,after_retained_total,after_all_total,interval_emitted,interval_escaped,interval_recovered,inferred_wake_discard_or_unobserved_removal,state_conservation_residual,mobile_centroid_shift_tip_relative_m,mobile_width_change_m,retained_centroid_shift_tip_relative_m,retained_width_change_m,operator_active_mobile_after,operator_wake_mobile_after,operator_mobile_entering_wake,operator_mobile_discarded,operator_mobile_conservation_residual,operator_active_retained_after,operator_wake_retained_after,operator_retained_entering_wake,operator_retained_discarded,operator_retained_conservation_residual,onset_after_wake_0_10um_mobile,onset_after_wake_0_10um_retained,onset_after_wake_10_50um_mobile,onset_after_wake_10_50um_retained,onset_after_wake_50_100um_mobile,onset_after_wake_50_100um_retained,onset_after_wake_beyond_100um_mobile,onset_after_wake_beyond_100um_retained,onset_after_near_tip_0_2um_mobile,onset_after_near_tip_0_2um_retained,onset_after_ahead_0_10um_mobile,onset_after_ahead_0_10um_retained,onset_after_ahead_full_active_mobile,onset_after_ahead_full_active_retained,observer_bracket_semantics,outer_commit_state_reset
v913_zeroD_sobol_0202500,CONTROL,MOBILE_RICH_REFERENCE_AT_REINITIATION,0,0,174,175,True,0.0,2.931106565679095,2.931106565679095e-06,0.0,25307.74308312199,42694.96665997136,1498.5661510182244,42694.96665997136,26806.309234140215,69501.27589411158,0.0,25263.98741143706,42882.35511906216,1644.9795839367137,42882.35511906216,26908.966995373776,69791.32211443593,290.0462203444331,2.007277544180397e-08,0.0,1.4551915228366852e-11,0.0,-1.4649373539856122e-08,5.827649301425186e-09,-7.495610563418462e-09,4.677209777217474e-09,0.0,42694.96665997136,0.0,0.0,0.0,0.0,26806.309234140215,25307.74308312199,0.0,0.0,42882.332282448886,1644.9795839367134,0.02283661327785485,9.79512145091402e-15,9.560236892878269e-126,4.089201039026051e-138,0.0,0.0,0.0,22766.89788791555,0.0,25263.987411437065,0.0,25263.987411437065,PREVIOUS_ACCEPTED_ROW_TO_EVENT_CROSSING_ROW; INNER_MICROSTEP_PRECOMMIT_NOT_SERIALIZED,NONE_FOR_MPZ; FIRST_PASSAGE_ACTION_SUBTRACTS_ONE
v913_zeroD_sobol_0202500,CONTROL,MOBILE_RICH_REFERENCE_AT_REINITIATION,1,0,197,198,False,2.931106565679095,7.415929780049919,4.484823214370824e-06,0.0,25587.10135771659,106281.26634088485,12245.992937453815,106281.26634088485,37833.094295170406,144114.36063605527,0.0,25633.957347649688,106461.82697292478,12508.977045904106,106461.82697292478,38142.93439355379,144604.7613664786,490.4007304436818,2.0329707695054822e-08,0.0,0.0,0.0,-2.1390470783309672e-08,5.190587072843795e-09,-8.626559944636451e-09,5.2423681847270065e-09,0.0,106281.26634088485,0.0,0.0,0.0,0.0,37833.094295170406,25587.101357716594,1.8189894035458565e-12,-1.8189894035458565e-12,,,,,,,,,,,,,,,PREVIOUS_ACCEPTED_ROW_TO_EVENT_CROSSING_ROW; INNER_MICROSTEP_PRECOMMIT_NOT_SERIALIZED,NONE_FOR_MPZ; FIRST_PASSAGE_ACTION_SUBTRACTS_ONE
v913_zeroD_sobol_0202500,CONTROL,MOBILE_RICH_REFERENCE_AT_REINITIATION,2,0,211,212,False,7.415929780049919,10.475434902500647,3.059505122450728e-06,0.0,26230.053589953954,110185.03822185032,59208.09566276483,110185.03822185032,85438.14925271878,195623.1874745691,0.0,26405.785254478953,110351.52459202618,60535.73332756273,110351.52459202618,86941.51858204168,197293.04317406786,1669.85569954096,4.2219198803650215e-08,0.0,-2.9103830456733704e-11,0.0,-8.078331578170793e-08,1.377374445352243e-08,-3.800017228768361e-08,2.675934893576624e-08,0.0,110185.03822185034,0.0,0.0,-1.4551915228366852e-11,0.0,85438.14925271878,26230.053589953954,0.0,0.0,,,,,,,,,,,,,,,PREVIOUS_ACCEPTED_ROW_TO_EVENT_CROSSING_ROW; INNER_MICROSTEP_PRECOMMIT_NOT_SERIALIZED,NONE_FOR_MPZ; FIRST_PASSAGE_ACTION_SUBTRACTS_ONE
v913_zeroD_sobol_0202500,CONTROL,MOBILE_RICH_REFERENCE_AT_REINITIATION,3,0,220,221,False,10.475434902500647,17.738586165025698,7.263151262525049e-06,0.0,25796.711793665276,110537.0443854013,172943.2108904836,110537.0443854013,198739.92268414889,309276.9670695502,0.0,25030.110969740083,110554.63320841297,180308.3293219022,110554.63320841297,205338.44029164227,315893.07350005524,6616.106430607149,1.0210510481556412e-07,0.0,0.0,0.0,-4.4572173251786777e-07,3.596397395872041e-08,-2.4725634140803617e-07,1.1864801347602956e-07,0.0,110537.0443854013,0.0,0.0,0.0,0.0,198739.92268414889,25796.711793665276,0.0,3.637978807091713e-12,,,,,,,,,,,,,,,PREVIOUS_ACCEPTED_ROW_TO_EVENT_CROSSING_ROW; INNER_MICROSTEP_PRECOMMIT_NOT_SERIALIZED,NONE_FOR_MPZ; FIRST_PASSAGE_ACTION_SUBTRACTS_ONE
v913_zeroD_sobol_0202500,CONTROL,MOBILE_RICH_REFERENCE_AT_REINITIATION,4,0,230,231,False,17.738586165025698,28.2064547972602,1.0467868632234504e-05,8.557890396874582e-09,21562.175908579426,110555.17007652315,317671.44782196917,110555.17007653171,339233.6237305486,449788.7938070803,8.443521438293856e-09,21273.167565328826,110555.21038003245,325619.3576445446,110555.2103800409,346892.52520987345,457447.7355899144,7658.94178283395,1.1214716221646936e-18,0.0,-1.1641532182693481e-10,0.0,-5.757279403842408e-07,3.641693943688341e-08,-3.117212196705002e-07,1.6732947898212672e-07,8.557890396874582e-09,110555.17007652315,0.0,0.0,0.0,1.682080105358196e-06,339233.6237288665,21562.175906897344,0.0,3.637978807091713e-12,,,,,,,,,,,,,,,PREVIOUS_ACCEPTED_ROW_TO_EVENT_CROSSING_ROW; INNER_MICROSTEP_PRECOMMIT_NOT_SERIALIZED,NONE_FOR_MPZ; FIRST_PASSAGE_ACTION_SUBTRACTS_ONE
v913_zeroD_sobol_0202500,CONTROL,MOBILE_RICH_REFERENCE_AT_REINITIATION,5,0,240,241,False,28.2064547972602,33.059301215423474,4.8528464181632774e-06,9.509903976525808e-09,23959.239381552987,110555.57074749809,396504.84637899767,110555.5707475076,420464.08576055063,531019.6565080583,9.538780433327527e-09,24031.82994004827,110555.59390033402,400629.7274262372,110555.59390034356,424661.5573662855,535217.151266629,4197.494758570683,0.0,0.0,0.0,0.0,-2.6690322825456664e-07,1.5918117982358847e-08,-1.2637639960338372e-07,8.1669352009952e-08,9.509903976525808e-09,110555.57074749807,0.0,1.4551915228366852e-11,0.0,2.734038033549859e-06,420464.08575781673,23959.23937881895,0.0,-1.1641532182693481e-10,,,,,,,,,,,,,,,PREVIOUS_ACCEPTED_ROW_TO_EVENT_CROSSING_ROW; INNER_MICROSTEP_PRECOMMIT_NOT_SERIALIZED,NONE_FOR_MPZ; FIRST_PASSAGE_ACTION_SUBTRACTS_ONE
v913_zeroD_sobol_0202500,CONTROL,MOBILE_RICH_REFERENCE_AT_REINITIATION,6,0,241,242,False,33.059301215423474,35.35664131104838,2.2973400956249022e-06,9.538780433327527e-09,24031.82994004827,110555.59390033402,400629.7274262372,110555.59390034356,424661.5573662855,535217.151266629,9.89916770892868e-09,24939.55710519998,110555.62078055032,437254.44195885025,110555.62078056022,462193.9990640502,572749.6198446105,37532.46857798216,0.0,0.0,6.984919309616089e-10,0.0,-2.2973360675984954e-06,1.4573237341464608e-07,-1.0537542761939872e-06,7.125998319159074e-07,9.538780433327527e-09,110555.593900334,0.0,1.4551915228366852e-11,0.0,773.030513794996,423888.52685249044,23258.79942625327,3.637978807091713e-12,2.9103830456733704e-11,,,,,,,,,,,,,,,PREVIOUS_ACCEPTED_ROW_TO_EVENT_CROSSING_ROW; INNER_MICROSTEP_PRECOMMIT_NOT_SERIALIZED,NONE_FOR_MPZ; FIRST_PASSAGE_ACTION_SUBTRACTS_ONE
v913_zeroD_sobol_0202500,CONTROL,MOBILE_RICH_REFERENCE_AT_REINITIATION,7,0,251,252,False,35.35664131104838,40.602872086987624,5.246230775939242e-06,1.0180883693109263e-08,25651.307701876576,110556.13723981542,520105.2142951747,110556.1372398256,545756.5219970513,656312.6592368769,1.048351805514085e-08,26413.173917756743,110556.17005312722,524920.3255308587,110556.1700531377,551333.4994486155,661889.6695017532,5577.010264876299,0.0,0.0,0.0,0.0,-2.885367677749978e-07,1.5512052975820274e-08,-1.09889453761825e-07,9.615409903074864e-08,1.0180883693109263e-08,110556.1372398154,0.0,1.4551915228366852e-11,0.0,3.4460996499231476e-06,545756.5219936051,25651.307698430475,5.820766091346741e-11,1.8189894035458565e-11,,,,,,,,,,,,,,,PREVIOUS_ACCEPTED_ROW_TO_EVENT_CROSSING_ROW; INNER_MICROSTEP_PRECOMMIT_NOT_SERIALIZED,NONE_FOR_MPZ; FIRST_PASSAGE_ACTION_SUBTRACTS_ONE
v913_zeroD_sobol_0202500,CONTROL,MOBILE_RICH_REFERENCE_AT_REINITIATION,8,0,261,262,False,40.602872086987624,45.534666691946185,4.931794604958564e-06,9.909399524841643e-09,24967.741979702347,110556.74073828204,600199.3110088513,110556.74073829195,625167.0529885537,735723.7937268456,9.942596081458469e-09,25050.157056925986,110556.77630017255,604568.742708435,110556.7763001825,629618.899765361,740175.6760655436,4451.882338697906,0.0,0.0,0.0,0.0,-2.71241457406835e-07,1.3977700461163903e-08,-1.2943382201122748e-07,7.800797278860085e-08,9.909399524841645e-09,110556.74073828207,0.0,0.0,-2.9103830456733704e-11,3.670490109026285e-06,625167.0529848831,24967.74197603186,0.0,5.820766091346741e-11,,,,,,,,,,,,,,,PREVIOUS_ACCEPTED_ROW_TO_EVENT_CROSSING_ROW; INNER_MICROSTEP_PRECOMMIT_NOT_SERIALIZED,NONE_FOR_MPZ; FIRST_PASSAGE_ACTION_SUBTRACTS_ONE
v913_zeroD_sobol_0202500,CONTROL,MOBILE_RICH_REFERENCE_AT_REINITIATION,9,0,262,263,False,45.534666691946185,47.83200678757109,2.2973400956249022e-06,9.942596081458469e-09,25050.157056925986,110556.77630017255,604568.742708435,110556.7763001825,629618.899765361,740175.6760655436,1.0025132725441921e-08,25260.0636934036,110556.79115767876,641701.9602900231,110556.79115768879,666962.0239834267,777518.8151411156,37343.13907557295,0.0,0.0,9.313225746154785e-10,0.0,-2.297336978683383e-06,1.2670201572153167e-07,-1.1115246646327268e-06,6.557600098566347e-07,9.942596081458466e-09,110556.77630017255,0.0,3.308722450212111e-24,-3.308722450212111e-24,805.8483896715949,628813.0513756895,24244.308667254394,0.0,-1.0913936421275139e-10,,,,,,,,,,,,,,,PREVIOUS_ACCEPTED_ROW_TO_EVENT_CROSSING_ROW; INNER_MICROSTEP_PRECOMMIT_NOT_SERIALIZED,NONE_FOR_MPZ; FIRST_PASSAGE_ACTION_SUBTRACTS_ONE
v913_zeroD_sobol_0202500,CONTROL,MOBILE_RICH_REFERENCE_AT_REINITIATION,10,0,264,265,False,47.83200678757109,50.12934688319599,2.2973400956249022e-06,7.781068235528728e-09,19604.42372831094,110556.8463115193,670617.6752122375,110556.84631152709,690222.0989405485,800778.9452520756,7.85666998260293e-09,19795.074885907736,110556.84938912267,672123.1076215461,110556.84938913053,691918.1825074538,802475.0318965844,1696.086644508876,0.0,0.0,0.0,0.0,-1.1888257499082053e-07,6.3831398295107866e-09,-6.34366973651175e-08,3.27599063757946e-08,1.99289542164025e-09,110556.84631152509,5.788172813888479e-09,0.0,3.4894470015279606e-12,632.7522421029078,689589.3466984457,18971.671486208033,0.0,-1.673470251262188e-10,,,,,,,,,,,,,,,PREVIOUS_ACCEPTED_ROW_TO_EVENT_CROSSING_ROW; INNER_MICROSTEP_PRECOMMIT_NOT_SERIALIZED,NONE_FOR_MPZ; FIRST_PASSAGE_ACTION_SUBTRACTS_ONE
