candidate_id,parameter,value,is_taylor_peierls_coordinate,coordinate_type
v913_zeroD_sobol_0202500,Tref_K,481.33,False,MATERIAL_COORDINATE
v913_zeroD_sobol_0202500,c_blunt,2.929164256900549,False,MATERIAL_COORDINATE
v913_zeroD_sobol_0202500,cleave_G00_eV,2.357721022795886,False,MATERIAL_COORDINATE
v913_zeroD_sobol_0202500,cleave_exp_a,0.4968366474844515,False,MATERIAL_COORDINATE
v913_zeroD_sobol_0202500,cleave_exp_n,2.618804107885808,False,MATERIAL_COORDINATE
v913_zeroD_sobol_0202500,cleave_floor_frac,0.026239358201278,False,MATERIAL_COORDINATE
v913_zeroD_sobol_0202500,cleave_gT_eV_per_K,0.0056085130451247,False,MATERIAL_COORDINATE
v913_zeroD_sobol_0202500,cleave_sT_GPa_per_K,-0.0012041387008503,False,MATERIAL_COORDINATE
v913_zeroD_sobol_0202500,cleave_sigc0_GPa,6.7501407796517015,False,MATERIAL_COORDINATE
v913_zeroD_sobol_0202500,emit_G00_eV,3.344896922819316,False,MATERIAL_COORDINATE
v913_zeroD_sobol_0202500,emit_exp_a,0.1572539726179093,False,MATERIAL_COORDINATE
v913_zeroD_sobol_0202500,emit_exp_n,0.5156166724395007,False,MATERIAL_COORDINATE
v913_zeroD_sobol_0202500,emit_floor_frac,0.0103682254353579,False,MATERIAL_COORDINATE
v913_zeroD_sobol_0202500,emit_gT_eV_per_K,0.0061668124636635,False,MATERIAL_COORDINATE
v913_zeroD_sobol_0202500,emit_sT_GPa_per_K,-0.0052233074344694,False,MATERIAL_COORDINATE
v913_zeroD_sobol_0202500,emit_sigc0_GPa,2.7143102660775185,False,MATERIAL_COORDINATE
v913_zeroD_sobol_0202500,encounter_efficiency,9.160246308716648,False,MATERIAL_COORDINATE
v913_zeroD_sobol_0202500,explicit_recovery_active,0.0,False,MATERIAL_COORDINATE
v913_zeroD_sobol_0202500,legacy_source_refresh_active,0.0,False,MATERIAL_COORDINATE
