experiment,geometry_owner_candidate_id,geometry_onset_role,fixed_state_owner,fixed_external_opening_m,native_K_per_opening_Pa_sqrt_m_per_m,native_K_Pa_sqrt_m,extension_m,radius_m,front_width_m,shielding_Pa_sqrt_m,backstress_mean_Pa,accepted_snapshot_recomputed_backstress_mean_Pa,multiplicity_per_system,opening_stress_Pa,cleavage_stress_Pa,cleavage_barrier_eV,cleavage_raw_rate_s,cleavage_effective_rate_s,emission_stress_by_system_Pa_json,emission_barrier_by_system_eV_json,emission_rate_by_system_s_json,aggregate_emission_rate_s,log10_cleavage_to_emission,peierls_rate_max_s,encounter_rate_max_s,taylor_completion_rate_max_s,state_support,diagnostic_semantics
GEOMETRY_SWAP_AT_FIXED_CONTROL_INITIAL_STATE,v913_zeroD_sobol_0202500,INITIAL_ONSET_PRE_EVENT,v913_zeroD_sobol_0202500,3.268388493821179e-05,1698380881764.658,55509685.32085477,2.931106565679095e-06,7.634485073185825e-06,1.5055173032887342e-07,-3726714.0839830237,7981595613.481319,8014502317.848213,1505.547319142136,8014731099.78986,8552810375.438395,1.7716675593462203,7636.57498742289,0.07380022653660147,"[32950866.199951172, 32862635.33411312]","[0.07423772575569687, 0.07423772575569687]","[45695265852.441086, 45695265852.441086]",137592770003259.75,-15.270537918980642,550156630759.7334,2519785123066.418,1.0,full_active,COUNTERFACTUAL_DIAGNOSTIC_NOT_PRODUCTION_PHYSICS
GEOMETRY_SWAP_AT_FIXED_CONTROL_INITIAL_STATE,v913_zeroD_sobol_0202500,REINITIATION_ONSET_PRE_EVENT,v913_zeroD_sobol_0202500,3.268388493821179e-05,1331474876538.4072,43517771.66290105,5.2426686978820885e-05,7.634485073185825e-06,1.5055173032887342e-07,-3216384.349221174,7981595613.481319,8014502317.848213,1505.547319142136,6283286167.525264,6747681804.495223,3.044443688186977,0.011259690864155618,2.3791846389963325e-19,"[0.0, 0.0]","[7.160118789714014, 7.160118789714014]","[1.5670446861826083e-22, 1.5670446861826083e-22]",4.718519852516312e-19,-0.2973776394205869,9.338833968041705e-14,4.277300969173584e-13,1.0,full_active,COUNTERFACTUAL_DIAGNOSTIC_NOT_PRODUCTION_PHYSICS
GEOMETRY_SWAP_AT_FIXED_CONTROL_INITIAL_STATE,oneD_v2_dbtt_TP_f07fe99faea93479,INITIAL_ONSET_PRE_EVENT,v913_zeroD_sobol_0202500,3.268388493821179e-05,1698380881764.6584,55509685.32085478,2.931106565679095e-06,7.634485073185825e-06,1.5055173032887342e-07,-3726714.0839830237,7981595613.481319,8014502317.848213,1505.547319142136,8014731099.789862,8552810375.438396,1.7716675593462186,7636.574987423052,0.07380022653660619,"[32950866.19995308, 32862635.33411503]","[0.07423772575569687, 0.07423772575569687]","[45695265852.441086, 45695265852.441086]",137592770003259.75,-15.270537918980615,550156630759.7334,2519785123066.418,1.0,full_active,COUNTERFACTUAL_DIAGNOSTIC_NOT_PRODUCTION_PHYSICS
GEOMETRY_SWAP_AT_FIXED_CONTROL_INITIAL_STATE,oneD_v2_dbtt_TP_f07fe99faea93479,REINITIATION_ONSET_PRE_EVENT,v913_zeroD_sobol_0202500,3.268388493821179e-05,1331474876538.4075,43517771.66290106,5.2426686978820885e-05,7.634485073185825e-06,1.5055173032887342e-07,-3216384.349221174,7981595613.481319,8014502317.848213,1505.547319142136,6283286167.525265,6747681804.495224,3.044443688186977,0.011259690864155618,2.3791846389963325e-19,"[0.0, 0.0]","[7.160118789714014, 7.160118789714014]","[1.5670446861826083e-22, 1.5670446861826083e-22]",4.718519852516312e-19,-0.2973776394205869,9.338833968041705e-14,4.277300969173584e-13,1.0,full_active,COUNTERFACTUAL_DIAGNOSTIC_NOT_PRODUCTION_PHYSICS
GEOMETRY_SWAP_AT_FIXED_CONTROL_INITIAL_STATE,oneD_v2_dbtt_TP_4895f9e5b44deea5,INITIAL_ONSET_PRE_EVENT,v913_zeroD_sobol_0202500,3.268388493821179e-05,1698380881764.659,55509685.3208548,2.931106565679095e-06,7.634485073185825e-06,1.5055173032887342e-07,-3726714.0839830237,7981595613.481319,8014502317.848213,1505.547319142136,8014731099.789864,8552810375.438399,1.771667559346217,7636.5749874231615,0.07380022653660932,"[32950866.199954987, 32862635.334116936]","[0.07423772575569687, 0.07423772575569687]","[45695265852.441086, 45695265852.441086]",137592770003259.75,-15.270537918980596,550156630759.7334,2519785123066.418,1.0,full_active,COUNTERFACTUAL_DIAGNOSTIC_NOT_PRODUCTION_PHYSICS
GEOMETRY_SWAP_AT_FIXED_CONTROL_INITIAL_STATE,oneD_v2_dbtt_TP_4895f9e5b44deea5,REINITIATION_ONSET_PRE_EVENT,v913_zeroD_sobol_0202500,3.268388493821179e-05,1331474876538.4075,43517771.66290106,5.2426686978820885e-05,7.634485073185825e-06,1.5055173032887342e-07,-3216384.349221174,7981595613.481319,8014502317.848213,1505.547319142136,6283286167.525265,6747681804.495224,3.044443688186977,0.011259690864155618,2.3791846389963325e-19,"[0.0, 0.0]","[7.160118789714014, 7.160118789714014]","[1.5670446861826083e-22, 1.5670446861826083e-22]",4.718519852516312e-19,-0.2973776394205869,9.338833968041705e-14,4.277300969173584e-13,1.0,full_active,COUNTERFACTUAL_DIAGNOSTIC_NOT_PRODUCTION_PHYSICS
GEOMETRY_SWAP_AT_FIXED_CONTROL_INITIAL_STATE,oneD_v2_dbtt_TP_7e668ee637fc3ac5,INITIAL_ONSET_PRE_EVENT,v913_zeroD_sobol_0202500,3.268388493821179e-05,1698380881764.6575,55509685.32085475,2.931106565679095e-06,7.634485073185825e-06,1.5055173032887342e-07,-3726714.0839830237,7981595613.481319,8014502317.848213,1505.547319142136,8014731099.789858,8552810375.438393,1.771667559346221,7636.574987422836,0.07380022653659989,"[32950866.199949265, 32862635.334111214]","[0.07423772575569687, 0.07423772575569687]","[45695265852.441086, 45695265852.441086]",137592770003259.75,-15.270537918980652,550156630759.7334,2519785123066.418,1.0,full_active,COUNTERFACTUAL_DIAGNOSTIC_NOT_PRODUCTION_PHYSICS
GEOMETRY_SWAP_AT_FIXED_CONTROL_INITIAL_STATE,oneD_v2_dbtt_TP_7e668ee637fc3ac5,REINITIATION_ONSET_PRE_EVENT,v913_zeroD_sobol_0202500,3.268388493821179e-05,1331474876538.4072,43517771.66290105,5.2426686978820885e-05,7.634485073185825e-06,1.5055173032887342e-07,-3216384.349221174,7981595613.481319,8014502317.848213,1505.547319142136,6283286167.525264,6747681804.495223,3.044443688186977,0.011259690864155618,2.3791846389963325e-19,"[0.0, 0.0]","[7.160118789714014, 7.160118789714014]","[1.5670446861826083e-22, 1.5670446861826083e-22]",4.718519852516312e-19,-0.2973776394205869,9.338833968041705e-14,4.277300969173584e-13,1.0,full_active,COUNTERFACTUAL_DIAGNOSTIC_NOT_PRODUCTION_PHYSICS
GEOMETRY_SWAP_AT_FIXED_CONTROL_INITIAL_STATE,oneD_v2_dbtt_TP_b60d78111740b058,INITIAL_ONSET_PRE_EVENT,v913_zeroD_sobol_0202500,3.268388493821179e-05,1698380881764.6582,55509685.320854776,2.931106565679095e-06,7.634485073185825e-06,1.5055173032887342e-07,-3726714.0839830237,7981595613.481319,8014502317.848213,1505.547319142136,8014731099.789861,8552810375.4383955,1.7716675593462194,7636.574987422971,0.07380022653660381,"[32950866.199952126, 32862635.334114075]","[0.07423772575569687, 0.07423772575569687]","[45695265852.441086, 45695265852.441086]",137592770003259.75,-15.27053791898063,550156630759.7334,2519785123066.418,1.0,full_active,COUNTERFACTUAL_DIAGNOSTIC_NOT_PRODUCTION_PHYSICS
GEOMETRY_SWAP_AT_FIXED_CONTROL_INITIAL_STATE,oneD_v2_dbtt_TP_b60d78111740b058,REINITIATION_ONSET_PRE_EVENT,v913_zeroD_sobol_0202500,3.268388493821179e-05,1331474876538.407,43517771.662901044,5.2426686978820885e-05,7.634485073185825e-06,1.5055173032887342e-07,-3216384.349221174,7981595613.481319,8014502317.848213,1505.547319142136,6283286167.525263,6747681804.495221,3.044443688186979,0.011259690864155378,2.3791846389961803e-19,"[0.0, 0.0]","[7.160118789714014, 7.160118789714014]","[1.5670446861826083e-22, 1.5670446861826083e-22]",4.718519852516312e-19,-0.29737763942061474,9.338833968041705e-14,4.277300969173584e-13,1.0,full_active,COUNTERFACTUAL_DIAGNOSTIC_NOT_PRODUCTION_PHYSICS
