candidate_id,original_1d_selection_role,channel,temperature_K,effective_stress_Pa,effective_barrier_eV,rate_s,observed_stress_min_Pa,observed_stress_max_Pa,stress_free_barrier_eV
v913_zeroD_sobol_0202500,CONTROL,PEIERLS,1100.0,0.0,5.463073386917381,9.338833968041705e-14,0.0,64013903.032715835,5.463073386917381
v913_zeroD_sobol_0202500,CONTROL,PEIERLS,1100.0,400086.89395447396,0.056642376445463626,550156630759.7334,0.0,64013903.032715835,5.463073386917381
v913_zeroD_sobol_0202500,CONTROL,PEIERLS,1100.0,800173.7879089479,0.056642376445463626,550156630759.7334,0.0,64013903.032715835,5.463073386917381
v913_zeroD_sobol_0202500,CONTROL,PEIERLS,1100.0,1200260.6818634218,0.056642376445463626,550156630759.7334,0.0,64013903.032715835,5.463073386917381
v913_zeroD_sobol_0202500,CONTROL,PEIERLS,1100.0,1600347.5758178958,0.056642376445463626,550156630759.7334,0.0,64013903.032715835,5.463073386917381
v913_zeroD_sobol_0202500,CONTROL,PEIERLS,1100.0,2000434.4697723698,0.056642376445463626,550156630759.7334,0.0,64013903.032715835,5.463073386917381
v913_zeroD_sobol_0202500,CONTROL,PEIERLS,1100.0,2400521.3637268436,0.056642376445463626,550156630759.7334,0.0,64013903.032715835,5.463073386917381
v913_zeroD_sobol_0202500,CONTROL,PEIERLS,1100.0,2800608.2576813176,0.056642376445463626,550156630759.7334,0.0,64013903.032715835,5.463073386917381
v913_zeroD_sobol_0202500,CONTROL,PEIERLS,1100.0,3200695.1516357916,0.056642376445463626,550156630759.7334,0.0,64013903.032715835,5.463073386917381
v913_zeroD_sobol_0202500,CONTROL,PEIERLS,1100.0,3600782.0455902657,0.056642376445463626,550156630759.7334,0.0,64013903.032715835,5.463073386917381
v913_zeroD_sobol_0202500,CONTROL,PEIERLS,1100.0,4000868.9395447397,0.056642376445463626,550156630759.7334,0.0,64013903.032715835,5.463073386917381
v913_zeroD_sobol_0202500,CONTROL,PEIERLS,1100.0,4400955.833499214,0.056642376445463626,550156630759.7334,0.0,64013903.032715835,5.463073386917381
v913_zeroD_sobol_0202500,CONTROL,PEIERLS,1100.0,4801042.727453687,0.056642376445463626,550156630759.7334,0.0,64013903.032715835,5.463073386917381
v913_zeroD_sobol_0202500,CONTROL,PEIERLS,1100.0,5201129.621408162,0.056642376445463626,550156630759.7334,0.0,64013903.032715835,5.463073386917381
v913_zeroD_sobol_0202500,CONTROL,PEIERLS,1100.0,5601216.515362635,0.056642376445463626,550156630759.7334,0.0,64013903.032715835,5.463073386917381
v913_zeroD_sobol_0202500,CONTROL,PEIERLS,1100.0,6001303.40931711,0.056642376445463626,550156630759.7334,0.0,64013903.032715835,5.463073386917381
v913_zeroD_sobol_0202500,CONTROL,PEIERLS,1100.0,6401390.303271583,0.056642376445463626,550156630759.7334,0.0,64013903.032715835,5.463073386917381
v913_zeroD_sobol_0202500,CONTROL,PEIERLS,1100.0,6801477.197226057,0.056642376445463626,550156630759.7334,0.0,64013903.032715835,5.463073386917381
v913_zeroD_sobol_0202500,CONTROL,PEIERLS,1100.0,7201564.091180531,0.056642376445463626,550156630759.7334,0.0,64013903.032715835,5.463073386917381
v913_zeroD_sobol_0202500,CONTROL,PEIERLS,1100.0,7601650.985135005,0.056642376445463626,550156630759.7334,0.0,64013903.032715835,5.463073386917381
v913_zeroD_sobol_0202500,CONTROL,PEIERLS,1100.0,8001737.879089479,0.056642376445463626,550156630759.7334,0.0,64013903.032715835,5.463073386917381
v913_zeroD_sobol_0202500,CONTROL,PEIERLS,1100.0,8401824.773043953,0.056642376445463626,550156630759.7334,0.0,64013903.032715835,5.463073386917381
v913_zeroD_sobol_0202500,CONTROL,PEIERLS,1100.0,8801911.666998427,0.056642376445463626,550156630759.7334,0.0,64013903.032715835,5.463073386917381
v913_zeroD_sobol_0202500,CONTROL,PEIERLS,1100.0,9201998.560952902,0.056642376445463626,550156630759.7334,0.0,64013903.032715835,5.463073386917381
v913_zeroD_sobol_0202500,CONTROL,PEIERLS,1100.0,9602085.454907374,0.056642376445463626,550156630759.7334,0.0,64013903.032715835,5.463073386917381
v913_zeroD_sobol_0202500,CONTROL,PEIERLS,1100.0,10002172.348861849,0.056642376445463626,550156630759.7334,0.0,64013903.032715835,5.463073386917381
v913_zeroD_sobol_0202500,CONTROL,PEIERLS,1100.0,10402259.242816323,0.056642376445463626,550156630759.7334,0.0,64013903.032715835,5.463073386917381
