implementation,material_class,candidate_id,temperature_K,physical_avalanche_index,first_event_transaction_index,last_event_transaction_index,event_transaction_count,start_extension_um,end_extension_um,extension_um,onset_native_drive_MPa_sqrt_m,classification,grouping_method,grouping_log_gap_decades,right_censored_at_target
AUTONOMOUS_V913_ONE_D_DRIVER,ceramic-like,v913_zeroD_sobol_0077080,900.0,2,2,2,1,8.269426255548096,10.566766351172998,2.297340095624902,12.196951680445277,RELOAD_SEPARATED_PRECURSOR_EVENT,largest log-gap in positive source-defined external-displacement increments,1.2844286661125999,False
AUTONOMOUS_V913_ONE_D_DRIVER,ceramic-like,v913_zeroD_sobol_0077080,900.0,3,3,4,2,10.566766351172998,18.914682684690003,8.347916333517006,12.220672569544975,RELOAD_SEPARATED_AVALANCHE,largest log-gap in positive source-defined external-displacement increments,1.2844286661125999,False
AUTONOMOUS_V913_ONE_D_DRIVER,ceramic-like,v913_zeroD_sobol_0077080,900.0,4,5,13,9,18.914682684690003,47.46639350570406,28.55171082101406,11.843581074216324,RELOAD_SEPARATED_AVALANCHE,largest log-gap in positive source-defined external-displacement increments,1.2844286661125999,False
AUTONOMOUS_V913_ONE_D_DRIVER,ceramic-like,v913_zeroD_sobol_0077080,900.0,5,14,21,8,47.46639350570406,107.77927431065764,60.31288080495358,11.966634616523239,RIGHT_CENSORED_LONG_AVALANCHE,largest log-gap in positive source-defined external-displacement increments,1.2844286661125999,True
AUTONOMOUS_V913_ONE_D_DRIVER,weak-T,v913_zeroD_sobol_0129902,1100.0,0,0,0,1,0.0,2.4335696912706477,2.4335696912706477,13.345479504002892,RELOAD_SEPARATED_PRECURSOR_EVENT,largest log-gap in positive source-defined external-displacement increments,4.549661070707219,False
AUTONOMOUS_V913_ONE_D_DRIVER,weak-T,v913_zeroD_sobol_0129902,1100.0,1,1,1,1,2.4335696912706477,8.269426255548096,5.835856564277448,13.6696844409269,RELOAD_SEPARATED_PRECURSOR_EVENT,largest log-gap in positive source-defined external-displacement increments,4.549661070707219,False
AUTONOMOUS_V913_ONE_D_DRIVER,weak-T,v913_zeroD_sobol_0129902,1100.0,2,2,2,1,8.269426255548096,10.566766351172998,2.297340095624902,14.747787642640104,RELOAD_SEPARATED_PRECURSOR_EVENT,largest log-gap in positive source-defined external-displacement increments,4.549661070707219,False
AUTONOMOUS_V913_ONE_D_DRIVER,weak-T,v913_zeroD_sobol_0129902,1100.0,3,3,3,1,10.566766351172998,14.803139908890111,4.236373557717114,14.88546422941031,RELOAD_SEPARATED_PRECURSOR_EVENT,largest log-gap in positive source-defined external-displacement increments,4.549661070707219,False
AUTONOMOUS_V913_ONE_D_DRIVER,weak-T,v913_zeroD_sobol_0129902,1100.0,4,4,4,1,14.803139908890111,18.914682684690003,4.111542775799892,16.345606520829847,RELOAD_SEPARATED_PRECURSOR_EVENT,largest log-gap in positive source-defined external-displacement increments,4.549661070707219,False
AUTONOMOUS_V913_ONE_D_DRIVER,weak-T,v913_zeroD_sobol_0129902,1100.0,5,5,21,17,18.914682684690003,107.77927431065764,88.86459162596763,16.65065892414594,RIGHT_CENSORED_LONG_AVALANCHE,largest log-gap in positive source-defined external-displacement increments,4.549661070707219,True
