material_class,option_key,candidate_id,active_parameter_fingerprint,registry_full_precision_equal,persistent_sites,finite_source_inventory,depletion_on_emission,refresh_on_crack_advance,explicit_recovery,dynamic_tip_radius,dynamic_front_width,closure_status
Peak,v913_paper_peak01_0242980_persistent_sites,v913_zeroD_sobol_0242980,81db2cbf8c2c8a6fa02e23ce65abdc8422171eff046cb409d4d1a525bec2b826,True,True,False,False,False,False,True,True,PASS
DBTT,v913_paper_dbtt01_0202500_persistent_sites,v913_zeroD_sobol_0202500,32989bc4cba81a5d2d9ee4c84f46fb0494773b172b383ef80c5fa907dbfd7b21,True,True,False,False,False,False,True,True,PASS
weak-T,v913_paper_weakT01_0129902_persistent_sites,v913_zeroD_sobol_0129902,2d12d1b47cade7cb2486bb76d8f953aae5895499195f5558d645686783d9c432,True,True,False,False,False,False,True,True,PASS
ceramic-like,v913_paper_ceramic01_0077080_persistent_sites,v913_zeroD_sobol_0077080,98b20b4cba7d5d23d33efe16c551839480346557abb7e2f83a355fff6ff068e2,True,True,False,False,False,False,True,True,PASS
