implementation,material_class,candidate_id,temperature_K,event_transaction_index,physical_avalanche_index,onset_role,pre_event_extension_um,pre_event_displacement_m,onset_native_drive_kind,onset_native_drive_MPa_sqrt_m,is_structural_G,right_censored_avalanche_after_onset
AUTONOMOUS_V913_ONE_D_DRIVER,ceramic-like,v913_zeroD_sobol_0077080,900.0,14,5,REINITIATION_ONSET_PRE_EVENT,47.46639350570406,6.723515505428148e-06,MODEL_NATIVE_EVENT_INDEXED_K,11.966634616523239,False,True
AUTONOMOUS_V913_ONE_D_DRIVER,weak-T,v913_zeroD_sobol_0129902,1100.0,0,0,INITIAL_ONSET_PRE_EVENT,0.0,7.857765974224005e-06,MODEL_NATIVE_EVENT_INDEXED_K,13.345479504002892,False,False
AUTONOMOUS_V913_ONE_D_DRIVER,weak-T,v913_zeroD_sobol_0129902,1100.0,1,1,REINITIATION_ONSET_PRE_EVENT,2.4335696912706477,7.933773911741748e-06,MODEL_NATIVE_EVENT_INDEXED_K,13.6696844409269,False,False
AUTONOMOUS_V913_ONE_D_DRIVER,weak-T,v913_zeroD_sobol_0129902,1100.0,2,2,REINITIATION_ONSET_PRE_EVENT,8.269426255548096,8.120625128180862e-06,MODEL_NATIVE_EVENT_INDEXED_K,14.747787642640104,False,False
AUTONOMOUS_V913_ONE_D_DRIVER,weak-T,v913_zeroD_sobol_0129902,1100.0,3,3,REINITIATION_ONSET_PRE_EVENT,10.566766351172998,8.180951264901983e-06,MODEL_NATIVE_EVENT_INDEXED_K,14.88546422941031,False,False
AUTONOMOUS_V913_ONE_D_DRIVER,weak-T,v913_zeroD_sobol_0129902,1100.0,4,4,REINITIATION_ONSET_PRE_EVENT,14.803139908890111,8.502252636216184e-06,MODEL_NATIVE_EVENT_INDEXED_K,16.345606520829847,False,False
AUTONOMOUS_V913_ONE_D_DRIVER,weak-T,v913_zeroD_sobol_0129902,1100.0,5,5,REINITIATION_ONSET_PRE_EVENT,18.914682684690003,9.45059537353812e-06,MODEL_NATIVE_EVENT_INDEXED_K,16.65065892414594,False,True
AUTONOMOUS_V913_ONE_D_DRIVER,weak-T,v913_zeroD_sobol_0129902,1200.0,0,0,INITIAL_ONSET_PRE_EVENT,0.0,7.831043545756453e-06,MODEL_NATIVE_EVENT_INDEXED_K,13.300094642379278,False,False
AUTONOMOUS_V913_ONE_D_DRIVER,weak-T,v913_zeroD_sobol_0129902,1200.0,1,1,REINITIATION_ONSET_PRE_EVENT,2.4335696912706477,7.907214563542808e-06,MODEL_NATIVE_EVENT_INDEXED_K,13.623923380317537,False,False
AUTONOMOUS_V913_ONE_D_DRIVER,weak-T,v913_zeroD_sobol_0129902,1200.0,2,2,REINITIATION_ONSET_PRE_EVENT,8.269426255548096,8.0962421911864e-06,MODEL_NATIVE_EVENT_INDEXED_K,14.703506029928995,False,False
AUTONOMOUS_V913_ONE_D_DRIVER,weak-T,v913_zeroD_sobol_0129902,1200.0,3,3,REINITIATION_ONSET_PRE_EVENT,10.566766351172998,8.156875548928085e-06,MODEL_NATIVE_EVENT_INDEXED_K,14.841657806743497,False,False
AUTONOMOUS_V913_ONE_D_DRIVER,weak-T,v913_zeroD_sobol_0129902,1200.0,4,4,REINITIATION_ONSET_PRE_EVENT,14.803139908890111,8.47620948835995e-06,MODEL_NATIVE_EVENT_INDEXED_K,16.295538489963707,False,False
AUTONOMOUS_V913_ONE_D_DRIVER,weak-T,v913_zeroD_sobol_0129902,1200.0,5,5,REINITIATION_ONSET_PRE_EVENT,18.914682684690003,9.421062435927117e-06,MODEL_NATIVE_EVENT_INDEXED_K,16.598625919689333,False,True
AUTONOMOUS_V913_ONE_D_DRIVER,weak-T,v913_zeroD_sobol_0129902,300.0,0,0,INITIAL_ONSET_PRE_EVENT,0.0,7.655904491422165e-06,MODEL_NATIVE_EVENT_INDEXED_K,13.002641820847582,False,False
AUTONOMOUS_V913_ONE_D_DRIVER,weak-T,v913_zeroD_sobol_0129902,300.0,1,1,REINITIATION_ONSET_PRE_EVENT,2.4335696912706477,7.72203100940511e-06,MODEL_NATIVE_EVENT_INDEXED_K,13.304856971711509,False,False
AUTONOMOUS_V913_ONE_D_DRIVER,weak-T,v913_zeroD_sobol_0129902,300.0,2,2,REINITIATION_ONSET_PRE_EVENT,8.269426255548096,7.756077821303326e-06,MODEL_NATIVE_EVENT_INDEXED_K,14.085736854349298,False,False
AUTONOMOUS_V913_ONE_D_DRIVER,weak-T,v913_zeroD_sobol_0129902,300.0,3,3,REINITIATION_ONSET_PRE_EVENT,10.566766351172998,7.786456986060753e-06,MODEL_NATIVE_EVENT_INDEXED_K,14.167671116329284,False,False
AUTONOMOUS_V913_ONE_D_DRIVER,weak-T,v913_zeroD_sobol_0129902,300.0,4,4,REINITIATION_ONSET_PRE_EVENT,14.803139908890111,7.942475956533998e-06,MODEL_NATIVE_EVENT_INDEXED_K,15.269434153680137,False,False
AUTONOMOUS_V913_ONE_D_DRIVER,weak-T,v913_zeroD_sobol_0129902,300.0,5,5,REINITIATION_ONSET_PRE_EVENT,18.914682684690003,8.792158865699468e-06,MODEL_NATIVE_EVENT_INDEXED_K,15.490583682122045,False,True
AUTONOMOUS_V913_ONE_D_DRIVER,weak-T,v913_zeroD_sobol_0129902,600.0,0,0,INITIAL_ONSET_PRE_EVENT,0.0,7.906109140357371e-06,MODEL_NATIVE_EVENT_INDEXED_K,13.427584613127774,False,False
AUTONOMOUS_V913_ONE_D_DRIVER,weak-T,v913_zeroD_sobol_0129902,600.0,1,1,REINITIATION_ONSET_PRE_EVENT,2.4335696912706477,7.978592693386729e-06,MODEL_NATIVE_EVENT_INDEXED_K,13.746906026634932,False,False
AUTONOMOUS_V913_ONE_D_DRIVER,weak-T,v913_zeroD_sobol_0129902,600.0,2,2,REINITIATION_ONSET_PRE_EVENT,8.269426255548096,8.112065850576197e-06,MODEL_NATIVE_EVENT_INDEXED_K,14.732243222537523,False,False
