candidate_id,material_class,temperature_K,local_drive_stress_Pa,provider_configuration,cleavage_barrier_eV,emission_barrier_eV,cleavage_rate_s,emission_rate_s,peierls_rate_s,taylor_rate_s,cleavage_hazard_increment,emission_hazard_increment,common_kernel_fingerprint,comparison_status,source_function_direct_match_status
v913_zeroD_sobol_0242980,Peak,600,6000000000.0,FEMCZM_CONSISTENT,1.8002537907823872,2.0515149650462896,0.060481657185196804,0.00046894586142174043,3.220354335846095e-42,0.0005394683837929683,6.04816571851968e-08,4.689458614217404e-10,32b779cf411f022a81c6bbd51d005547f77dec2f10e4ec788b7f9c7bd2dce806,COMMON_ALGEBRA_EQUAL_BY_CONSTRUCTION,BLOCKED_SOURCE_STATE_ADAPTER_NOT_QUALIFIED
v913_zeroD_sobol_0242980,Peak,900,1000000000.0,PF_CONSISTENT,6.610491673156156,2.427864553655361,7.690699527455556e-24,2.0307051013467974,2.1807327200868575e-24,30.75936259243786,7.690699527455556e-30,2.0307051013467974e-06,32b779cf411f022a81c6bbd51d005547f77dec2f10e4ec788b7f9c7bd2dce806,COMMON_ALGEBRA_EQUAL_BY_CONSTRUCTION,BLOCKED_SOURCE_STATE_ADAPTER_NOT_QUALIFIED
v913_zeroD_sobol_0242980,Peak,900,1000000000.0,FEMCZM_CONSISTENT,6.610491673156156,2.427864553655361,7.690699527455556e-24,2.0307051013467974,2.1807327200868575e-24,30.75936259243786,7.690699527455556e-30,2.0307051013467974e-06,32b779cf411f022a81c6bbd51d005547f77dec2f10e4ec788b7f9c7bd2dce806,COMMON_ALGEBRA_EQUAL_BY_CONSTRUCTION,BLOCKED_SOURCE_STATE_ADAPTER_NOT_QUALIFIED
v913_zeroD_sobol_0242980,Peak,900,3000000000.0,PF_CONSISTENT,4.692261773384022,2.3902025191324308,4.242096213193393e-13,3.3002357988120763,2.1807327200868575e-24,30.75936259243786,4.242096213193393e-19,3.300235798812076e-06,32b779cf411f022a81c6bbd51d005547f77dec2f10e4ec788b7f9c7bd2dce806,COMMON_ALGEBRA_EQUAL_BY_CONSTRUCTION,BLOCKED_SOURCE_STATE_ADAPTER_NOT_QUALIFIED
v913_zeroD_sobol_0242980,Peak,900,3000000000.0,FEMCZM_CONSISTENT,4.692261773384022,2.3902025191324308,4.242096213193393e-13,3.3002357988120763,2.1807327200868575e-24,30.75936259243786,4.242096213193393e-19,3.300235798812076e-06,32b779cf411f022a81c6bbd51d005547f77dec2f10e4ec788b7f9c7bd2dce806,COMMON_ALGEBRA_EQUAL_BY_CONSTRUCTION,BLOCKED_SOURCE_STATE_ADAPTER_NOT_QUALIFIED
v913_zeroD_sobol_0242980,Peak,900,6000000000.0,PF_CONSISTENT,2.510684272840712,2.327156962660322,0.6980344296747173,7.440198954029995,2.1807327200868575e-24,30.75936259243786,6.980344296747173e-07,7.440198954029995e-06,32b779cf411f022a81c6bbd51d005547f77dec2f10e4ec788b7f9c7bd2dce806,COMMON_ALGEBRA_EQUAL_BY_CONSTRUCTION,BLOCKED_SOURCE_STATE_ADAPTER_NOT_QUALIFIED
v913_zeroD_sobol_0242980,Peak,900,6000000000.0,FEMCZM_CONSISTENT,2.510684272840712,2.327156962660322,0.6980344296747173,7.440198954029995,2.1807327200868575e-24,30.75936259243786,6.980344296747173e-07,7.440198954029995e-06,32b779cf411f022a81c6bbd51d005547f77dec2f10e4ec788b7f9c7bd2dce806,COMMON_ALGEBRA_EQUAL_BY_CONSTRUCTION,BLOCKED_SOURCE_STATE_ADAPTER_NOT_QUALIFIED
v913_zeroD_sobol_0242980,Peak,1100,1000000000.0,PF_CONSISTENT,8.01854287715509,2.6158556131538964,1.4628553268220286e-23,82.84049096243207,6.644968175533496e-18,1649.8178518803932,1.4628553268220286e-29,8.284049096243207e-05,32b779cf411f022a81c6bbd51d005547f77dec2f10e4ec788b7f9c7bd2dce806,COMMON_ALGEBRA_EQUAL_BY_CONSTRUCTION,BLOCKED_SOURCE_STATE_ADAPTER_NOT_QUALIFIED
v913_zeroD_sobol_0242980,Peak,1100,1000000000.0,FEMCZM_CONSISTENT,8.01854287715509,2.6158556131538964,1.4628553268220286e-23,82.84049096243207,6.644968175533496e-18,1649.8178518803932,1.4628553268220286e-29,8.284049096243207e-05,32b779cf411f022a81c6bbd51d005547f77dec2f10e4ec788b7f9c7bd2dce806,COMMON_ALGEBRA_EQUAL_BY_CONSTRUCTION,BLOCKED_SOURCE_STATE_ADAPTER_NOT_QUALIFIED
v913_zeroD_sobol_0242980,Peak,1100,3000000000.0,PF_CONSISTENT,5.602910610105186,2.5768006760805986,1.7088427796129821e-12,125.07698658774923,6.644968175533496e-18,1649.8178518803932,1.708842779612982e-18,0.00012507698658774922,32b779cf411f022a81c6bbd51d005547f77dec2f10e4ec788b7f9c7bd2dce806,COMMON_ALGEBRA_EQUAL_BY_CONSTRUCTION,BLOCKED_SOURCE_STATE_ADAPTER_NOT_QUALIFIED
